Genotype,Family,Origin
1,Accession,WCE
101,Accession,SE
1015,Accession,WCE
1020,Accession,WCE
1091,Accession,WCE
1113,Accession,USA
112,Accession,ANZ
1123,Accession,JPN
1125,Accession,ANZ
114,Accession,WCE
118,Accession,WCE
12_196,12_ or 13_,P
12_197,12_ or 13_,P
12_204,12_ or 13_,P
12_205,12_ or 13_,P
12_B006,12_B,P
12_B020,12_B,P
12_B023,12_B,P
12_B057,12_B,P
12_B061,12_B,P
12_B064,12_B,P
12_B074,12_B,P
12_B081,12_B,P
12_B093,12_B,P
12_B095,12_B,P
12_E003,12_E,P
12_E014,12_E,P
12_E015,12_E,P
12_E017,12_E,P
12_E024,12_E,P
12_E025,12_E,P
12_E034,12_E,P
12_E035,12_E,P
12_E039,12_E,P
12_E043,12_E,P
12_F002,12_F,P
12_F007,12_F,P
12_F014,12_F,P
12_F019,12_F,P
12_F023,12_F,P
12_F040,12_F,P
12_F045,12_F,P
12_F046,12_F,P
12_F052,12_F,P
12_F054,12_F,P
12_I002,12_I,P
12_I003,12_I,P
12_I005,12_I,P
12_I010,12_I,P
12_I037,12_I,P
12_I049,12_I,P
12_I056,12_I,P
12_I059,12_I,P
12_I062,12_I,P
12_I064,12_I,P
12_J001,12_J,P
12_J004,12_J,P
12_J011,12_J,P
12_J013,12_J,P
12_J015,12_J,P
12_J019,12_J,P
12_J027,12_J,P
12_J028,12_J,P
12_J029,12_J,P
12_J031,12_J,P
12_K001,12_K,P
12_K010,12_K,P
12_K016,12_K,P
12_K018,12_K,P
12_K023,12_K,P
12_K024,12_K,P
12_K044,12_K,P
12_K045,12_K,P
12_K049,12_K,P
12_L001,12_L,P
12_L005,12_L,P
12_L012,12_L,P
12_L013,12_L,P
12_L018,12_L,P
12_L021,12_L,P
12_N021,12_N,P
12_N034,12_N,P
12_N039,12_N,P
12_N041,12_N,P
12_N046,12_N,P
12_N052,12_N,P
12_N054,12_N,P
12_N057,12_N,P
12_N062,12_N,P
12_N063,12_N,P
12_O010,12_O,P
12_O011,12_O,P
12_O014,12_O,P
12_O017,12_O,P
12_O026,12_O,P
12_O056,12_O,P
12_O061,12_O,P
12_O063,12_O,P
12_O072,12_O,P
12_O074,12_O,P
12_P001,12_P,P
12_P002,12_P,P
12_P003,12_P,P
12_P018,12_P,P
12_P025,12_P,P
12_P027,12_P,P
12_P029,12_P,P
12_P034,12_P,P
12_P055,12_P,P
12_P056,12_P,P
1218,Accession,JPN
1236,Accession,USA
13_10,12_ or 13_,P
13_109,12_ or 13_,P
13_139,12_ or 13_,P
13_32,12_ or 13_,P
13_35,12_ or 13_,P
13_38,12_ or 13_,P
130,Accession,WCE
131,Accession,WCE
133,Accession,WCE
135,Accession,WCE
1377,Accession,WCE
140,Accession,WCE
141,Accession,WCE
143,Accession,WCE
1446,Accession,SEE
1448,Accession,NEE
1478,Accession,WCE
1481,Accession,JPN
149,Accession,WCE
15,Accession,WCE
152,Accession,WCE
163,Accession,WCE
167,Accession,CAN
17,Accession,CAN
170,Accession,WCE
173,Accession,SE
1870,Accession,WCE
1872,Accession,WCE
1887,Accession,WCE
1889,Accession,WCE
1893,Accession,WCE
1900,Accession,WCE
1901,Accession,WCE
1910,Accession,WCE
192,Accession,WCE
1935,Accession,WCE
1951,Accession,WCE
1952,Accession,WCE
1962,Accession,WCE
197,Accession,SE
1985,Accession,WCE
1988,Accession,WCE
1989,Accession,WCE
1991,Accession,WCE
1997,Accession,WCE
2,Accession,SE
200,Accession,WCE
2003,Accession,WCE
2010,Accession,WCE
2013,Accession,WCE
202,Accession,WCE
2024,Accession,WCE
2026,Accession,WCE
203,Accession,WCE
204,Accession,WCE
2046,Accession,WCE
2050,Accession,WCE
2055,Accession,WCE
206,Accession,WCE
2061,Accession,U
2071,Accession,WCE
216,Accession,WCE
236,Accession,CAN
238,Accession,NEE
241,Accession,ANZ
2410,Accession,WCE
2422,Accession,WCE
2443,Accession,U
249,Accession,USA
25,Accession,NEE
26,Accession,WCE
261,Accession,WCE
262,Accession,WCE
2625,Accession,JPN
2651,Accession,NEE
2652,Accession,NEE
2653,Accession,NEE
267,Accession,USA
2670,Accession,ANZ
2671,Accession,ANZ
270,Accession,WCE
2720,Accession,CAN
2722,Accession,CAN
2732,Accession,WCE
2762,Accession,ZAF
2779,Accession,SEE
2784,Accession,SE
2785,Accession,SE
2794,Accession,CAN
2796,Accession,CAN
2802,Accession,CAN
2809,Accession,NEE
2810,Accession,SEE
2813,Accession,SEE
2817,Accession,ZAF
2820,Accession,JPN
2823,Accession,WCE
2827,Accession,WCE
2830,Accession,WCE
2831,Accession,WCE
2836,Accession,U
2847,Accession,JPN
2848,Accession,JPN
2849,Accession,JPN
2850,Accession,JPN
2855,Accession,WCE
2856,Accession,USA
286,Accession,NEE
2862,Accession,USA
2865,Accession,USA
2872,Accession,SE
29,Accession,NEE
290,Accession,WCE
2902,Accession,USA
2908,Accession,USA
2936,Accession,USA
2971,Accession,U
2974,Accession,SEE
2975,Accession,SEE
2979,Accession,SEE
2980,Accession,SEE
2990,Accession,WCE
2992,Accession,WCE
2997,Accession,WCE
30,Accession,NEE
301,Accession,WCE
3010,Accession,WCE
3013,Accession,WCE
3026,Accession,U
3042,Accession,WCE
3062,Accession,WCE
308,Accession,NEE
3148,Accession,CAN
3160,Accession,NEE
317,Accession,WCE
3170,Accession,CAN
3172,Accession,CAN
3173,Accession,CAN
3190,Accession,USA
32,Accession,NEE
321,Accession,WCE
323,Accession,WCE
324,Accession,WCE
327,Accession,SE
33,Accession,WCE
330,Accession,SE
333,Accession,SE
334,Accession,USA
338,Accession,WCE
34,Accession,NEE
345,Accession,NEE
353,Accession,WCE
366,Accession,USA
37,Accession,WCE
378,Accession,WCE
40,Accession,USA
405,Accession,WCE
409,Accession,SE
410,Accession,SE
424,Accession,WCE
428,Accession,WCE
43,Accession,NEE
435,Accession,SE
440,Accession,SEE
445,Accession,SE
447,Accession,USA
45,Accession,WCE
457,Accession,WCE
46,Accession,WCE
462,Accession,USA
465,Accession,SE
468,Accession,USA
472,Accession,WCE
473,Accession,WCE
483,Accession,NEE
488,Accession,USA
489,Accession,WCE
49,Accession,WCE
491,Accession,WCE
5,Accession,NEE
50,Accession,USA
508,Accession,CAN
51,Accession,WCE
515,Accession,CAN
52,Accession,WCE
522,Accession,USA
526,Accession,USA
533,Accession,NEE
543,Accession,NEE
546,Accession,USA
548,Accession,ANZ
549,Accession,WCE
55,Accession,SE
56,Accession,WCE
560,Accession,USA
562,Accession,USA
564,Accession,WCE
565,Accession,U
567,Accession,SE
57,Accession,USA
570,Accession,WCE
575,Accession,CAN
577,Accession,WCE
58,Accession,WCE
582,Accession,WCE
584,Accession,ANZ
587,Accession,USA
592,Accession,USA
6,Accession,USA
601,Accession,WCE
603,Accession,CAN
