Genotype Code;MUNQ;Original Code;Preferred Name;Origin
1;1;1945-079;Brabant Bellefleur;WCE
101;101;1947-004;Rosa Mantovana;SE
1015;1015;1951-050;Schmidtberger Renette;WCE
1020;1020;1948-614;Chüsenrainer;WCE
1091;1091;1947-200;Ribonde;WCE
1113;1113;X4194;Red Winter;USA
112;112;1948-744;Democrat;ANZ
1123;1123;1953-014;Horei;JPN
1125;1125;1978-136;Lady Williams;ANZ
114;114;1947-318;Koestlicher;WCE
118;118;1948-236;Reinette Clochard;WCE
1218;1218;1953-002;Shinsei;JPN
1236;1236;X2039;O53T136;USA
130;130;1944-048;Groninger Kroon;WCE
131;131;1947-143;Reinette du Mans;WCE
133;133;1948-599;Spaanse Keiing;WCE
135;135;1947-138;Reinette de Saintonge;WCE
1377;1377;1948-400;Simonffy Piros;WCE
140;140;1946-034;Lange's Perfection;WCE
141;141;2000-070;Mrs. Phillimore;WCE
143;143;1954-026;Polly;WCE
1446;1446;1958-105;Hoti;SEE
1448;1448;1975-004;Osenee Polosatoe;NEE
1478;1478;Priscilla_NL;Priscilla-NL;WCE
1481;1481;1967-089;Indo;JPN
149;149;1977-204;Woodford;WCE
15;15;1957-175;Annie Elizabeth;WCE
152;152;1953-050;Histon Favourite;WCE
163;163;1907-002;Cox's Orange Pippin;WCE
167;167;1974-060;Melba;CAN
17;17;1923-058;Ontario;CAN
170;170;1973-114;Jincoa Zagarra;WCE
173;173;1951-170;Edelroter;SE
1870;1870;1905-004;Ard Cairn Russet;WCE
1872;1872;1916-006;Beeley Pippin;WCE
1887;1887;1923-078;Fillingham Pippin;WCE
1889;1889;1924-005;Scilly Pearl;WCE
1893;1893;1924-057;Bushey Grove;WCE
1900;1900;1929-036;New Bess Pool;WCE
1901;1901;1930-020;Summer Golden Pippin;WCE
1910;1910;1933-012;Sam Young;WCE
192;192;1948-233;Rose Double;WCE
1935;1935;1945-001;Storey's Seedling;WCE
1951;1951;1946-043;Brown's Seedling;WCE
1952;1952;1946-091;Holland Pippin;WCE
1962;1962;1947-480;Montfort;WCE
197;197;1973-051;Annurca;SE
1985;1985;1949-207;Barnhill Pippin;WCE
1988;1988;1949-221;Summer John;WCE
1989;1989;1949-222;Ballyfatten;WCE
1991;1991;1949-272;Lass o' Gowrie;WCE
1997;1997;1950-042;Stoke Allow;WCE
2;2;1958-156;Carrata;SE
200;200;1951-179;Gustavs Dauerapfel;WCE
2003;2003;1950-079;Eight Square;WCE
2010;2010;1951-224;Longstart;WCE
2013;2013;1952-055;Gilliflower of Gloucester;WCE
202;202;1947-086;Franc Roseau du Valais;WCE
2024;2024;1955-024;Pitmaston Pine Apple;WCE
2026;2026;1955-078;Cornish Honeypin;WCE
203;203;1924-009;Nanny;WCE
204;204;2006-011;Tydeman's Early Worcester;WCE
2046;2046;1960-044;Sergeant Peggy;WCE
2050;2050;1962-033;Lodgemore Nonpareil;WCE
2055;2055;1965-012;Lady Hollendale;WCE
206;206;1948-209;Pomme d'Ile;WCE
2061;2061;1974-496;Unnamed-1;U
2071;2071;1981-148;Old Rock Pippin;WCE
216;216;1973-116;Bordes;WCE
236;236;1951-017;Early Red Bird;CAN
