MUNQ	Index	P1	P2
1	Brabant_Bellefleur	-	-
2	Calera	Genotype_7	UP_Calera
3	Bismarkapfel	Kaiser_Alexander	Genotype_3
5	Antonovka_1.5_pound	Antonovka_OB	UP_Antonovka_1.5_pound
7	Eve	Genotype_15	UP_Eve
8	Egremont_Russet	Genotype_15	UP_Egremont_Russet
9	Lombarts_Calville	Genotype_16	UP_Lombarts_Calville
10	Lady	-	-
12	Beacon	UP1_Beacon	UP2_Beacon
13	Roter_Herbstkalvill	-	-
15	Annie_Elizabeth	Maharaji	Northern_Greening
16	MM_106	Northern_Spy	M_1
17	Ontario	Wagener	Northern_Spy
18	John_Standish	Reinette_Rouge_Etoilee	UP_John_Standish
19	Greenups_Pippin	-	-
20	Barthelemy_du_Mortier	Genotype_11	UP_Barthelemy_du_Mortier
21	Baumanns_Renette	Genotype_11	UP_Baumanns_Renette
22	Radoux	-	-
23	Northern_Spy	-	-
25	Yellow_Transparent	Aspa	Saint_Germain
26	Directeur_Lesage	Yellow_Transparent	Roter_Winterhimbeerapfel
27	Wolf_River	Kaiser_Alexander	Red_Westfield
28	Reinette_Bergamotte	-	-
31	Saint_Germain	-	-
33	Gros_Api	Genotype_7	UP_Gros_Api
34	Signe_Tillisch	Calville_du_Roi	Kaiser_Alexander
35	Jeanne_dArc	Keswick_Codlin	Bismarkapfel
36	Belle_de_France	Fleuritard_Rouge	UP_Belle_de_France
38	Reinette_de_Versailles	-	-
39	Grosse_Saint_Clement	-	-
40	Benoni	-	-
41	Sandringham	Woodford	Golden_Parmaene
43	Colapuis	-	-
45	Gascoynes_Scarlet	Cornish_Aromatic	Kaiser_Alexander
46	Reinette_Rouge_Etoilee	-	-
47	Roter_Winterhimbeerapfel	Roter_Gestreifter_a	UP_Roter_Wint_Him
48	Oranie	Weisser_Astrachan	UP_Oranie
49	Freiherr_von_Berlepsch	Danziger_Kantapfel	Ananas_Reinette
50	Winter_Banana	Maiden_Blush	UP_Winterbananenapfel
51	Peasgoods_Nonsuch	Kaiser_Alexander	Golden_Noble
52	Zigeunerinapfel	Kulon_Kitaika	UP_Zigeunerinapfel
53	Ellisons_Orange	Coxs_Orange_Pippin	Cellini
54	Queen	Kaiser_Alexander	Hawthordenske
55	Rosmarina_Bianca_MI	-	-
56	Von_Zuccalmaglios_Renette	Ananas_Reinette	UP_Von_Zuccalmaglios_Renette
58	Calville_des_Prairies	-	-
59	Gueule_de_Mouton	-	-
60	Bellefleur_Kitaika	-	-
61	Landsberger_Reinette	Kaiser_Alexander	Englische_Spitalrenette
62	Croncels	Calville_Blanc	Duchess_of_Oldenburg
63	Pomme_D_ete_Rougeur_de_Peche	Passe_Pomme_Rouge	Heuapfel
64	Kantil_Sinap	-	-
66	Elisa_Ratkee	Danziger_Kantapfel	UP_Elisa_Ratkee
67	Belle_Fille_de_Lindre	Fraurotacher	UP_Belle_Fille_de_Lindre
68	Maglemer	-	-
70	Mauss_Reinette	Karmelitter_Renette	Halberstadter_Jungfernapfel
71	King_David	Jonathan	Winesap
72	Grahams_Jubilaums	Eve	Genotype_16
73	Rambour_de_Himbsel	-	-
74	Edward_VII	Northern_Greening	Genotype_16
76	Api_Etoilee	-	-
77	Yellow_Bellflower	-	-
79	Marbree_de_Watervliet	Holaart_Doux	UP_Marbree_de_Watervliet
80	Aromaapfel	Filippa	Ingrid_Marie
82	Roter_Astrachan	Passe_Pomme_Rouge	Saint_Germain
83	Berner_Rosen	Zavergravelu_Rouge	Calville_Rouge_dHiver
84	Calville_du_Roi	-	-
86	Hormead_Pearmain	Reinette_de_Hollande	Genotype_16
