Index P1 P2
12_B006 5233 2407
12_B020 5233 2407
12_B023 5233 2407
12_B057 5233 2407
12_B061 5233 2407
12_B064 5233 2407
12_B074 5233 2407
12_B093 5233 2407
12_B095 5233 2407
12_E003 5233 2401
12_E014 5233 2401
12_E015 5233 2401
12_E017 5233 2401
12_E024 5233 2401
12_E025 5233 2401
12_E034 5233 2401
12_E035 5233 2401
12_E039 5233 2401
12_E043 5233 2401
12_K01 2421 2408
12_K10 2421 2408
12_K16 2421 2408
12_K18 2421 2408
12_K23 2421 2408
12_K24 2421 2408
12_K44 2421 2408
12_K45 2421 2408
12_N21 2413 2412
12_N34 2413 2412
12_N39 2413 2412
12_N41 2413 2412
12_N46 2413 2412
12_N52 2413 2412
12_N54 2413 2412
12_N57 2413 2412
12_N62 2413 2412
12_N63 2413 2412
12_P01 738.2 2413
12_P03 738.2 2413
12_P18 738.2 2413
12_P25 738.2 2413
12_P27 738.2 2413
12_P29 738.2 2413
12_P34 738.2 2413
12_P55 738.2 2413
12_P56 738.2 2413
FuGa_015 318 739
FuGa_016 318 739
FuGa_140 318 739
FuPi_005 318 651
FuPi_013 318 651
FuPi_023 318 651
FuPi_052 318 651
FuPi_054 318 651
FuPi_087 318 651
FuPi_097 318 651
FuPi_106 318 651
FuPi_107 318 651
FuPi_114 318 651
I_BB02 2407 2403
I_BB12 2407 2403
I_BB15 2407 2403
I_BB22 2407 2403
I_BB28 2407 2403
I_BB31 2407 2403
I_BB39 2407 2403
I_BB49 2407 2403
I_BB56 2407 2403
I_BB70 2407 2403
I_CC03 2421 1115
I_CC48 2421 1115
I_CC52 2421 1115
I_CC55 2421 1115
I_CC57 2421 1115
I_CC59 2421 1115
I_CC67 2421 1115
I_CC70 2421 1115
I_CC75 2421 1115
I_J12 1205 2418
I_J30 1205 2418
I_J33 1205 2418
I_J36 1205 2418
I_J46 1205 2418
I_J54 1205 2418
I_J56 1205 2418
I_J63 1205 2418
I_J69 1205 2418
I_M07 2401 2419
I_M13 2401 2419
I_M14 2401 2419
I_M24 2401 2419
I_M26 2401 2419
I_M29 2401 2419
I_M47 2401 2419
I_M48 2401 2419
I_M52 2401 2419
I_M56 2401 2419
I_W02 2422 2401
I_W10 2422 2401
I_W34 2422 2401
I_W36 2422 2401
I_W37 2422 2401
I_W44 2422 2401
I_W45 2422 2401
I_W46 2422 2401
I_W49 2422 2401
I_W50 2422 2401
TeBr_012 946 668
TeBr_021 946 668
TeBr_022 946 668
TeBr_027 946 668
TeBr_043 946 668
TeBr_071 946 668
TeBr_084 946 668
TeBr_180 946 668
TeBr_248 946 668
TeBr_263 946 668
ACW25358 FBo_WP3_372 FBo_WP3_375
ACW25363 FBo_WP3_372 FBo_WP3_375
ACW25365 FBo_WP3_372 FBo_WP3_375
ACW25366 FBo_WP3_372 FBo_WP3_375
ACW25368 FBo_WP3_372 FBo_WP3_375
ACW25371 FBo_WP3_372 FBo_WP3_375
ACW25372 FBo_WP3_372 FBo_WP3_375
ACW25375 FBo_WP3_372 FBo_WP3_375
ACW25454 FBo_WP3_372 FBo_WP3_375
ACW25469 FBo_WP3_372 FBo_WP3_375
ACW25580 FBo_WP3_374 FBo_WP3_373
ACW25581 FBo_WP3_374 FBo_WP3_373
ACW25584 FBo_WP3_374 FBo_WP3_373
ACW25586 FBo_WP3_374 FBo_WP3_373
ACW25591 FBo_WP3_374 FBo_WP3_373
ACW25592 FBo_WP3_374 FBo_WP3_373
ACW25607 FBo_WP3_374 FBo_WP3_373
ACW25619 FBo_WP3_374 FBo_WP3_373
