Genotype,Color_over,Flowering_begin,Flowering_end,Flowering_full,Flowering_intensity,Fruit_number,Fruit_weight_single,Fruit_weight,Harvest_date,Powdery_mildew,Russet_freq_all,Sample_size,Scab,Trunk_diameter,Trunk_increment,Weight_sample
1,2.85690153083923,113.707830436189,113.451431982451,105.971011588215,19.0880101609865,17.0010005282201,122.327474349017,2.21289853072384,253.709704022641,2.07279750046682,88.9452310933588,14.9880202443801,0.745820342604946,34.2827281079292,4.39278617474997,1.76436424444232
101,2.2609419631956,100.923496308637,100.552120095057,93.3004300126288,34.7578359004089,36.5757779193472,134.5582993618,4.3774968991223,272.430090051363,2.18097070089455,64.7800736448669,18.5648765850657,1.60118873503522,29.3055349679744,3.33563809413175,2.47184899555127
1015,2.92958578234074,105.081377629134,99.8704957626962,97.3182012090449,28.7123796957648,23.0812465518696,180.295708023729,3.7750491899341,256.971722848378,1.98094753986658,74.9250162287208,14.6240223770678,1.00917784778321,36.2521315475786,4.15064714857343,2.30925402075449
1020,1.91682166195787,107.758494197243,103.753945407226,96.6693291810618,48.5146985374121,26.3605281802191,177.263284458073,4.73198398988805,269.293659906615,2.05841604250707,83.2850216344396,16.4418768518739,1.22039652267654,30.5938150835449,3.23108315519614,3.14933064548506
1091,0.696259858347671,114.037605989602,,,11.959990864966,37.618383817601,132.925628076656,4.6781879669939,247.551438197511,2.14037918169144,81.1824022395184,18.1957052271713,1.72860619831375,33.9511872216266,4.20635609613907,2.03522782932693
1106.1,2.07771579102617,101.839820573532,100.533419627331,92.1747403442063,31.0472579576085,25.6097336260108,189.697669088851,4.47087706129169,219.848015008153,1.54530051614018,65.210041902404,15.8281558125146,1.10263556156665,37.0425399816512,4.84481429494457,2.94362101712511
1113,4.61331412871939,107.126943721805,105.040121095814,98.5607181761562,40.7343697662051,42.0305739588741,180.5026904987,7.72905564705137,270.920922329077,2.38790603110422,64.7572092119022,18.2308910636122,1.86009029527238,37.3647305449985,5.82982014940268,3.40716887558773
112,3.96199733617883,103.226651078355,102.46064447683,95.657823086169,35.1398352711551,27.6349779914323,170.71894433854,4.11866141491582,276.280019667606,1.59986505553357,53.1381344372456,17.1203449032582,1.16490522990611,29.1325728622137,3.03518972288162,2.91074946504666
1123,1.67911730362567,109.317561571304,105.325415306245,97.7824814918006,31.9993537655933,61.9421710495601,140.677867794201,7.78091486103395,284.336390048799,2.23235295261051,54.0934234105651,18.2120988213429,1.69304955884394,39.0305395525009,4.74187918583503,2.56244274085809
1125,2.82859414713156,101.46654818749,97.5875011780358,91.8803471614547,61.1880993317071,63.5014605114813,151.815051851996,9.68682900294577,296.011294248756,2.38487509746802,36.1941797186503,19.6771787160878,2.31893439183193,37.6298750432776,5.82220258003152,3.04937468503754
