Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.893268333040437,0.893268333040437,,,0.896664566222714,0.896664566222714,,
BEL_2019_1,0.921016276835818,0.921016276835818,,,0.926670184540408,0.926670184540408,,
BEL_2020_1,0.835927143022096,0.835927143022096,,,0.839710867032775,0.839710867032775,,
CHE_2018_1,0.899177008788736,0.899177008788736,,,0.901793684041247,0.901793684041247,,
CHE_2018_BUFFER,0.827313146741567,,,,0.868218371797552,,,
CHE_2019_1,0.784201754625648,0.784201754625648,,,,,,
CHE_2020_1,0.850275801702175,0.850275801702175,,,0.859579853544269,0.859579853544269,,
CHE_2020_2,0.80737385988269,,0.80737385988269,,0.817308193406564,,0.817308193406564,
CHE_2021_1,0.811456197409522,0.811456197409522,,,0.828857373952275,0.828857373952275,,
CHE_2021_2,0.866867555590938,,0.866867555590938,,0.88335818162129,,0.88335818162129,
CHE_2021_BUFFER,0.795291395907984,,,,0.880219250933427,,,
CHE_2022_1,0.786361108768918,0.786361108768918,,,,,,
CHE_2022_2,0.83666678760394,,0.83666678760394,,0.844359829479617,,0.844359829479617,
CHE_2022_BUFFER,0.91764323925458,,,,0.91929069607617,,,
CHE_2023_1,0.799009570543494,0.799009570543494,,,0.804521466670743,0.804521466670743,,
CHE_2023_2,0.841339337092673,,0.841339337092673,,0.844387547971055,,0.844387547971055,
CHE_2023_BUFFER,0.999999999999988,,,,0.999999998947011,,,
ESP_2018_1,0.855798828781215,0.855798828781215,,,0.863133996327003,0.863133996327003,,
ESP_2019_1,0.84104294180174,0.84104294180174,,,0.852263876863728,0.852263876863728,,
ESP_2020_1,0.857239123510878,0.857239123510878,,,0.862291261017777,0.862291261017777,,
FRA_2018_1,0.965573703671109,0.965573703671109,,,0.965771796942833,0.965771796942833,,
FRA_2019_1,0.926789029508863,0.926789029508863,,,0.933669720971443,0.933669720971443,,
FRA_2020_1,0.929514770188373,0.929514770188373,,,0.943721909839482,0.943721909839482,,
FRA_2021_1,0.874664080862013,0.874664080862013,,,0.893587563664429,0.893587563664429,,
FRA_2021_2,0.820828457459849,,0.820828457459849,,0.848907411961011,,0.848907411961011,
FRA_2022_1,0.872960880769645,0.872960880769645,,,0.894866844095228,0.894866844095228,,
FRA_2022_2,0.818217568768376,,0.818217568768376,,0.858058281095293,,0.858058281095293,
ITA_2018_1,0.946467070568268,0.946467070568268,,,0.951544731345095,0.951544731345095,,
ITA_2019_1,0.929724335877234,0.929724335877234,,,0.931063833367501,0.931063833367501,,
ITA_2019_3,0.89630583631023,,,0.89630583631023,0.912233106254746,,,0.89630583631023
ITA_2020_1,0.911360651626012,0.911360651626012,,,0.915596679743117,0.915596679743117,,
ITA_2020_3,0.895751697033719,,,0.895751697033719,0.923288756365979,,,0.895751697033719
ITA_2021_1,0.909106444692091,0.909106444692091,,,0.925567894683959,0.925567894683959,,
ITA_2021_3,0.904849894064628,,,0.904849894064628,0.91559876750549,,,0.904849894064628
ITA_2022_1,0.870155746849554,0.870155746849554,,,0.871315528937971,0.871315528937971,,
ITA_2022_3,0.895483847922353,,,0.895483847922353,0.904500532583601,,,0.895483847922353
ITA_2023_1,0.872474371508642,0.872474371508642,,,0.87490103153184,0.87490103153184,,
ITA_2023_3,0.856192202656507,,,0.856192202656507,0.869401767918659,,,0.856192202656507
POL_2018_1,0.988288142048885,0.988288142048885,,,0.988467804631941,0.988467804631941,,
POL_2019_1,0.999999999999998,0.999999999999998,,,0.999999999999987,0.999999999999987,,
POL_2019_3,0.999999999912733,,,0.999999999912733,,,,0.999999999912733
POL_2020_1,0.988110274471078,0.988110274471078,,,0.988309827977004,0.988309827977004,,
POL_2020_3,0.993891340737233,,,0.993891340737233,0.99408341323248,,,0.993891340737233
POL_2021_1,0.98580372975631,0.98580372975631,,,0.986119164940985,0.986119164940985,,
POL_2021_3,0.991393494071924,,,0.991393494071924,0.991872831314041,,,0.991393494071924
POL_2022_1,0.973668685569771,0.973668685569771,,,0.977402561980634,0.977402561980634,,
POL_2022_3,0.988175973428728,,,0.988175973428728,0.989900141501649,,,0.988175973428728
POL_2023_1,0.982473987958499,0.982473987958499,,,0.98308808969182,0.98308808969182,,
POL_2023_3,0.989282916750714,,,0.989282916750714,0.989729094482497,,,0.989282916750714
CHE_2019_BUFFER,,,,,0.946008783552093,,,
