Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.641543173508835,,,,0.655993888672509,,,
BEL_2019_1,0.855870158835248,0.855870158835248,,,0.859291494551781,0.859291494551781,,
BEL_2020_1,0.901651525889914,0.901651525889914,,,0.908304038297406,0.908304038297406,,
BEL_2021_1,0.857101609724129,0.857101609724129,,,0.875270447314329,0.875270447314329,,
BEL_2022_1,0.854587071674177,0.854587071674177,,,0.862568698906179,0.862568698906179,,
CHE_2019_1,0.834973502333582,0.834973502333582,,,0.836540176595415,0.836540176595415,,
CHE_2019_BUFFER,0.928679242097287,,,,0.92975305979071,,,
CHE_2020_1,0.751231967907173,0.751231967907173,,,0.762378059124712,0.762378059124712,,
CHE_2020_2,0.706983142412027,,0.706983142412027,,0.748976485300986,,0.748976485300986,
CHE_2021_1,0.723907306543289,0.723907306543289,,,0.726240081599261,0.726240081599261,,
CHE_2021_2,0.767491465199913,,0.767491465199913,,0.78397714982243,,0.78397714982243,
CHE_2022_1,0.87877435323961,0.87877435323961,,,0.899010097449759,0.899010097449759,,
CHE_2022_2,0.870646238535885,,0.870646238535885,,0.879916055166844,,0.879916055166844,
CHE_2022_BUFFER,0.836206277900828,,,,0.999964651292598,,,
CHE_2023_1,0.86416048249482,0.86416048249482,,,0.87252902427717,0.87252902427717,,
CHE_2023_2,0.868213873890571,,0.868213873890571,,0.877046312320681,,0.877046312320681,
CHE_2023_BUFFER,0.700657497885213,,,,0.999997335271459,,,
ESP_2018_1,0.93185967184932,0.93185967184932,,,0.937439925977556,0.937439925977556,,
ESP_2019_1,0.74047316109261,0.74047316109261,,,0.753956653378203,0.753956653378203,,
ESP_2021_1,0.802740323792976,0.802740323792976,,,0.809556743726585,0.809556743726585,,
ESP_2021_2,0.824452632044622,,0.824452632044622,,0.846469024858427,,0.846469024858427,
ESP_2023_1,0.822339576979585,0.822339576979585,,,0.827242255541745,0.827242255541745,,
ESP_2023_2,0.795417959264808,,0.795417959264808,,0.798105724637148,,0.798105724637148,
ESP_2023_BUFFER,0.640664910509849,,,,,,,
FRA_2018_1,0.815176264491051,0.815176264491051,,,0.822098692291393,0.822098692291393,,
FRA_2019_1,0.908994997943123,0.908994997943123,,,0.911848574836349,0.911848574836349,,
FRA_2020_1,0.756598242341231,0.756598242341231,,,0.764657025204834,0.764657025204834,,
FRA_2020_2,0.696361842767577,,0.696361842767577,,0.725329146895604,,0.725329146895604,
FRA_2021_1,0.804056589923081,0.804056589923081,,,0.843328510220833,0.843328510220833,,
FRA_2021_2,0.816268131450254,,0.816268131450254,,0.825773316253264,,0.825773316253264,
FRA_2022_1,0.891580552417089,0.891580552417089,,,0.900353026901845,0.900353026901845,,
FRA_2022_2,0.899162381346089,,0.899162381346089,,0.906359464230822,,0.906359464230822,
ITA_2018_1,0.807738300326746,0.807738300326746,,,0.822130667236678,0.822130667236678,,
ITA_2019_1,0.880012009205979,0.880012009205979,,,0.888087639454215,0.888087639454215,,
ITA_2019_3,0.867599618082644,,,0.867599618082644,0.880819517998807,,,0.867599618082644
ITA_2020_1,0.903078047036292,0.903078047036292,,,0.908635198288479,0.908635198288479,,
ITA_2020_3,0.936665574021259,,,0.936665574021259,0.944966378491278,,,0.936665574021259
ITA_2021_1,0.849319463523477,0.849319463523477,,,0.854454362997524,0.854454362997524,,
ITA_2021_3,0.907350929499624,,,0.907350929499624,0.912673672986956,,,0.907350929499624
ITA_2022_1,0.845261819654723,0.845261819654723,,,0.860954583440604,0.860954583440604,,
ITA_2022_3,0.929550070585517,,,0.929550070585517,0.940244075061934,,,0.929550070585517
ITA_2023_1,0.827071941157783,0.827071941157783,,,0.832414712558342,0.832414712558342,,
ITA_2023_3,0.859227275937431,,,0.859227275937431,0.862088007765886,,,0.859227275937431
POL_2022_1,0.712809575853786,0.712809575853786,,,0.722643148644308,0.722643148644308,,
POL_2022_3,0.825175695501961,,,0.825175695501961,0.826644728053523,,,0.825175695501961
POL_2023_1,0.685412278645297,0.685412278645297,,,0.695535333695348,0.695535333695348,,
POL_2023_3,0.795962173432213,,,0.795962173432213,0.799975732171812,,,0.795962173432213
