Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.536038286093053,0.536038286093053,,,0.574859148965535,0.574859148965535,,
BEL_2019_1,0.512204552020708,0.512204552020708,,,0.522953602345132,0.522953602345132,,
BEL_2020_1,0.364683560294825,,,,,,,
BEL_2022_1,0.447274771552402,0.447274771552402,,,0.444814811107778,0.444814811107778,,
CHE_2018_1,0.630611711055715,0.630611711055715,,,0.640909105105648,0.640909105105648,,
CHE_2018_BUFFER,0.426682108588096,,,,0.507335406048603,,,
CHE_2019_1,0.451335834542475,0.451335834542475,,,0.483278773161891,0.483278773161891,,
CHE_2020_1,0.566347202258527,0.566347202258527,,,0.564234774579697,0.564234774579697,,
CHE_2020_2,0.529519320924974,,0.529519320924974,,0.509598571931234,,0.509598571931234,
CHE_2020_BUFFER,0.391935665630035,,,,0.380967239579013,,,
CHE_2021_1,0.452203512241345,0.452203512241345,,,0.508288806962418,0.508288806962418,,
CHE_2021_2,0.462441910558062,,0.462441910558062,,0.489177988902817,,0.489177988902817,
CHE_2021_BUFFER,0.485614482629616,,,,0.551068804081676,,,
CHE_2022_1,0.591813259306731,0.591813259306731,,,0.595043775916509,0.595043775916509,,
CHE_2022_2,0.592853820696808,,0.592853820696808,,0.582825359575106,,0.582825359575106,
CHE_2023_1,0.600290672643332,0.600290672643332,,,0.62402123282328,0.62402123282328,,
CHE_2023_2,0.451637228921476,,0.451637228921476,,0.494387980614882,,0.494387980614882,
ESP_2018_1,0.892233356013389,0.892233356013389,,,0.899595008865365,0.899595008865365,,
ESP_2019_1,0.740947866656205,0.740947866656205,,,0.756693243001961,0.756693243001961,,
ESP_2020_1,0.69525676635339,0.69525676635339,,,0.717487693153511,0.717487693153511,,
ESP_2021_1,0.569662709997724,0.569662709997724,,,0.596621643216257,0.596621643216257,,
ESP_2021_2,0.609838049999507,,0.609838049999507,,0.688213220969913,,0.688213220969913,
ESP_2023_1,0.586895560263136,0.586895560263136,,,0.604392477693408,0.604392477693408,,
ESP_2023_2,0.594292372217967,,0.594292372217967,,0.61363690645513,,0.61363690645513,
FRA_2018_1,0.616489864362317,0.616489864362317,,,0.617130936589863,0.617130936589863,,
FRA_2019_1,0.712214483316596,0.712214483316596,,,0.724168283543633,0.724168283543633,,
FRA_2020_1,0.501050680211731,0.501050680211731,,,0.542116948251688,0.542116948251688,,
FRA_2020_2,0.37962258284813,,0.37962258284813,,0.429504597747998,,0.429504597747998,
FRA_2022_1,0.621404396836943,0.621404396836943,,,0.653217981258583,0.653217981258583,,
FRA_2022_2,0.458600862126689,,0.458600862126689,,0.492305518041848,,0.492305518041848,
ITA_2018_1,0.696327433538975,0.696327433538975,,,0.738146280023125,0.738146280023125,,
ITA_2019_1,0.654146392426101,0.654146392426101,,,0.663065584987338,0.663065584987338,,
ITA_2019_3,0.537069307906851,,,0.537069307906851,0.520989009005442,,,0.537069307906851
ITA_2020_1,0.54203114649517,0.54203114649517,,,0.548221501751518,0.548221501751518,,
ITA_2020_3,0.639141644249963,,,0.639141644249963,0.657714993975128,,,0.639141644249963
ITA_2021_1,0.555733322262371,0.555733322262371,,,0.555083575689228,0.555083575689228,,
ITA_2021_3,0.491555493241564,,,0.491555493241564,0.504376394464043,,,0.491555493241564
ITA_2022_1,0.408928235428167,0.408928235428167,,,0.412903785805808,0.412903785805808,,
ITA_2022_3,0.611300387501523,,,0.611300387501523,0.604941253456131,,,0.611300387501523
ITA_2023_1,0.465384254817989,0.465384254817989,,,0.463162955342865,0.463162955342865,,
ITA_2023_3,0.42070015871832,,,,0.430448593518474,,,
POL_2018_1,0.627606100491772,0.627606100491772,,,0.639642481858982,0.639642481858982,,
POL_2019_1,0.510787792954133,0.510787792954133,,,0.518464550779817,0.518464550779817,,
POL_2019_3,0.66949188967472,,,0.66949188967472,0.672025553363575,,,0.66949188967472
POL_2021_1,0.432682081839677,0.432682081839677,,,0.438849010499195,0.438849010499195,,
POL_2021_3,0.634204500740044,,,0.634204500740044,0.643091578382515,,,0.634204500740044
POL_2022_1,0.580681271330612,0.580681271330612,,,0.589330962876063,0.589330962876063,,
POL_2022_3,0.581676539442619,,,0.581676539442619,0.59929765461376,,,0.581676539442619
POL_2023_1,0.638159412893821,0.638159412893821,,,0.651739959545827,0.651739959545827,,
POL_2023_3,0.749812781989225,,,0.749812781989225,0.803939975644679,,,0.749812781989225
ESP_2023_BUFFER,,,,,0.994789319254261,,,
