Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.642218175802924,0.642218175802924,,,0.681517434307149,0.681517434307149,,
BEL_2019_1,0.593786005104409,0.593786005104409,,,0.624603331659702,0.624603331659702,,
BEL_2020_1,0.548941920633804,0.548941920633804,,,0.600293108557691,0.600293108557691,,
BEL_2021_1,0.513077673881942,0.513077673881942,,,0.518100674402685,0.518100674402685,,
BEL_2021_2,0.497872308013692,,0.497872308013692,,0.526914057320346,,0.526914057320346,
BEL_2022_1,0.566112248994281,0.566112248994281,,,0.577173932499387,0.577173932499387,,
BEL_2022_2,0.52280704680904,,0.52280704680904,,0.508226254655981,,0.508226254655981,
BEL_2023_1,0.437060138622848,0.437060138622848,,,0.440766190625741,0.440766190625741,,
BEL_2023_2,0.513865192359551,,0.513865192359551,,0.682882053142074,,0.682882053142074,
CHE_2018_1,0.591529984138953,0.591529984138953,,,0.609310971421533,0.609310971421533,,
CHE_2018_BUFFER,0.426292726509706,,,,0.437196287825264,,,
CHE_2019_1,0.437004174098433,0.437004174098433,,,0.4554062508782,0.4554062508782,,
CHE_2019_BUFFER,0.946906119146248,,,,0.577913253896906,,,
CHE_2020_1,0.530272594674216,0.530272594674216,,,0.564004372277302,0.564004372277302,,
CHE_2020_2,0.544837722409696,,0.544837722409696,,0.533165196304367,,0.533165196304367,
CHE_2021_1,0.570361592843281,0.570361592843281,,,0.595468442632312,0.595468442632312,,
CHE_2021_2,0.520151582010774,,0.520151582010774,,0.533148905091463,,0.533148905091463,
CHE_2021_BUFFER,0.902770579886324,,,,0.999113876907351,,,
CHE_2022_1,0.607834343990238,0.607834343990238,,,0.644587666519095,0.644587666519095,,
CHE_2022_2,0.548354030676839,,0.548354030676839,,0.567238034759946,,0.567238034759946,
CHE_2023_1,0.507932924519098,0.507932924519098,,,0.545210567927384,0.545210567927384,,
CHE_2023_2,0.481299843704402,,0.481299843704402,,0.487251999736044,,0.487251999736044,
ESP_2018_1,0.702993639869428,0.702993639869428,,,0.756758995586579,0.756758995586579,,
ESP_2019_1,0.690891616039952,0.690891616039952,,,0.707763135104279,0.707763135104279,,
ESP_2020_1,0.609253411521792,0.609253411521792,,,0.639471534064712,0.639471534064712,,
ESP_2021_1,0.495830438580322,0.495830438580322,,,0.530515075091452,0.530515075091452,,
ESP_2022_1,0.655716410536413,0.655716410536413,,,0.660727615758234,0.660727615758234,,
ESP_2022_2,0.483958987808517,,0.483958987808517,,0.509188129692324,,0.509188129692324,
ESP_2023_1,0.603405275643855,0.603405275643855,,,0.627351040020114,0.627351040020114,,
ESP_2023_2,0.629319721664244,,0.629319721664244,,0.694217540823955,,0.694217540823955,
FRA_2018_1,0.691832424012405,0.691832424012405,,,0.73906629767036,0.73906629767036,,
FRA_2019_1,0.789306871062717,0.789306871062717,,,0.816453366794408,0.816453366794408,,
FRA_2020_1,0.670099182798833,0.670099182798833,,,0.712105826784468,0.712105826784468,,
FRA_2021_1,0.591286775796465,0.591286775796465,,,0.637223809929796,0.637223809929796,,
FRA_2021_2,0.617669146862883,,0.617669146862883,,0.723244256818894,,0.723244256818894,
FRA_2022_1,0.750045614288672,0.750045614288672,,,0.770422463577491,0.770422463577491,,
FRA_2022_2,0.62351846171486,,0.62351846171486,,0.682562005397068,,0.682562005397068,
ITA_2018_1,0.692563826125518,0.692563826125518,,,0.71306782630332,0.71306782630332,,
ITA_2019_1,0.626245711880718,0.626245711880718,,,0.670764371036411,0.670764371036411,,
ITA_2019_3,0.518887070169513,,,0.518887070169513,0.611169337802744,,,0.518887070169513
ITA_2020_1,0.619282702824508,0.619282702824508,,,0.654501152075983,0.654501152075983,,
ITA_2020_3,0.679177974660516,,,0.679177974660516,0.810778686027502,,,0.679177974660516
ITA_2021_1,0.496554571512634,0.496554571512634,,,0.519338221821132,0.519338221821132,,
ITA_2021_3,0.601657894165549,,,0.601657894165549,0.709609862652782,,,0.601657894165549
ITA_2022_3,0.669301504403887,,,0.669301504403887,0.688130622420874,,,0.669301504403887
ITA_2023_1,0.655808288552301,0.655808288552301,,,0.665033775480265,0.665033775480265,,
ITA_2023_3,0.6073450804963,,,0.6073450804963,0.628614854980752,,,0.6073450804963
POL_2018_1,0.677908255306716,0.677908255306716,,,0.68557771618641,0.68557771618641,,
POL_2019_1,0.602962688003767,0.602962688003767,,,,,,
POL_2020_1,0.606313551691608,0.606313551691608,,,0.623397965304973,0.623397965304973,,
POL_2020_3,0.583480837080924,,,0.583480837080924,0.597169176289159,,,0.583480837080924
POL_2021_3,0.455074594802187,,,0.455074594802187,0.508902711768063,,,0.455074594802187
POL_2022_3,0.654944529430776,,,0.654944529430776,0.972837902760764,,,0.654944529430776
POL_2023_3,,,,,0.408969810668393,,,
