Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.750649360313906,0.750649360313906,,,0.765782979963985,0.765782979963985,,
BEL_2019_1,0.791256550483246,0.791256550483246,,,0.805470127823322,0.805470127823322,,
BEL_2021_1,0.793457370190954,0.793457370190954,,,0.808473202978205,0.808473202978205,,
BEL_2021_2,0.780017527418692,,0.780017527418692,,0.792698628161373,,0.792698628161373,
BEL_2021_BUFFER,0.955122512096094,,,,0.991594601345986,,,
BEL_2022_1,0.736436493469632,0.736436493469632,,,0.74712480128589,0.74712480128589,,
BEL_2023_1,0.788467911188137,0.788467911188137,,,0.796978434053373,0.796978434053373,,
BEL_2023_2,0.74385856755502,,0.74385856755502,,0.770042275371732,,0.770042275371732,
CHE_2018_1,0.842246911363137,0.842246911363137,,,0.845065521749586,0.845065521749586,,
CHE_2019_1,0.733804771439108,0.733804771439108,,,0.747368327445349,0.747368327445349,,
CHE_2019_BUFFER,0.993732760276845,,,,,,,
CHE_2020_1,0.803917868612303,0.803917868612303,,,0.824488528687941,0.824488528687941,,
CHE_2020_2,0.846206188102395,,0.846206188102395,,0.860796746497698,,0.860796746497698,
CHE_2020_BUFFER,0.999953805800013,,,,0.999999999996059,,,
CHE_2021_1,0.873667217694834,0.873667217694834,,,0.876341279470277,0.876341279470277,,
CHE_2021_2,0.892854254311132,,0.892854254311132,,0.898562688925733,,0.898562688925733,
CHE_2021_BUFFER,0.874190775520847,,,,0.999999772190148,,,
CHE_2022_1,0.861052618400827,0.861052618400827,,,0.873333672813259,0.873333672813259,,
CHE_2022_2,0.798514229984205,,0.798514229984205,,0.818456807372731,,0.818456807372731,
CHE_2022_BUFFER,0.826878596460097,,,,0.808537146392957,,,
CHE_2023_1,0.864110526135585,0.864110526135585,,,0.873702375451825,0.873702375451825,,
CHE_2023_2,0.812430669270967,,0.812430669270967,,0.875169847473332,,0.875169847473332,
CHE_2023_BUFFER,0.901909843572686,,,,0.85658846261191,,,
ESP_2018_1,0.7527065580259,0.7527065580259,,,0.762793372969258,0.762793372969258,,
ESP_2020_1,0.787791072103326,0.787791072103326,,,0.799912730457208,0.799912730457208,,
ESP_2022_1,0.787281335629343,0.787281335629343,,,0.81135065054831,0.81135065054831,,
ESP_2022_2,0.70703706774372,,0.70703706774372,,0.765413102119433,,0.765413102119433,
FRA_2018_1,0.902141937135362,0.902141937135362,,,0.911447412952324,0.911447412952324,,
FRA_2019_1,0.895512731611469,0.895512731611469,,,0.902847673862995,0.902847673862995,,
FRA_2020_1,0.856160108276778,0.856160108276778,,,0.878348321094367,0.878348321094367,,
FRA_2021_1,0.841117189897189,0.841117189897189,,,0.844362057843691,0.844362057843691,,
FRA_2021_2,0.849664001849329,,0.849664001849329,,0.864244566547919,,0.864244566547919,
FRA_2022_1,0.866406126579043,0.866406126579043,,,0.877139831519266,0.877139831519266,,
FRA_2022_2,0.792721373158578,,0.792721373158578,,0.839017409488088,,0.839017409488088,
ITA_2018_1,0.850399613063646,0.850399613063646,,,0.859325777287643,0.859325777287643,,
ITA_2019_1,0.846495554362976,0.846495554362976,,,0.861919929985578,0.861919929985578,,
ITA_2019_3,0.81050542927753,,,0.81050542927753,0.84663326113137,,,0.81050542927753
ITA_2020_1,0.864491247302828,0.864491247302828,,,0.899145048109907,0.899145048109907,,
ITA_2020_3,0.833235494382002,,,0.833235494382002,0.851743598659773,,,0.833235494382002
ITA_2021_1,0.879895662312247,0.879895662312247,,,0.890967138482005,0.890967138482005,,
ITA_2021_3,0.876136224573495,,,0.876136224573495,0.881640830787479,,,0.876136224573495
ITA_2023_1,0.874716677044159,0.874716677044159,,,0.88064507194372,0.88064507194372,,
ITA_2023_3,0.884222360336499,,,0.884222360336499,0.901577332891595,,,0.884222360336499
POL_2018_1,0.976169655333585,0.976169655333585,,,0.976743429165676,0.976743429165676,,
POL_2020_1,0.917837900521432,0.917837900521432,,,0.918975917423076,0.918975917423076,,
POL_2020_3,0.941352902475861,,,0.941352902475861,0.943561364507476,,,0.941352902475861
POL_2021_1,0.904891781999401,0.904891781999401,,,0.906005304296207,0.906005304296207,,
POL_2021_3,0.900563617178462,,,0.900563617178462,0.903904596866144,,,0.900563617178462
POL_2022_1,0.960226538586318,0.960226538586318,,,0.964306336970254,0.964306336970254,,
POL_2022_3,0.97006472532259,,,0.97006472532259,0.971258344040263,,,0.97006472532259
POL_2023_3,0.745905445921142,,,0.745905445921142,0.748852217480402,,,0.745905445921142
BEL_2022_2,,,0.672875202221352,,0.742592275189553,,0.742592275189553,
CHE_2018_BUFFER,,,,,0.713762629326429,,,
ITA_2022_3,,,,,0.719261098431137,,,
