Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.936198497881969,0.936198497881969,,,0.938786637555944,0.938786637555944,,
BEL_2019_1,0.962147747574467,0.962147747574467,,,0.963575072310101,0.963575072310101,,
BEL_2020_1,0.872250644434479,0.872250644434479,,,0.878460935447315,0.878460935447315,,
BEL_2021_1,0.94844743202222,0.94844743202222,,,0.950565510109529,0.950565510109529,,
BEL_2021_2,0.947995733492378,,0.947995733492378,,0.949158872329916,,0.949158872329916,
BEL_2021_BUFFER,0.985261555829729,,,,,,,
BEL_2022_1,0.931939091111869,0.931939091111869,,,0.935153988050887,0.935153988050887,,
BEL_2022_2,0.893518897549689,,0.893518897549689,,0.893815968082207,,0.893815968082207,
BEL_2023_1,0.921674648538749,0.921674648538749,,,0.925498257424616,0.925498257424616,,
BEL_2023_2,0.928202501789499,,0.928202501789499,,0.938666476719247,,0.938666476719247,
CHE_2018_1,0.906560544368093,0.906560544368093,,,0.908698634452891,0.908698634452891,,
CHE_2018_BUFFER,0.878767986132249,,,,0.904345309715085,,,
CHE_2020_1,0.903603125214358,0.903603125214358,,,0.911035344524571,0.911035344524571,,
CHE_2020_2,0.86376995830987,,0.86376995830987,,0.884243610742826,,0.884243610742826,
CHE_2021_1,0.912885185819882,0.912885185819882,,,0.915323129988293,0.915323129988293,,
CHE_2021_2,0.918324636193845,,0.918324636193845,,0.94215170356051,,0.94215170356051,
CHE_2022_1,0.858189293401418,0.858189293401418,,,,,,
CHE_2022_2,0.853742035083287,,0.853742035083287,,,,0.867159312212401,
CHE_2022_BUFFER,0.957296666208739,,,,,,,
CHE_2023_1,0.903497011018595,0.903497011018595,,,0.910447834601828,0.910447834601828,,
CHE_2023_2,0.92472531074809,,0.92472531074809,,0.930930915219754,,0.930930915219754,
ESP_2018_1,0.94831677441524,0.94831677441524,,,0.951136586931161,0.951136586931161,,
ESP_2019_1,0.903634714320933,0.903634714320933,,,0.913428988884825,0.913428988884825,,
ESP_2020_1,0.900431713709891,0.900431713709891,,,0.909586196652963,0.909586196652963,,
ESP_2021_1,0.912965907161295,0.912965907161295,,,0.917031991297236,0.917031991297236,,
ESP_2022_1,0.893326643194773,0.893326643194773,,,0.898148142697571,0.898148142697571,,
ESP_2022_2,0.957124634747901,,0.957124634747901,,0.959557224614428,,0.959557224614428,
ESP_2023_1,0.923130358901892,0.923130358901892,,,0.926900775231485,0.926900775231485,,
ESP_2023_2,0.965293393986496,,0.965293393986496,,0.96841359017477,,0.96841359017477,
FRA_2018_1,0.975734613402293,0.975734613402293,,,0.977678577958874,0.977678577958874,,
FRA_2019_1,0.966473020872806,0.966473020872806,,,0.966882639331644,0.966882639331644,,
FRA_2020_1,0.956207289903389,0.956207289903389,,,0.965982675103357,0.965982675103357,,
FRA_2021_1,0.902467167771041,0.902467167771041,,,0.930834480514222,0.930834480514222,,
FRA_2021_2,0.894596326826647,,0.894596326826647,,0.922661743421918,,0.922661743421918,
FRA_2022_1,0.871343573726497,0.871343573726497,,,0.900607536070709,0.900607536070709,,
ITA_2018_1,0.970234165998616,0.970234165998616,,,0.971038135343767,0.971038135343767,,
ITA_2019_1,0.95381682424968,0.95381682424968,,,0.956209304360043,0.956209304360043,,
ITA_2019_3,0.938590980505827,,,0.938590980505827,0.945128638472766,,,0.938590980505827
ITA_2020_1,0.950223199738249,0.950223199738249,,,0.954323402579524,0.954323402579524,,
ITA_2020_3,0.929721221287675,,,0.929721221287675,0.940735538599642,,,0.929721221287675
ITA_2021_1,0.944855056591344,0.944855056591344,,,0.948428332898721,0.948428332898721,,
ITA_2021_3,0.943651002140377,,,0.943651002140377,0.947589911212559,,,0.943651002140377
ITA_2022_1,0.926856194095644,0.926856194095644,,,0.934376548802488,0.934376548802488,,
ITA_2022_3,0.91288103279379,,,0.91288103279379,0.91421029288597,,,0.91288103279379
ITA_2023_1,0.904758122709363,0.904758122709363,,,0.913221377113312,0.913221377113312,,
ITA_2023_3,0.900342927580441,,,0.900342927580441,0.943144114178992,,,0.900342927580441
POL_2018_1,0.995491442941772,0.995491442941772,,,0.995565987747557,0.995565987747557,,
POL_2019_3,0.999999999999986,,,0.999999999999986,,,,0.999999999999986
POL_2020_1,0.988705323029219,0.988705323029219,,,0.988751586871544,0.988751586871544,,
POL_2020_3,0.997190019008279,,,0.997190019008279,0.997237697476786,,,0.997190019008279
POL_2021_1,0.98198046970987,0.98198046970987,,,0.982560334625733,0.982560334625733,,
POL_2021_3,0.998623366499139,,,0.998623366499139,0.998682909479218,,,0.998623366499139
POL_2022_1,0.953874108931597,0.953874108931597,,,0.956913283637016,0.956913283637016,,
POL_2022_3,0.998017708079775,,,0.998017708079775,0.998291060158898,,,0.998017708079775
POL_2023_1,0.977018180949484,0.977018180949484,,,0.977863878049188,0.977863878049188,,
POL_2023_3,0.998371484128756,,,0.998371484128756,0.99846290012826,,,0.998371484128756
FRA_2022_2,,,0.80776545848984,,,,0.866828466004923,
