Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2021_2,0.765813838538259,,0.765813838538259,,0.823133985079064,,0.823133985079064,
BEL_2023_1,0.436233969720681,0.436233969720681,,,0.468389892062144,0.468389892062144,,
BEL_2023_2,0.775199477525441,,0.775199477525441,,0.816335818542884,,0.816335818542884,
CHE_2023_1,0.5777054942823,0.5777054942823,,,0.583891953496549,0.583891953496549,,
CHE_2023_2,0.496312305541333,,0.496312305541333,,0.522066102691515,,0.522066102691515,
ESP_2023_1,0.544777009863504,0.544777009863504,,,0.629020201161279,0.629020201161279,,
ESP_2023_2,0.671203079002794,,0.671203079002794,,0.71947559929047,,0.71947559929047,
FRA_2022_2,0.490359156527161,,0.490359156527161,,,,,
FRA_2023_1,0.315053908193904,0.315053908193904,,,0.407475142389556,0.407475142389556,,
FRA_2023_2,0.310965122709385,,0.310965122709385,,0.515353542893072,,0.515353542893072,
POL_2021_3,0.46545357178669,,,0.46545357178669,0.465790521263569,,,0.46545357178669
POL_2022_1,0.379403095607068,0.379403095607068,,,0.365945169877529,0.365945169877529,,
POL_2023_1,0.581845207920668,0.581845207920668,,,0.603793066737198,0.603793066737198,,
POL_2023_3,0.542204150530232,,,0.542204150530232,0.591390288330635,,,0.542204150530232
BEL_2021_1,,0.0538427570777318,,,,0.0552929876934457,,
POL_2021_1,,0.228866496457912,,,,0.199043175222599,,
