Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.736422721909116,0.736422721909116,,,0.744048914200698,0.744048914200698,,
BEL_2019_1,0.663652914780684,0.663652914780684,,,0.668241751349685,0.668241751349685,,
BEL_2020_1,0.682784457428083,0.682784457428083,,,0.682106240138169,0.682106240138169,,
CHE_2018_1,0.759086531368925,0.759086531368925,,,0.770340319835378,0.770340319835378,,
CHE_2018_BUFFER,0.654660969546391,,,,0.727448999922715,,,
CHE_2019_1,0.617121323065153,0.617121323065153,,,0.620331561375121,0.620331561375121,,
CHE_2019_BUFFER,0.828188580798347,,,,0.999999390535383,,,
CHE_2020_1,0.693667740935859,0.693667740935859,,,0.721038224731463,0.721038224731463,,
CHE_2020_2,0.668017970724497,,0.668017970724497,,0.780313031254321,,0.780313031254321,
CHE_2021_1,0.663882063876664,0.663882063876664,,,0.676847378695767,0.676847378695767,,
CHE_2021_2,0.749755978385977,,0.749755978385977,,0.753411130905986,,0.753411130905986,
CHE_2021_BUFFER,0.999999999999977,,,,0.999999310601038,,,
CHE_2022_1,0.599681010947502,0.599681010947502,,,0.619216453950398,0.619216453950398,,
CHE_2022_2,0.573221675241399,,0.573221675241399,,0.716261147800144,,0.716261147800144,
ESP_2019_1,0.679184692502792,0.679184692502792,,,0.694361512138213,0.694361512138213,,
FRA_2018_1,0.888189384825128,0.888189384825128,,,0.890146100678273,0.890146100678273,,
FRA_2019_1,0.856636324572267,0.856636324572267,,,0.859522926857319,0.859522926857319,,
FRA_2020_1,0.856293540533138,0.856293540533138,,,0.861047860045636,0.861047860045636,,
FRA_2021_1,0.672873002288263,0.672873002288263,,,0.680583992425477,0.680583992425477,,
FRA_2021_2,0.681114369860019,,0.681114369860019,,0.712234433127523,,0.712234433127523,
FRA_2022_1,0.822482078814975,0.822482078814975,,,0.849983014303657,0.849983014303657,,
FRA_2022_2,0.846910957897043,,0.846910957897043,,0.910389819922568,,0.910389819922568,
ITA_2018_1,0.725393329314175,0.725393329314175,,,0.743724984288635,0.743724984288635,,
ITA_2019_1,0.867125017670021,0.867125017670021,,,0.872351738975697,0.872351738975697,,
ITA_2019_3,0.851840777915464,,,0.851840777915464,0.857039044290803,,,0.851840777915464
ITA_2020_1,0.85245052265404,0.85245052265404,,,0.857400796226669,0.857400796226669,,
ITA_2020_3,0.811943337119262,,,0.811943337119262,0.812523429563969,,,0.811943337119262
ITA_2021_1,0.880004209459545,0.880004209459545,,,0.895486501102983,0.895486501102983,,
ITA_2021_3,0.897884486579975,,,0.897884486579975,0.914684533646886,,,0.897884486579975
ITA_2022_1,0.807410784408361,0.807410784408361,,,0.823604723186055,0.823604723186055,,
ITA_2022_3,0.898592360313949,,,0.898592360313949,0.899101071222516,,,0.898592360313949
ITA_2023_1,0.81416931891692,0.81416931891692,,,0.852130091522751,0.852130091522751,,
ITA_2023_3,0.777729392340108,,,0.777729392340108,0.793129427187548,,,0.777729392340108
