Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2019_1,0.601870708903013,0.601870708903013,,,0.617249662835661,0.617249662835661,,
BEL_2020_1,0.433626384304104,0.433626384304104,,,0.437909862920383,0.437909862920383,,
BEL_2021_1,0.2234463207649,0.2234463207649,,,0.237392493032567,0.237392493032567,,
BEL_2021_2,0.405698526042228,,0.405698526042228,,0.423615936053935,,0.423615936053935,
BEL_2023_1,0.437621875378122,0.437621875378122,,,0.446465158937972,0.446465158937972,,
BEL_2023_2,0.450582126688133,,0.450582126688133,,0.55115873311599,,0.55115873311599,
CHE_2022_1,0.52646839712581,0.52646839712581,,,0.555451088056469,0.555451088056469,,
CHE_2022_2,0.425811858878543,,0.425811858878543,,0.433294543063477,,0.433294543063477,
ESP_2019_1,0.568124244613116,0.568124244613116,,,0.579525200511416,0.579525200511416,,
ESP_2020_1,0.460464274208894,0.460464274208894,,,0.483276437879968,0.483276437879968,,
ESP_2022_1,0.376492058377471,0.376492058377471,,,0.370819822434596,0.370819822434596,,
ESP_2022_2,0.648780518601142,,0.648780518601142,,0.654616298938529,,0.654616298938529,
FRA_2019_1,0.598690310181897,0.598690310181897,,,0.603406363943658,0.603406363943658,,
FRA_2020_1,0.470244093864795,0.470244093864795,,,0.480807690324136,0.480807690324136,,
FRA_2021_1,0.423122044799841,0.423122044799841,,,0.422707795067553,0.422707795067553,,
FRA_2021_2,0.702542546390611,,0.702542546390611,,0.72884574608878,,0.72884574608878,
FRA_2022_1,0.546432085911583,0.546432085911583,,,0.545846726982833,0.545846726982833,,
FRA_2022_2,0.298738070541514,,0.298738070541514,,0.350636626486328,,0.350636626486328,
ITA_2019_1,0.52922408443901,0.52922408443901,,,0.536626651685439,0.536626651685439,,
ITA_2019_3,0.551615152893007,,,0.551615152893007,0.552493470279878,,,0.551615152893007
ITA_2020_1,0.582322329857229,0.582322329857229,,,0.578596656159229,0.578596656159229,,
ITA_2020_3,0.515762943939379,,,0.515762943939379,0.563155026777276,,,0.515762943939379
ITA_2021_1,0.284484032457967,0.284484032457967,,,0.284060960045266,0.284060960045266,,
ITA_2021_3,0.513553903304155,,,0.513553903304155,0.503212221864294,,,0.513553903304155
ITA_2022_1,0.392184386596212,0.392184386596212,,,0.408532207838679,0.408532207838679,,
ITA_2022_3,0.218582448726731,,,,0.256514847068597,,,
ITA_2023_1,0.315519688958761,0.315519688958761,,,0.315927986729317,0.315927986729317,,
ITA_2023_3,0.189798358779923,,,,0.223840178504566,,,
FRA_2023_2,,,0.127493497926275,,,,0.173027759008256,
