Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2021_2,0.853481716544889,,0.853481716544889,,0.862697391501113,,0.862697391501113,
BEL_2023_1,0.59606839399511,0.59606839399511,,,0.600255687722309,0.600255687722309,,
BEL_2023_2,0.843296865637919,,0.843296865637919,,0.871027023022191,,0.871027023022191,
ESP_2022_1,0.846679944774421,0.846679944774421,,,0.8481785927783,0.8481785927783,,
FRA_2021_1,0.246437422424094,0.246437422424094,,,0.278313033279246,0.278313033279246,,
FRA_2021_2,0.753364475923056,,0.753364475923056,,0.800940598243654,,0.800940598243654,
FRA_2023_1,0.999999999999986,0.999999999999986,,,,,,
FRA_2023_2,0.439065653320587,,0.439065653320587,,0.466897846061203,,,
POL_2021_1,0.374183698062961,0.374183698062961,,,0.367667035157017,0.367667035157017,,
POL_2021_3,0.484556775822519,,,0.484556775822519,0.481351915362618,,,0.484556775822519
POL_2022_1,0.355308718379343,0.355308718379343,,,0.361712055936,0.361712055936,,
POL_2022_3,0.433583211087887,,,0.433583211087887,0.43698444256715,,,0.433583211087887
POL_2023_1,0.336685357066576,0.336685357066576,,,0.367072667470211,0.367072667470211,,
POL_2023_3,0.370550400654841,,,0.370550400654841,0.385988680062615,,,0.370550400654841
