Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2018_1,0.556325495640684,0.556325495640684,,,0.624019405826701,0.624019405826701,,
BEL_2018_BUFFER,0.492276859396998,,,,0.585553141160181,,,
BEL_2019_1,0.297031197618452,0.297031197618452,,,0.373406570178174,0.373406570178174,,
BEL_2019_BUFFER,0.244304015896358,,,,,,,
BEL_2020_1,0.291125170179643,0.291125170179643,,,0.302435521225132,0.302435521225132,,
BEL_2020_2,0.33957450638425,,0.33957450638425,,0.369511550977057,,0.369511550977057,
BEL_2020_BUFFER,0.517596876474091,,,,0.531511746650259,,,
BEL_2021_1,0.348871996586872,0.348871996586872,,,0.362159125243433,0.362159125243433,,
BEL_2021_BUFFER,0.480024886410292,,,,0.524331798821492,,,
BEL_2022_1,0.365097655462074,0.365097655462074,,,0.368301028005786,0.368301028005786,,
CHE_2018_1,0.644921110555465,0.644921110555465,,,0.706044202523514,0.706044202523514,,
CHE_2018_BUFFER,0.463355316261834,,,,0.577644727906292,,,
CHE_2019_1,0.278394114706,0.278394114706,,,0.292332764287306,0.292332764287306,,
CHE_2019_BUFFER,0.115689621372816,,,,0.0831535558274366,,,
CHE_2020_1,0.413956464626527,0.413956464626527,,,0.451804206929101,0.451804206929101,,
CHE_2020_2,0.528248826825895,,0.528248826825895,,0.551030936899082,,0.551030936899082,
CHE_2021_1,0.326409553042467,0.326409553042467,,,0.388981097650638,0.388981097650638,,
CHE_2021_2,0.34366647057835,,0.34366647057835,,0.349199301090309,,0.349199301090309,
CHE_2022_1,0.273855706806213,0.273855706806213,,,0.385550024345428,0.385550024345428,,
CHE_2022_2,0.498040662833205,,0.498040662833205,,0.504096403169965,,0.504096403169965,
CHE_2023_1,0.195300329843508,0.195300329843508,,,0.173137532279583,0.173137532279583,,
CHE_2023_2,0.103227372846619,,0.103227372846619,,0.077070544885115,,0.077070544885115,
ESP_2019_1,0.615342746433902,0.615342746433902,,,0.648862552841728,0.648862552841728,,
ESP_2020_1,0.404278841590343,0.404278841590343,,,0.457759840738485,0.457759840738485,,
ESP_2021_1,0.346896863386347,0.346896863386347,,,0.343333819507118,0.343333819507118,,
ESP_2021_2,0.216216729036266,,0.216216729036266,,0.200588629367906,,0.200588629367906,
ESP_2022_1,0.331108758156744,0.331108758156744,,,0.376836193152898,0.376836193152898,,
ESP_2022_2,0.350932234617146,,0.350932234617146,,0.354943593227668,,0.354943593227668,
ESP_2023_1,0.146103380787436,0.146103380787436,,,0.16467683204898,,,
ESP_2023_2,0.205418084265282,,0.205418084265282,,0.171136466639058,,0.171136466639058,
ESP_2023_BUFFER,0.874598789728896,,,,0.999985081916479,,,
FRA_2019_1,0.614749981600314,0.614749981600314,,,0.667706124948974,0.667706124948974,,
FRA_2020_1,0.454868617806512,0.454868617806512,,,0.485280669988965,0.485280669988965,,
FRA_2020_2,0.414778739095989,,0.414778739095989,,0.429999991154386,,0.429999991154386,
FRA_2021_1,0.21412649950813,0.21412649950813,,,0.300711320401344,0.300711320401344,,
FRA_2021_2,0.378126583252344,,0.378126583252344,,0.467417507362615,,0.467417507362615,
FRA_2022_1,0.492469554426089,0.492469554426089,,,0.555048228545688,0.555048228545688,,
FRA_2022_2,0.371577027404699,,0.371577027404699,,0.491098752772642,,0.491098752772642,
FRA_2023_1,0.211143989609787,0.211143989609787,,,0.264108350609221,0.264108350609221,,
FRA_2023_2,0.165573843575793,,0.165573843575793,,0.174879391137706,,0.174879391137706,
ITA_2018_1,0.452983774469885,0.452983774469885,,,0.493872040976587,0.493872040976587,,
ITA_2019_1,0.418373000799437,0.418373000799437,,,0.582798061518162,0.582798061518162,,
ITA_2019_3,0.195122225494205,,,0.195122225494205,0.440132064740812,,,0.195122225494205
ITA_2020_1,0.359159127687997,0.359159127687997,,,0.429080125786306,0.429080125786306,,
ITA_2020_3,0.356854555139446,,,0.356854555139446,0.394263951832016,,,0.356854555139446
ITA_2021_1,0.329685704351692,0.329685704351692,,,0.384474645271939,0.384474645271939,,
ITA_2021_3,0.291209834285813,,,0.291209834285813,0.305308086882275,,,0.291209834285813
ITA_2022_1,0.273674263521572,0.273674263521572,,,0.37188639136343,0.37188639136343,,
ITA_2022_3,0.0357350675348732,,,0.0357350675348732,,,,0.0357350675348732
ITA_2023_1,0.328028529194709,0.328028529194709,,,0.338828082277525,0.338828082277525,,
ITA_2023_3,0.275537608843622,,,0.275537608843622,0.298388105175068,,,0.275537608843622
POL_2019_1,0.103047295094359,,,,0.130792442293005,,,
POL_2019_3,0.406554232692251,,,0.406554232692251,0.444891622457966,,,0.406554232692251
POL_2020_1,0.159156498935817,0.159156498935817,,,0.178467264415519,0.178467264415519,,
POL_2020_3,0.0885618837442431,,,0.0885618837442431,0.0802733332913281,,,0.0885618837442431
POL_2021_3,0.0437543692345849,,,0.0437543692345849,0.0674598760910858,,,0.0437543692345849
POL_2022_1,0.149585163228113,0.149585163228113,,,0.22970949673515,0.22970949673515,,
POL_2022_3,0.145750765705641,,,0.145750765705641,0.209960394091927,,,0.145750765705641
POL_2023_1,0.34263079916549,0.34263079916549,,,0.380770447225509,0.380770447225509,,
POL_2023_3,0.472539216413682,,,0.472539216413682,0.50555985483576,,,0.472539216413682
ESP_2020_2,,,,,0.0613986938870005,,0.0613986938870005,
POL_2021_1,,,,,0.0746667460833748,,,
BEL_2021_2,,,,,,,0.0297033382144848,
