Environment,h2_raw,h2_raw_manage_type_1,h2_raw_manage_type_2,h2_raw_manage_type_3,h2_adj,h2_adj_manage_type_1,h2_adj_manage_type_2,h2_adj_manage_type_3
BEL_2019_1,0.69395931516074,0.69395931516074,,,0.703630240910217,0.703630240910217,,
BEL_2020_1,0.65790900245273,0.65790900245273,,,0.666760415931039,0.666760415931039,,
BEL_2021_1,0.638114698097363,0.638114698097363,,,0.641713794349859,0.641713794349859,,
BEL_2021_2,0.561072928573041,,0.561072928573041,,,,0.581169667968185,
BEL_2023_1,0.673889102115049,0.673889102115049,,,0.690537903472244,0.690537903472244,,
BEL_2023_2,0.661795057904667,,0.661795057904667,,0.777686850547019,,0.777686850547019,
ESP_2019_1,0.659575608844119,0.659575608844119,,,0.679120456228371,0.679120456228371,,
ESP_2020_1,0.745167903362871,0.745167903362871,,,0.762240013979435,0.762240013979435,,
ESP_2021_1,0.600616211272118,0.600616211272118,,,0.622208526792777,0.622208526792777,,
ESP_2022_1,0.758828284139147,0.758828284139147,,,0.78263813954984,0.78263813954984,,
ESP_2022_2,0.705988707150347,,0.705988707150347,,0.75682145775869,,0.75682145775869,
FRA_2019_1,0.83640488539748,0.83640488539748,,,0.840062606063636,0.840062606063636,,
FRA_2020_1,0.779849042910582,0.779849042910582,,,0.807168165317478,0.807168165317478,,
FRA_2021_1,0.751267861414042,0.751267861414042,,,0.754154494306657,0.754154494306657,,
FRA_2021_2,0.847322021597135,,0.847322021597135,,0.872042707960234,,0.872042707960234,
FRA_2022_1,0.835153991087108,0.835153991087108,,,0.840426125922631,0.840426125922631,,
FRA_2022_2,0.691449005507402,,0.691449005507402,,0.718767565824121,,0.718767565824121,
ITA_2019_1,0.682617552565118,0.682617552565118,,,0.705335817244273,0.705335817244273,,
ITA_2019_3,0.694980482241,,,0.694980482241,0.744708792941763,,,0.694980482241
ITA_2020_1,0.799404035871363,0.799404035871363,,,0.846809966665732,0.846809966665732,,
ITA_2020_3,0.710308492819085,,,0.710308492819085,0.724517865544865,,,0.710308492819085
ITA_2021_1,0.763842432922561,0.763842432922561,,,0.776462154048157,0.776462154048157,,
ITA_2021_3,0.856874638119951,,,0.856874638119951,0.859585767994685,,,0.856874638119951
ITA_2023_1,0.700484013115047,0.700484013115047,,,0.70363710467084,0.70363710467084,,
ITA_2023_3,0.754560343103395,,,0.754560343103395,0.784301185493493,,,0.754560343103395
ITA_2022_3,,,,,0.614061029731166,,,
