Genotype,Envir,Management,Row,Position,Color_over,R,P,Color_over_spats_residuals,Color_over_spats_geno_pred_values,Color_over_spats_adj_pheno
1,BEL_2018_1,1,19,44,4,19,44,0.188175268292986,3.95818392843147,4.14635919672446
1,BEL_2018_1,1,17,112,4,17,112,0.0461340861393422,3.95818392843147,4.00431801457081
1015,BEL_2018_1,1,18,40,5,18,40,0.429262834867228,4.80370112808019,5.23296396294742
1015,BEL_2018_1,1,22,108,5,22,108,-0.0109453125131047,4.80370112808019,4.79275581556708
1020,BEL_2018_1,1,25,77,4,25,77,0.10653937460175,3.88959868258275,3.9961380571845
1020,BEL_2018_1,1,26,35,4,26,35,0.112843913938212,3.88959868258275,4.00244259652096
1091,BEL_2018_1,1,24,15,0,24,15,-0.266669688368742,0.186055547127672,-0.0806141412410694
1091,BEL_2018_1,1,22,94,0,22,94,-0.319941493053091,0.186055547127672,-0.133885945925419
1106.1,BEL_2018_1,1,22,100,3,22,100,-0.00840109642850173,2.84292984457723,2.83452874814873
1113,BEL_2018_1,1,22,96,5,22,96,0.115158252424839,4.74068013652772,4.85583838895256
1113,BEL_2018_1,1,21,50,5,21,50,0.289444141247096,4.74068013652772,5.03012427777481
112,BEL_2018_1,1,23,63,4,23,63,-0.443329852607709,4.42540103728653,3.98207118467882
112,BEL_2018_1,1,18,57,5,18,57,0.779318704817088,4.42540103728653,5.20471974210362
1123,BEL_2018_1,1,17,67,2,17,67,0.0420055337697531,2.21945811482239,2.26146364859215
1123,BEL_2018_1,1,20,9,2,20,9,-0.186091499519526,2.21945811482239,2.03336661530287
1125,BEL_2018_1,1,24,44,3,24,44,-0.00474744839383456,3.00318029483317,2.99843284643934
1125,BEL_2018_1,1,20,66,3,20,66,0.0312213276281401,3.00318029483317,3.03440162246131
114,BEL_2018_1,1,17,100,0,17,100,-0.264377812980898,0.346366648382514,0.0819888354016153
114,BEL_2018_1,1,20,20,0,20,20,-0.287345193426059,0.346366648382514,0.0590214549564546
118,BEL_2018_1,1,18,42,0,18,42,-0.473584546778153,0.705412729414593,0.231828182636439
12_196,BEL_2018_1,1,21,74,4,21,74,-0.0517273731492045,4.01959992088944,3.96787254774024
12_196,BEL_2018_1,1,17,47,4,17,47,0.299402563614176,4.01959992088944,4.31900248450362
12_197,BEL_2018_1,1,19,72,4,19,72,0.0572579092184218,4.01714675665902,4.07440466587744
12_197,BEL_2018_1,1,18,14,4,18,14,0.189883404164178,4.01714675665902,4.2070301608232
12_204,BEL_2018_1,1,26,65,5,26,65,0.222227773101353,4.82282580204808,5.04505357514943
12_204,BEL_2018_1,1,26,42,5,26,42,0.200251812686119,4.82282580204808,5.0230776147342
12_205,BEL_2018_1,1,23,46,5,23,46,0.691492036448082,4.30657823454438,4.99807027099246
12_205,BEL_2018_1,1,21,84,4,21,84,-0.3813623462392,4.30657823454438,3.92521588830518
12_B006,BEL_2018_1,1,21,69,1,21,69,0.239748935129083,0.746006422846932,0.985755357976015
12_B006,BEL_2018_1,1,26,53,0,26,53,-0.704499159955215,0.746006422846932,0.0415072628917162
12_B020,BEL_2018_1,1,25,114,3,25,114,-0.0472087076386369,2.92086776915035,2.87365906151171
12_B020,BEL_2018_1,1,24,32,3,24,32,0.0557690813236822,2.92086776915035,2.97663685047403
