Genotype,Envir,Management,Row,Position,Flowering_begin,R,P,Flowering_begin_spats_residuals,Flowering_begin_spats_geno_pred_values,Flowering_begin_spats_adj_pheno
1,BEL_2018_1,1,19,44,114,19,44,1.98591950237009,111.960933053927,113.946852556297
1,BEL_2018_1,1,17,112,112,17,112,0.133468498023703,111.960933053927,112.09440155195
1015,BEL_2018_1,1,18,40,109,18,40,-0.498528563527287,109.36788773697,108.869359173442
1015,BEL_2018_1,1,22,108,109,22,108,-0.154808089280465,109.36788773697,109.213079647689
1020,BEL_2018_1,1,25,77,110,25,77,0.0209563460532678,110.047001508081,110.067957854135
1020,BEL_2018_1,1,26,35,110,26,35,0.051878457987911,110.047001508081,110.098879966069
1106.1,BEL_2018_1,1,17,35,109,17,35,-0.550479252601605,109.328918042955,108.778438790353
1106.1,BEL_2018_1,1,22,100,109,22,100,-0.144527412918535,109.328918042955,109.184390630037
1113,BEL_2018_1,1,22,96,110,22,96,-0.193857403463113,110.356872118437,110.163014714974
1113,BEL_2018_1,1,21,50,111,21,50,0.598034615990827,110.356872118437,110.954906734428
112,BEL_2018_1,1,18,57,110,18,57,0.0175959010491624,109.96487983804,109.98247573909
112,BEL_2018_1,1,23,63,110,23,63,-0.0325732064201816,109.96487983804,109.93230663162
1123,BEL_2018_1,1,17,67,110,17,67,-0.295187766123462,110.221145068032,109.925957301908
1123,BEL_2018_1,1,20,9,111,20,9,0.554233022682851,110.221145068032,110.775378090715
1125,BEL_2018_1,1,20,66,109,20,66,-0.299793395448631,109.338423263309,109.03862986786
1125,BEL_2018_1,1,24,44,109,24,44,-0.38504940651066,109.338423263309,108.953373856798
114,BEL_2018_1,1,20,20,110,20,20,-0.106203930901188,109.95148101022,109.845277079319
114,BEL_2018_1,1,17,100,110,17,100,0.0768993555900295,109.95148101022,110.02838036581
118,BEL_2018_1,1,18,42,110,18,42,-0.0897178115705657,109.973096128116,109.883378316545
118,BEL_2018_1,1,20,73,110,20,73,0.0835261259106659,109.973096128116,110.056622254026
12_196,BEL_2018_1,1,21,74,110,21,74,0.721886634095654,109.294045850495,110.015932484591
12_196,BEL_2018_1,1,17,47,108,17,47,-1.4541818834725,109.294045850495,107.839863967022
12_197,BEL_2018_1,1,19,72,109,19,72,-0.841627376685537,109.921955938026,109.08032856134
12_197,BEL_2018_1,1,18,14,111,18,14,0.780751854648131,109.921955938026,110.702707792674
12_204,BEL_2018_1,1,26,42,110,26,42,0.036921255515793,110.085940639447,110.122861894963
12_204,BEL_2018_1,1,26,65,110,26,65,0.0775508808181797,110.085940639447,110.163491520265
12_205,BEL_2018_1,1,23,46,110,23,46,-0.0812045567021329,109.984205873322,109.90300131662
12_205,BEL_2018_1,1,21,84,110,21,84,0.0868924414545376,109.984205873322,110.071098314777
12_B006,BEL_2018_1,1,21,69,110,21,69,0.280687314168915,109.715092871608,109.995780185777
12_B006,BEL_2018_1,1,26,53,109,26,53,-0.562760020976441,109.715092871608,109.152332850632
12_B020,BEL_2018_1,1,24,32,110,24,32,0.90330482520416,109.066260733435,109.96956555864
12_B020,BEL_2018_1,1,25,114,107,25,114,-1.8791690571873,109.066260733435,107.187091676248
12_B023,BEL_2018_1,1,18,116,110,18,116,0.110310076069126,109.98078958653,110.091099662599
12_B023,BEL_2018_1,1,17,54,110,17,54,-0.10827520214167,109.98078958653,109.872514384388
12_B057,BEL_2018_1,1,21,66,110,21,66,-0.00545529848008641,109.992077322502,109.986622024021
12_B057,BEL_2018_1,1,20,56,110,20,56,0.0195600670615192,109.992077322502,110.011637389563
12_B061,BEL_2018_1,1,21,79,110,21,79,0.41677932617894,109.62500922481,110.041788550989
12_B061,BEL_2018_1,1,17,45,109,17,45,-0.795177826714507,109.62500922481,108.829831398095
12_B064,BEL_2018_1,1,25,88,109,25,88,-0.278954444169329,109.355507918219,109.07655347405
12_B064,BEL_2018_1,1,24,33,109,24,33,-0.387619859529636,109.355507918219,108.96788805869
12_B074,BEL_2018_1,1,24,92,110,24,92,0.0681346802887646,110.042605963839,110.110740644127
12_B081,BEL_2018_1,1,22,34,109,22,34,-1.06119495120545,109.975450957232,108.914256006027
12_B081,BEL_2018_1,1,18,68,111,18,68,1.05752126733428,109.975450957232,111.032972224567
12_B093,BEL_2018_1,1,23,11,109,23,11,-0.731163012806547,109.693391931174,108.962228918368
12_B093,BEL_2018_1,1,20,93,110,20,93,0.425885646926673,109.693391931174,110.119277578101
12_B095,BEL_2018_1,1,23,23,110,23,23,-0.0600750067311964,110.007524415787,109.947449409055
12_B095,BEL_2018_1,1,19,99,110,19,99,0.0906972407389048,110.007524415787,110.098221656525
12_E003,BEL_2018_1,1,21,63,110,21,63,0.391978903368383,109.586873783379,109.978852686747
12_E003,BEL_2018_1,1,19,19,109,19,19,-0.811155356346745,109.586873783379,108.775718427032
12_E014,BEL_2018_1,1,22,13,110,22,13,-0.0777681773590615,109.995049533421,109.917281356061
