Genotype,Envir,Management,Row,Position,Flowering_end,R,P,Flowering_end_spats_residuals,Flowering_end_spats_geno_pred_values,Flowering_end_spats_adj_pheno
1,ESP_2019_1,1,6,32,108,6,32,-0.308660945377383,107.827422725698,107.518761780321
1,ESP_2019_1,1,5,72,116,5,72,7.58682557824493,107.827422725698,115.414248303943
101,ESP_2019_1,1,1,63,92,1,63,-8.4018573606408,99.7225576915588,91.320700330918
101,ESP_2019_1,1,11,24,101,11,24,2.51830767414033,99.7225576915588,102.240865365699
101,ESP_2019_1,1,11,93,108,11,93,8.09210676909299,99.7225576915588,107.814664460652
101,ESP_2019_1,1,10,59,94,10,59,-4.34633150235663,99.7225576915588,95.3762261892022
101,ESP_2019_1,1,9,45,101,9,45,2.10431148235008,99.7225576915588,101.826869173909
101,ESP_2019_1,1,3,126,98,3,126,-2.5886757107006,99.7225576915588,97.1338819808582
1015,ESP_2019_1,1,4,28,108,4,28,4.90024881404563,102.312207583284,107.212456397329
1015,ESP_2019_1,1,2,81,98,2,81,-4.35906281558775,102.312207583284,97.9531447676961
1020,ESP_2019_1,1,10,15,101,10,15,-1.30518906628122,103.636289730229,102.331100663948
1020,ESP_2019_1,1,12,51,108,12,51,5.26797090114846,103.636289730229,108.904260631378
1020,ESP_2019_1,1,9,121,108,9,121,3.39182792777193,103.636289730229,107.028117658001
1020,ESP_2019_1,1,8,63,101,8,63,-2.22781951858497,103.636289730229,101.408470211644
1020,ESP_2019_1,1,11,110,101,11,110,-2.96820349080551,103.636289730229,100.668086239424
1106.1,ESP_2019_1,1,8,61,108,8,61,7.19344436683417,101.190322174507,108.383766541341
1106.1,ESP_2019_1,1,7,73,93,7,73,-8.02267055249237,101.190322174507,93.1676516220146
1113,ESP_2019_1,1,9,98,108,9,98,3.33417734380502,104.598684800506,107.932862144311
112,ESP_2019_1,1,5,71,108,5,71,3.05888266119186,104.373315315969,107.432197977161
1123,ESP_2019_1,1,13,88,108,13,88,5.22768346671086,103.278422904969,108.50610637168
1123,ESP_2019_1,1,1,33,107,1,33,2.85103029942881,103.278422904969,106.129453204398
1123,ESP_2019_1,1,12,28,101,12,28,-1.27233454708582,103.278422904969,102.006088357883
1123,ESP_2019_1,1,7,81,101,7,81,-2.0538830485624,103.278422904969,101.224539856407
1123,ESP_2019_1,1,10,130,101,10,130,-3.0310530450961,103.278422904969,100.247369859873
1125,ESP_2019_1,1,9,44,93,9,44,-2.94525428660354,96.7862509656504,93.8409966790468
1125,ESP_2019_1,1,9,76,93,9,76,-3.26365934049402,96.7862509656504,93.5225916251563
114,ESP_2019_1,1,3,91,98,3,91,-0.420573758363588,97.6568347952081,97.2362610368445
114,ESP_2019_1,1,7,52,93,7,52,-4.72489909484897,97.6568347952081,92.9319357003591
118,ESP_2019_1,1,10,116,101,10,116,-2.27908604040793,102.938800244844,100.659714204436
118,ESP_2019_1,1,9,54,101,9,54,-1.22425707950944,102.938800244844,101.714543165335
118,ESP_2019_1,1,11,12,108,11,12,5.90039523212214,102.938800244844,108.839195476966
118,ESP_2019_1,1,13,112,101,13,112,-1.09046689279039,102.938800244844,101.848333352054
12_196,ESP_2019_1,1,6,39,101,6,39,-2.5992139536318,102.978124197312,100.378910243681
12_196,ESP_2019_1,1,5,122,108,5,122,3.95383440299761,102.978124197312,106.93195860031
12_197,ESP_2019_1,1,1,17,98,1,17,-2.05916937671438,98.8334237304955,96.7742543537811
12_197,ESP_2019_1,1,5,81,98,5,81,-1.64906951302959,98.8334237304955,97.1843542174659
12_204,ESP_2019_1,1,4,128,98,4,128,-3.15714472581813,100.213449065764,97.0563043399458
12_204,ESP_2019_1,1,8,51,101,8,51,1.13464264933968,100.213449065764,101.348091715104
12_205,ESP_2019_1,1,2,43,107,2,43,4.35396860846228,101.903625660232,106.257594268694
12_205,ESP_2019_1,1,1,81,98,1,81,-4.31187604787188,101.903625660232,97.5917496123601
12_B006,ESP_2019_1,1,3,55,98,3,55,-4.58260285946466,101.919039448541,97.3364365890764
12_B006,ESP_2019_1,1,4,117,108,4,117,4.64352376307168,101.919039448541,106.562563211613
12_B020,ESP_2019_1,1,8,71,101,8,71,2.47305396410802,99.0620296614447,101.535083625553
12_B020,ESP_2019_1,1,5,2,92,5,2,-5.90204476783254,99.0620296614447,93.1599848936122
12_B023,ESP_2019_1,1,2,13,107,2,13,1.50397064155081,104.860040528562,106.364011170113
12_B023,ESP_2019_1,1,5,86,108,5,86,2.14945951659209,104.860040528562,107.009500045155
12_B057,ESP_2019_1,1,12,36,94,12,36,-2.41870540830547,97.5075457090827,95.0888403007772
12_B057,ESP_2019_1,1,13,118,94,13,118,-2.68034825225359,97.5075457090827,94.8271974568291
12_B057,ESP_2019_1,1,1,52,98,1,52,-0.228779691311374,97.5075457090827,97.2787660177713
12_B061,ESP_2019_1,1,9,94,101,9,94,1.68459081266225,99.4011595748062,101.085750387468
12_B061,ESP_2019_1,1,12,71,94,12,71,-5.17374519621077,99.4011595748062,94.2274143785954
12_B061,ESP_2019_1,1,4,64,98,4,64,-1.90094608262667,99.4011595748062,97.5002134921795
