Genotype,Envir,Management,Row,Position,Flowering_full,R,P,Flowering_full_spats_residuals,Flowering_full_spats_geno_pred_values,Flowering_full_spats_adj_pheno
1,ESP_2019_1,1,5,72,108,5,72,7.27919637621436,101.046692533751,108.325888909966
1,ESP_2019_1,1,6,32,101,6,32,0.462020036734927,101.046692533751,101.508712570486
101,ESP_2019_1,1,1,63,85,1,63,-6.3787728421962,91.4088216866501,85.0300488444539
101,ESP_2019_1,1,10,59,87,10,59,-3.7829818965037,91.4088216866501,87.6258397901465
101,ESP_2019_1,1,11,93,94,11,93,2.62571479455659,91.4088216866501,94.0345364812067
101,ESP_2019_1,1,9,45,93,9,45,2.26129599850852,91.4088216866501,93.6701176851587
101,ESP_2019_1,1,3,126,92,3,126,0.58439116745771,91.4088216866501,91.9932128541079
101,ESP_2019_1,1,11,24,94,11,24,2.792239988383,91.4088216866501,94.2010616750331
1015,ESP_2019_1,1,4,28,92,4,28,-0.560724176133647,92.7307169540677,92.1699927779341
1015,ESP_2019_1,1,2,81,92,2,81,-0.0152933234939638,92.7307169540677,92.7154236305737
1020,ESP_2019_1,1,8,63,93,8,63,-1.00064067282818,94.7303974740367,93.7297568012085
1020,ESP_2019_1,1,9,121,93,9,121,-2.82290213626004,94.7303974740367,91.9074953377767
1020,ESP_2019_1,1,10,15,94,10,15,-0.10281299583464,94.7303974740367,94.6275844782021
1020,ESP_2019_1,1,11,110,94,11,110,-1.11618727020542,94.7303974740367,93.6142102038313
1020,ESP_2019_1,1,12,51,101,12,51,6.4665086773792,94.7303974740367,101.196906151416
1106.1,ESP_2019_1,1,8,61,87,8,61,-1.66748624961186,89.4274513525608,87.759965102949
1106.1,ESP_2019_1,1,7,73,87,7,73,-2.21229668557355,89.4274513525608,87.2151546669873
1113,ESP_2019_1,1,9,98,101,9,98,2.12450711775436,98.5534861981328,100.677993315887
1113,ESP_2019_1,1,9,47,101,9,47,3.12312569974542,98.5534861981328,101.676611897878
