Genotype,Envir,Management,Row,Position,Flowering_intensity,R,P,Flowering_intensity_spats_residuals,Flowering_intensity_spats_geno_pred_values,Flowering_intensity_spats_adj_pheno
1,BEL_2018_1,1,19,44,50,19,44,-0.696588529441527,53.0974056137012,52.4008170842596
1,BEL_2018_1,1,17,112,50,17,112,-8.23665835422881,53.0974056137012,44.8607472594724
101,BEL_2018_1,1,18,91,0,18,91,-33.2663597618459,24.8994435278688,-8.36691623397707
101,BEL_2018_1,1,17,17,0,17,17,-20.1973954532733,24.8994435278688,4.70204807459555
1015,BEL_2018_1,1,22,108,80,22,108,9.28048863896926,68.9080850708172,78.1885737097865
1015,BEL_2018_1,1,18,40,80,18,40,6.7546501765775,68.9080850708172,75.6627352473947
1020,BEL_2018_1,1,26,35,80,26,35,15.0645403336524,73.4806306805753,88.5451710142278
1020,BEL_2018_1,1,25,77,80,25,77,8.19160898440731,73.4806306805753,81.6722396649826
1106.1,BEL_2018_1,1,22,100,70,22,100,14.948980342881,56.7349046973811,71.6838850402621
1106.1,BEL_2018_1,1,17,35,30,17,35,-18.137851701881,56.7349046973811,38.5970529955001
1113,BEL_2018_1,1,22,96,80,22,96,24.560938380689,58.467398990716,83.028337371405
1113,BEL_2018_1,1,21,50,30,21,50,-25.0138371424953,58.467398990716,33.4535618482208
112,BEL_2018_1,1,18,57,50,18,57,0.913977509493577,43.9662661719246,44.8802436814182
112,BEL_2018_1,1,23,63,20,23,63,-24.2672126089773,43.9662661719246,19.6990535629473
1123,BEL_2018_1,1,17,67,70,17,67,13.5858865265618,61.6863805380995,75.2722670646613
1123,BEL_2018_1,1,20,9,50,20,9,-8.95533691085016,61.6863805380995,52.7310436272493
1125,BEL_2018_1,1,24,44,80,24,44,6.40930525301218,72.7284341514604,79.1377394044725
1125,BEL_2018_1,1,20,66,80,20,66,15.6589676609062,72.7284341514604,88.3874018123665
114,BEL_2018_1,1,20,20,60,20,20,1.63286919863958,63.0017174985713,64.6345866972108
114,BEL_2018_1,1,17,100,70,17,100,5.07487391419976,63.0017174985713,68.076591412771
118,BEL_2018_1,1,20,73,50,20,73,4.68978247159479,55.4888183210407,60.1786007926355
118,BEL_2018_1,1,18,42,50,18,42,-9.84648610139595,55.4888183210407,45.6423322196447
12_196,BEL_2018_1,1,21,74,60,21,74,1.40739544144919,66.9774328427877,68.3848282842369
12_196,BEL_2018_1,1,17,47,70,17,47,11.5788377523472,66.9774328427877,78.556270595135
12_197,BEL_2018_1,1,19,72,70,19,72,10.2661317291244,63.8230036039195,74.089135333044
12_197,BEL_2018_1,1,18,14,70,18,14,-2.26140525112569,63.8230036039195,61.5615983527938
12_204,BEL_2018_1,1,26,42,80,26,42,14.1251588329964,72.8904096704484,87.0155685034449
12_204,BEL_2018_1,1,26,65,80,26,65,8.19890746683495,72.8904096704484,81.0893171372834
12_205,BEL_2018_1,1,23,46,80,23,46,9.4000680073592,70.5863309499044,79.9863989572636
12_205,BEL_2018_1,1,21,84,70,21,84,9.28537375821747,70.5863309499044,79.8717047081219
12_B006,BEL_2018_1,1,21,69,12.5,21,69,-29.7316679715912,49.2996353146376,19.5679673430463
12_B006,BEL_2018_1,1,26,53,60,26,53,14.8009436309115,49.2996353146376,64.1005789455491
12_B020,BEL_2018_1,1,24,32,70,24,32,8.67392457499908,62.2162815111177,70.8902060861167
12_B020,BEL_2018_1,1,25,114,60,25,114,-3.20654995675704,62.2162815111177,59.0097315543606
12_B023,BEL_2018_1,1,17,54,80,17,54,19.5770980495272,68.1218531366609,87.6989511861881
12_B023,BEL_2018_1,1,18,116,80,18,116,-4.78358469570074,68.1218531366609,63.3382684409602
12_B057,BEL_2018_1,1,21,66,10,21,66,-32.7518142079599,48.9937610912018,16.2419468832419
12_B057,BEL_2018_1,1,20,56,60,20,56,17.3380501847095,48.9937610912018,66.3318112759113
12_B061,BEL_2018_1,1,21,79,12.5,21,79,-23.7447781783654,45.6505935679473,21.9058153895819
12_B061,BEL_2018_1,1,17,45,40,17,45,3.05145002226912,45.6505935679473,48.7020435902165
12_B064,BEL_2018_1,1,24,33,80,24,33,7.12476782731828,73.6419930669736,80.7667608942919
12_B064,BEL_2018_1,1,25,88,90,25,88,16.3862066114372,73.6419930669736,90.0281996784109
12_B074,BEL_2018_1,1,17,42,0,17,42,-37.1665637134201,45.9891394704501,8.82257575703005
12_B074,BEL_2018_1,1,24,92,70,24,92,17.0078706875536,45.9891394704501,62.9970101580037
12_B081,BEL_2018_1,1,18,68,80,18,68,4.62713343817894,69.510162602117,74.1372960402959
12_B081,BEL_2018_1,1,22,34,80,22,34,12.3588123343423,69.510162602117,81.8689749364593
