Genotype,Envir,Management,Row,Position,Fruit_number,R,P,Fruit_number_spats_residuals,Fruit_number_spats_geno_pred_values,Fruit_number_spats_adj_pheno
1,BEL_2018_1,1,19,44,7,19,44,-3.6458557282421,14.9847530076239,11.3388972793818
1,BEL_2018_1,1,17,112,9,17,112,-5.41546148509424,14.9847530076239,9.56929152252962
1015,BEL_2018_1,1,22,108,5,22,108,-9.54639408785216,11.4228508800912,1.87645679223903
1015,BEL_2018_1,1,18,40,5,18,40,-2.91267693849157,11.4228508800912,8.51017394159963
1020,BEL_2018_1,1,25,77,13,25,77,2.09218912378195,13.4905516163647,15.5827407401466
1020,BEL_2018_1,1,26,35,4,26,35,-12.578848273189,13.4905516163647,0.911703343175644
1091,BEL_2018_1,1,24,15,15,24,15,-2.25938328462673,17.5505561084498,15.291172823823
1091,BEL_2018_1,1,22,94,16,22,94,-4.35437446269575,17.5505561084498,13.196181645754
1106.1,BEL_2018_1,1,22,100,11,22,100,-7.76364291789311,16.3451190282839,8.58147611039082
1113,BEL_2018_1,1,22,96,22,22,96,1.48876686302225,17.536291675241,19.0250585382633
1113,BEL_2018_1,1,21,50,11,21,50,-8.1161316749383,17.536291675241,9.42016000030272
112,BEL_2018_1,1,23,63,5,23,63,-9.5486108108685,14.2110169207002,4.66240610983167
112,BEL_2018_1,1,18,57,15,18,57,-0.25078528433405,14.2110169207002,13.9602316363661
1123,BEL_2018_1,1,17,67,67,17,67,19.0558787891605,40.0662060357091,59.1220848248696
1123,BEL_2018_1,1,20,9,36,20,9,-4.19160804116335,40.0662060357091,35.8745979945458
1125,BEL_2018_1,1,24,44,49,24,44,6.24906113445145,42.1995060982033,48.4485672326548
1125,BEL_2018_1,1,20,66,52,20,66,10.6501977075756,42.1995060982033,52.8497038057789
114,BEL_2018_1,1,17,100,11,17,100,-3.51451427536956,15.8672060678221,12.3526917924525
114,BEL_2018_1,1,20,20,9,20,20,-4.70501724517299,15.8672060678221,11.1621888226491
118,BEL_2018_1,1,18,42,7,18,42,-6.54871066133041,17.6187456733022,11.0700350119718
12_196,BEL_2018_1,1,17,47,35,17,47,-1.76971487199756,35.2142290030301,33.4445141310325
12_196,BEL_2018_1,1,21,74,49,21,74,12.0056092993827,35.2142290030301,47.2198383024128
12_197,BEL_2018_1,1,18,14,22,18,14,-2.11973984035493,26.4274283181503,24.3076884777954
12_197,BEL_2018_1,1,19,72,28,19,72,3.97376849427833,26.4274283181503,30.4011968124286
12_204,BEL_2018_1,1,26,65,19,26,65,5.73847612989145,16.3606727417623,22.0991488716537
12_204,BEL_2018_1,1,26,42,5,26,42,-13.4872821186986,16.3606727417623,2.87339062306364
12_205,BEL_2018_1,1,23,46,17,23,46,-6.63881588715976,23.2679726370653,16.6291567499056
12_205,BEL_2018_1,1,21,84,29,21,84,5.47899064979986,23.2679726370653,28.7469632868652
12_B006,BEL_2018_1,1,21,69,2,21,69,-12.9935531348539,14.3639083550899,1.37035522023603
12_B006,BEL_2018_1,1,26,53,19,26,53,3.34000255577556,14.3639083550899,17.7039109108655
12_B020,BEL_2018_1,1,25,114,14,25,114,-12.6801054295045,31.8393134468242,19.1592080173197
12_B020,BEL_2018_1,1,24,32,53,24,32,19.6966154411759,31.8393134468242,51.5359288880002
12_B023,BEL_2018_1,1,17,54,39,17,54,5.02489430542454,30.6167819312936,35.6416762367182
12_B023,BEL_2018_1,1,18,116,30,18,116,0.825423888030507,30.6167819312936,31.4422058193241
12_B057,BEL_2018_1,1,21,66,5,21,66,-12.9573035563848,16.4639012832799,3.50659772689518
12_B057,BEL_2018_1,1,20,56,20,20,56,5.3069688781287,16.4639012832799,21.7708701614086
12_B061,BEL_2018_1,1,17,45,11,17,45,-2.15769800507207,12.19914453028,10.0414465252079
12_B061,BEL_2018_1,1,21,79,2,21,79,-9.56085444004678,12.19914453028,2.63829009023321
12_B064,BEL_2018_1,1,24,33,22,24,33,3.27418723189308,17.3199989776312,20.5941862095243
12_B064,BEL_2018_1,1,25,88,6,25,88,-10.107877010559,17.3199989776312,7.21212196707227
12_B074,BEL_2018_1,1,24,92,25,24,92,0.38745923656225,24.8900077116676,25.2774669482298
12_B081,BEL_2018_1,1,22,34,11,22,34,-8.01481714734295,16.0818103627668,8.06699321542389
12_B093,BEL_2018_1,1,23,11,18,23,11,-3.91061163764887,21.1765937881676,17.2659821505188
12_B093,BEL_2018_1,1,20,93,18,20,93,0.755787603618611,21.1765937881676,21.9323813917862
12_B095,BEL_2018_1,1,19,99,7,19,99,-5.08986903786754,16.127573649145,11.0377046112774
12_B095,BEL_2018_1,1,23,23,15,23,23,-2.88129379916038,16.127573649145,13.2462798499846
12_E003,BEL_2018_1,1,21,63,22,21,63,-1.97719216649655,23.0975713724205,21.120379205924
12_E003,BEL_2018_1,1,19,19,20,19,19,0.654818513723232,23.0975713724205,23.7523898861438
12_E014,BEL_2018_1,1,19,78,22,19,78,-6.46358739453734,31.7096307017517,25.2460433072144
12_E014,BEL_2018_1,1,22,13,49,22,13,13.3563910196279,31.7096307017517,45.0660217213796
12_E015,BEL_2018_1,1,22,36,14,22,36,-3.86530377432219,16.4003142882141,12.5350105138919
12_E015,BEL_2018_1,1,17,96,12,17,96,-3.84568752705464,16.4003142882141,12.5546267611595
12_E017,BEL_2018_1,1,24,45,16,24,45,-4.2178137920196,20.0622501102846,15.844436318265
12_E024,BEL_2018_1,1,18,93,29,18,93,4.67912925029146,29.3890118755506,34.0681411258421
12_E025,BEL_2018_1,1,21,11,24,21,11,2.21481524098796,19.3166835845757,21.5314988255637
12_E025,BEL_2018_1,1,26,67,10,26,67,-7.14383653250523,19.3166835845757,12.1728470520705
12_E034,BEL_2018_1,1,23,16,40,23,16,4.80137810107357,32.723520088579,37.5248981896525
12_E034,BEL_2018_1,1,25,84,34,25,84,3.05859037209953,32.723520088579,35.7821104606785
12_E035,BEL_2018_1,1,25,43,26,25,43,0.543158224564198,25.0532286473621,25.5963868719263
12_E039,BEL_2018_1,1,20,25,17,20,25,-3.34037668738376,20.0147952581692,16.6744185707855
12_E039,BEL_2018_1,1,19,68,17,19,68,-0.922705025804774,20.0147952581692,19.0920902323644
12_E043,BEL_2018_1,1,19,88,20,19,88,-3.68563898378724,28.3921683656241,24.7065293818368
12_E043,BEL_2018_1,1,21,48,37,21,48,7.41386371296794,28.3921683656241,35.806032078592
12_F002,BEL_2018_1,1,24,109,35,24,109,11.0399497435508,24.4137210344913,35.4536707780421
12_F002,BEL_2018_1,1,22,6,18,22,6,-11.1068277727294,24.4137210344913,13.3068932617619
12_F007,BEL_2018_1,1,20,51,25,20,51,-3.35306133617901,29.8108752724531,26.4578139362741
12_F007,BEL_2018_1,1,20,97,35,20,97,8.43461263909053,29.8108752724531,38.2454879115436
12_F019,BEL_2018_1,1,19,4,35,19,4,-1.19797728473621,36.6678310075027,35.4698537227665
12_F019,BEL_2018_1,1,26,90,50,26,90,12.8204852619758,36.6678310075027,49.4883162694785
