Genotype,Envir,Management,Row,Position,Fruit_weight_single,R,P,Fruit_weight_single_spats_residuals,Fruit_weight_single_spats_geno_pred_values,Fruit_weight_single_spats_adj_pheno
1,BEL_2018_1,1,17,112,113.33,17,112,-5.26032732618586,114.771515666441,109.511188340255
1,BEL_2018_1,1,19,44,97.14,19,44,-28.1671505131594,114.771515666441,86.6043651532814
1015,BEL_2018_1,1,18,40,244,18,40,7.04074656419601,225.580262770795,232.621009334991
1015,BEL_2018_1,1,22,108,248,22,108,24.6161131989617,225.580262770795,250.196375969757
1020,BEL_2018_1,1,25,77,180,25,77,-2.96268193531617,186.061019704351,183.098337769034
1020,BEL_2018_1,1,26,35,195,26,35,11.4076218388484,186.061019704351,197.468641543199
1091,BEL_2018_1,1,22,94,128.75,22,94,-9.89932274762739,134.421440402539,124.522117654912
1091,BEL_2018_1,1,24,15,121.33,24,15,-11.9866263874573,134.421440402539,122.434814015082
1106.1,BEL_2018_1,1,22,100,178.18,22,100,1.81875683409916,174.779671978386,176.598428812485
1113,BEL_2018_1,1,22,96,204.55,22,96,5.21428344346879,197.065863969833,202.280147413302
1113,BEL_2018_1,1,21,50,214.55,21,50,9.69443317584086,197.065863969833,206.760297145674
112,BEL_2018_1,1,23,63,176,23,63,-9.2152036030742,185.067146144362,175.851942541287
112,BEL_2018_1,1,18,57,212,18,57,17.0763845164286,185.067146144362,202.14353066079
1123,BEL_2018_1,1,20,9,155,20,9,1.64352470085638,153.869723270382,155.513247971238
1123,BEL_2018_1,1,17,67,143.58,17,67,-12.1063809751624,153.869723270382,141.763342295219
1125,BEL_2018_1,1,24,44,157.55,24,44,2.00101259396013,157.751258796832,159.752271390792
1125,BEL_2018_1,1,20,66,158.08,20,66,-10.1840202532307,157.751258796832,147.567238543602
114,BEL_2018_1,1,17,100,138.18,17,100,-20.6081149933289,156.261456331468,135.653341338139
114,BEL_2018_1,1,20,20,173.33,20,20,11.5500608314071,156.261456331468,167.811517162876
118,BEL_2018_1,1,18,42,171.43,18,42,-4.28689979544467,164.384541808955,160.09764201351
12_196,BEL_2018_1,1,21,74,161.63,21,74,-8.50719749351558,163.459568892898,154.952371399382
12_196,BEL_2018_1,1,17,47,172,17,47,3.67700801097411,163.459568892898,167.136576903872
12_197,BEL_2018_1,1,19,72,157.86,19,72,-11.6831671482489,163.279423392955,151.596256244706
12_197,BEL_2018_1,1,18,14,174.55,18,14,6.74716787322964,163.279423392955,170.026591266185
12_204,BEL_2018_1,1,26,65,194.74,26,65,0.990193673354213,202.007480716929,202.997674390284
12_204,BEL_2018_1,1,26,42,216,26,42,16.8210181105954,202.007480716929,218.828498827525
12_205,BEL_2018_1,1,21,84,185.52,21,84,-2.07462146547005,184.222500126833,182.147878661363
12_205,BEL_2018_1,1,23,46,194.12,23,46,9.43969329000177,184.222500126833,193.662193416835
12_B006,BEL_2018_1,1,21,69,160,21,69,-0.554170845837518,151.601918487401,151.047747641563
12_B006,BEL_2018_1,1,26,53,136.84,26,53,-11.240697349631,151.601918487401,140.36122113777
12_B020,BEL_2018_1,1,24,32,160.75,24,32,-3.8770392123931,164.894906263497,161.017867051104
