Genotype,Envir,Management,Row,Position,Fruit_weight,R,P,Fruit_weight_spats_residuals,Fruit_weight_spats_geno_pred_values,Fruit_weight_spats_adj_pheno
1,BEL_2018_1,1,17,112,1.02,17,112,-1.04498117895324,1.81912594708154,0.7741447681283
1,BEL_2018_1,1,19,44,0.68,19,44,-0.934255346488548,1.81912594708154,0.88487060059299
1015,BEL_2018_1,1,18,40,1.22,18,40,-0.754868089580398,1.99213800986275,1.23726992028235
1015,BEL_2018_1,1,22,108,1.24,22,108,-1.06686651555831,1.99213800986275,0.925271494304446
1020,BEL_2018_1,1,25,77,2.34,25,77,0.324862062985158,2.30681204243939,2.63167410542455
1020,BEL_2018_1,1,26,35,0.78,26,35,-1.86013245514578,2.30681204243939,0.446679587293614
1091,BEL_2018_1,1,22,94,2.06,22,94,-0.717689150930073,2.46807009552941,1.75038094459934
1091,BEL_2018_1,1,24,15,1.82,24,15,-0.670779610074162,2.46807009552941,1.79729048545525
1106.1,BEL_2018_1,1,22,100,1.96,22,100,-1.08592417840843,2.80040802650482,1.71448384809639
1113,BEL_2018_1,1,22,96,4.5,22,96,0.899997505351483,3.31957014453146,4.21956764988294
1113,BEL_2018_1,1,21,50,2.36,21,50,-1.51330128248064,3.31957014453146,1.80626886205082
112,BEL_2018_1,1,23,63,0.88,23,63,-1.78975057665153,2.43513646604011,0.645385889388576
112,BEL_2018_1,1,18,57,3.18,18,57,0.37130061200329,2.43513646604011,2.8064370780434
1123,BEL_2018_1,1,20,9,5.58,20,9,-0.595222677725918,6.08531225886057,5.49008958113465
1123,BEL_2018_1,1,17,67,9.62,17,67,2.49971845206966,6.08531225886057,8.58503071093023
1125,BEL_2018_1,1,24,44,7.72,24,44,0.805904198231582,6.59661040031245,7.40251459854403
1125,BEL_2018_1,1,20,66,8.22,20,66,1.56405298863749,6.59661040031245,8.16066338894994
114,BEL_2018_1,1,17,100,1.52,17,100,-0.671142205357216,2.40466769999281,1.73352549463559
114,BEL_2018_1,1,20,20,1.56,20,20,-0.775045068959346,2.40466769999281,1.62962263103346
118,BEL_2018_1,1,18,42,1.2,18,42,-1.3203332667944,2.54291529347478,1.22258202668038
12_196,BEL_2018_1,1,21,74,7.92,21,74,1.89769292469571,5.6981510887098,7.59584401340552
12_196,BEL_2018_1,1,17,47,6.02,17,47,-0.345650191979763,5.6981510887098,5.35250089673004
12_197,BEL_2018_1,1,19,72,4.42,19,72,0.38481447705924,4.30563785128986,4.6904523283491
12_197,BEL_2018_1,1,18,14,3.84,18,14,-0.100449300551903,4.30563785128986,4.20518855073796
12_204,BEL_2018_1,1,26,65,3.7,26,65,1.20384676884134,2.9001114924353,4.10395826127664
12_204,BEL_2018_1,1,26,42,1.08,26,42,-2.19900567289557,2.9001114924353,0.701105819539735
12_205,BEL_2018_1,1,21,84,5.38,21,84,1.23457471825701,4.10979287035091,5.34436758860792
12_205,BEL_2018_1,1,23,46,3.3,23,46,-1.12849746042857,4.10979287035091,2.98129540992233
12_B006,BEL_2018_1,1,21,69,0.32,21,69,-2.13169696579248,2.02648004187763,-0.105216923914846
12_B006,BEL_2018_1,1,26,53,2.6,26,53,0.341225706703193,2.02648004187763,2.36770574858082
12_B020,BEL_2018_1,1,24,32,8.52,24,32,3.01576004576169,5.20380470717612,8.21956475293782
12_B020,BEL_2018_1,1,25,114,2.24,25,114,-1.91374665282012,5.20380470717612,3.29005805435601
12_B023,BEL_2018_1,1,18,116,3.92,18,116,0.0540955694703551,3.54325462319305,3.59735019266341
12_B023,BEL_2018_1,1,17,54,3.9,17,54,-0.463767678582542,3.54325462319305,3.07948694461051
12_B057,BEL_2018_1,1,21,66,0.9,21,66,-1.91558176448169,2.33212871010435,0.416546945622661
12_B057,BEL_2018_1,1,20,56,2.82,20,56,0.403358457644524,2.33212871010435,2.73548716774888
12_B061,BEL_2018_1,1,17,45,2.08,17,45,-0.3747943231525,1.83921376386281,1.46441944071031
12_B061,BEL_2018_1,1,21,79,0.36,21,79,-1.58615521312284,1.83921376386281,0.253058550739969
12_B064,BEL_2018_1,1,25,88,0.78,25,88,-1.67604698800466,2.67853453570485,1.00248754770019
12_B064,BEL_2018_1,1,24,33,3.5,24,33,0.479175003261418,2.67853453570485,3.15770953896627
12_B074,BEL_2018_1,1,24,92,4.82,24,92,0.338381220828975,4.36497317389028,4.70335439471925
12_B081,BEL_2018_1,1,22,34,3.08,22,34,-0.690312456028114,3.23497796709816,2.54466551107005
12_B093,BEL_2018_1,1,23,11,1.74,23,11,-1.60817181629407,3.07597113160717,1.4677993153131
12_B093,BEL_2018_1,1,20,93,3.16,20,93,0.77310713011183,3.07597113160717,3.849078261719
12_B095,BEL_2018_1,1,19,99,1.42,19,99,-0.792426418283786,2.95006335520101,2.15763693691723
12_B095,BEL_2018_1,1,23,23,3.02,23,23,-0.15725869520438,2.95006335520101,2.79280465999663
12_E003,BEL_2018_1,1,21,63,3.9,21,63,-0.388557918176134,3.81100400054143,3.42244608236529
12_E003,BEL_2018_1,1,19,19,3.66,19,19,0.222632056663171,3.81100400054143,4.0336360572046
12_E014,BEL_2018_1,1,22,13,5.78,22,13,0.582969524199021,4.47074499388099,5.05371451808001
12_E014,BEL_2018_1,1,19,78,3.84,19,78,-0.148298689254788,4.47074499388099,4.3224463046262
12_E015,BEL_2018_1,1,17,96,2.36,17,96,-0.507446081755573,3.08614928885073,2.57870320709515
12_E015,BEL_2018_1,1,22,36,3.24,22,36,-0.318352896098378,3.08614928885073,2.76779639275235
12_E017,BEL_2018_1,1,24,45,2.58,24,45,-0.83041084355426,3.08108326555054,2.25067242199628
12_E024,BEL_2018_1,1,18,93,4.9,18,93,0.751946340111389,4.81926448820392,5.57121082831531
12_E025,BEL_2018_1,1,26,67,2.18,26,67,-1.07637991905433,3.69876541168144,2.62238549262711
12_E025,BEL_2018_1,1,21,11,5.1,21,11,0.808277405847956,3.69876541168144,4.5070428175294
12_E034,BEL_2018_1,1,25,84,7.22,25,84,1.119407370241,6.35556347085548,7.47497084109649
12_E034,BEL_2018_1,1,23,16,7.72,23,16,1.03111220249684,6.35556347085548,7.38667567335232
12_E035,BEL_2018_1,1,25,43,5.84,25,43,0.743137136424121,4.80958779030424,5.55272492672836
12_E039,BEL_2018_1,1,19,68,2.74,19,68,-1.23018083475246,4.13537832048048,2.90519748572801
12_E039,BEL_2018_1,1,20,25,5.6,20,25,1.35954986462527,4.13537832048048,5.49492818510575
12_E043,BEL_2018_1,1,19,88,2.9,19,88,-0.387058160057248,4.13078843092019,3.74373027086294
12_E043,BEL_2018_1,1,21,48,5.12,21,48,0.512248773650264,4.13078843092019,4.64303720457045
12_F002,BEL_2018_1,1,22,6,4.26,22,6,-2.20437542406505,5.54890842858589,3.34453300452085
12_F002,BEL_2018_1,1,24,109,9.02,24,109,3.62055476562324,5.54890842858589,9.16946319420913
12_F007,BEL_2018_1,1,20,51,2.88,20,51,-0.496410548869239,3.27087770251923,2.77446715365
12_F007,BEL_2018_1,1,20,97,2.44,20,97,-0.161220502311731,3.27087770251923,3.1096572002075
12_F019,BEL_2018_1,1,26,90,5.8,26,90,1.28848803273563,4.86746730931436,6.15595534204999
12_F019,BEL_2018_1,1,19,4,4.24,19,4,-0.492660146061096,4.86746730931436,4.37480716325326
12_F023,BEL_2018_1,1,25,99,2.42,25,99,0.242635159219645,2.50458331850786,2.7472184777275
12_F023,BEL_2018_1,1,19,31,0.7,19,31,-1.5978640255997,2.50458331850786,0.906719292908153
12_F040,BEL_2018_1,1,18,109,5.08,18,109,0.516758281394185,4.56091607504253,5.07767435643671
12_F045,BEL_2018_1,1,23,110,6,23,110,0.960000047779113,5.04780647082613,6.00780651860525
12_F046,BEL_2018_1,1,24,6,4.8,24,6,0.140433068971128,4.65818185542958,4.79861492440071
12_F046,BEL_2018_1,1,17,88,5.06,17,88,0.464871334262615,4.65818185542958,5.12305318969219
12_F052,BEL_2018_1,1,25,74,8.78,25,74,4.089038442416,5.03302770677674,9.12206614919274
12_F052,BEL_2018_1,1,18,12,1.46,18,12,-3.14249227571354,5.03302770677674,1.89053543106321
12_F054,BEL_2018_1,1,22,58,4.28,22,58,-0.315699415893771,3.96898845079342,3.65328903489965
12_F054,BEL_2018_1,1,18,96,3.66,18,96,0.293595053834189,3.96898845079342,4.26258350462761
12_I002,BEL_2018_1,1,22,81,7.02,22,81,1.47788754900024,5.13152780649395,6.60941535549418
12_I002,BEL_2018_1,1,25,53,4.88,25,53,-0.441671595081112,5.13152780649395,4.68985621141284
12_I003,BEL_2018_1,1,25,10,3.34,25,10,0.279755514162356,3.51823220312347,3.79798771728583
12_I003,BEL_2018_1,1,17,111,3,17,111,-0.712206839638056,3.51823220312347,2.80602536348542
12_I005,BEL_2018_1,1,19,111,4.64,19,111,-0.595942806032849,5.40149895571687,4.80555614968402
12_I005,BEL_2018_1,1,25,50,7.56,25,50,1.87792760257197,5.40149895571687,7.27942655828884
12_I037,BEL_2018_1,1,21,7,5.56,21,7,0.306130325704408,4.60634788398713,4.91247820969153
12_I037,BEL_2018_1,1,24,104,4.84,24,104,0.251986905098221,4.60634788398713,4.85833478908535
12_I049,BEL_2018_1,1,20,29,11.7,20,29,4.1523116623567,7.52250373749451,11.6748153998512
12_I049,BEL_2018_1,1,25,92,6.34,25,92,-0.939465394473552,7.52250373749451,6.58303834302096
12_I056,BEL_2018_1,1,22,114,6.24,22,114,1.79820838167123,4.03096605837402,5.82917444004525
12_I056,BEL_2018_1,1,21,22,2.74,21,22,-1.76389128933733,4.03096605837402,2.26707476903669
12_I059,BEL_2018_1,1,21,2,8.9,21,2,1.89414830867662,6.07394581725668,7.9680941259333
12_I062,BEL_2018_1,1,23,84,2.24,23,84,-1.10632599369299,3.13325455421606,2.02692856052307
12_I062,BEL_2018_1,1,24,13,3.46,24,13,0.323409400062202,3.13325455421606,3.45666395427826
12_I064,BEL_2018_1,1,19,38,7.98,19,38,2.00395959873319,6.19457087232137,8.19853047105456
12_J001,BEL_2018_1,1,19,50,2.38,19,50,-0.620076677520646,3.05810408177625,2.4380274042556
12_J001,BEL_2018_1,1,18,115,3.08,18,115,-0.231253317642279,3.05810408177625,2.82685076413397
12_J004,BEL_2018_1,1,26,85,6.9,26,85,1.75140261948521,5.59246178038332,7.34386439986854
12_J004,BEL_2018_1,1,23,32,5.6,23,32,-0.295574386205483,5.59246178038332,5.29688739417784
12_J011,BEL_2018_1,1,25,9,2.52,25,9,-0.463754734744362,3.48384616262801,3.02009142788364
12_J013,BEL_2018_1,1,26,23,3.44,26,23,0.155033671492572,3.23273789327744,3.38777156477002
12_J013,BEL_2018_1,1,21,85,2.42,21,85,-0.847385383759305,3.23273789327744,2.38535250951814
12_J015,BEL_2018_1,1,17,28,1.94,17,28,-1.06772672184831,2.82039749387627,1.75267077202797
12_J019,BEL_2018_1,1,22,25,6.98,22,25,2.41119081039003,3.92040043767593,6.33159124806596
12_J019,BEL_2018_1,1,20,108,1.18,20,108,-2.47752737942233,3.92040043767593,1.44287305825361
12_J028,BEL_2018_1,1,26,77,3.2,26,77,-0.714331170139917,4.44675514374761,3.7324239736077
12_J028,BEL_2018_1,1,21,29,6.04,21,29,1.12716279108341,4.44675514374761,5.57391793483102
12_J029,BEL_2018_1,1,22,31,6.18,22,31,0.775560774843658,4.84520437551819,5.62076515036184
12_J031,BEL_2018_1,1,25,106,1.58,25,106,-0.855266481717997,3.05377994618672,2.19851346446872
12_K010,BEL_2018_1,1,17,2,5.64,17,2,0.738596424336667,5.00276335200116,5.74135977633783
12_K010,BEL_2018_1,1,24,117,4.64,24,117,0.18039851895823,5.00276335200116,5.18316187095939
12_K016,BEL_2018_1,1,18,4,4,18,4,0.12404872509667,4.12177780911267,4.24582653420934
12_K016,BEL_2018_1,1,18,66,4.38,18,66,-0.00706095132298756,4.12177780911267,4.11471685778969
12_K018,BEL_2018_1,1,19,109,2.48,19,109,-0.333915098919082,3.00492212841314,2.67100702949405
12_K018,BEL_2018_1,1,19,8,2.28,19,8,-0.565829207046855,3.00492212841314,2.43909292136628
12_K023,BEL_2018_1,1,25,35,6.74,25,35,1.22134185442672,5.33488414563838,6.5562260000651
12_K024,BEL_2018_1,1,24,42,10.62,24,42,2.53546913808014,7.77815102931545,10.3136201673956
