Genotype,Envir,Management,Row,Position,Harvest_date,R,P,Harvest_date_spats_residuals,Harvest_date_spats_geno_pred_values,Harvest_date_spats_adj_pheno
1,BEL_2018_1,1,17,112,262,17,112,6.06913728859084,255.147402239157,261.216539527748
1,BEL_2018_1,1,19,44,248,19,44,-6.94751026848036,255.147402239157,248.199891970677
1015,BEL_2018_1,1,18,40,262,18,40,-2.48361763785078,264.100603923847,261.616986285996
1015,BEL_2018_1,1,22,108,269,22,108,2.71458403681584,264.100603923847,266.815187960663
1020,BEL_2018_1,1,25,77,276,25,77,0.554054452293599,275.909839146326,276.46389359862
1020,BEL_2018_1,1,26,35,276,26,35,1.14012590384891,275.909839146326,277.049965050175
1091,BEL_2018_1,1,22,94,234,22,94,-6.02406252581898,238.95721201717,232.933149491351
1091,BEL_2018_1,1,24,15,241,24,15,3.13965682189095,238.95721201717,242.096868839061
1106.1,BEL_2018_1,1,22,100,228,22,100,-3.93873163129877,230.448010190319,226.50927855902
1113,BEL_2018_1,1,21,50,276,21,50,-1.44079462606095,278.330930653756,276.890136027695
1113,BEL_2018_1,1,22,96,283,22,96,3.43495841199592,278.330930653756,281.765889065752
112,BEL_2018_1,1,18,57,283,18,57,-1.58252243510589,285.133940176851,283.551417741746
112,BEL_2018_1,1,23,63,289,23,63,4.41960773945186,285.133940176851,289.553547916303
1123,BEL_2018_1,1,17,67,289,17,67,1.55151726242559,288.384834955571,289.936352217996
1123,BEL_2018_1,1,20,9,289,20,9,1.6883675902335,288.384834955571,290.073202545804
1125,BEL_2018_1,1,24,44,303,24,44,2.88185241976873,301.586415122087,304.468267541855
1125,BEL_2018_1,1,20,66,303,20,66,1.99376378996055,301.586415122087,303.580178912047
114,BEL_2018_1,1,20,20,262,20,20,-2.94581337589995,265.709426991602,262.763613615702
114,BEL_2018_1,1,17,100,269,17,100,3.37611972559154,265.709426991602,269.085546717194
118,BEL_2018_1,1,18,42,283,18,42,2.26236234008258,280.495494350486,282.757856690569
12_196,BEL_2018_1,1,21,74,276,21,74,1.03759114200687,275.190163715366,276.227754857373
12_196,BEL_2018_1,1,17,47,276,17,47,0.567418398635141,275.190163715366,275.757582114001
12_197,BEL_2018_1,1,19,72,276,19,72,4.44858839423824,272.17559452463,276.624182918869
12_197,BEL_2018_1,1,18,14,269,18,14,-3.21709666670233,272.17559452463,268.958497857928
12_204,BEL_2018_1,1,26,65,269,26,65,3.53091293884796,266.232070818323,269.762983757171
12_204,BEL_2018_1,1,26,42,262,26,42,-3.03584881886161,266.232070818323,263.196221999461
12_205,BEL_2018_1,1,21,84,269,21,84,-0.384021083577693,269.097378012205,268.713356928628
12_205,BEL_2018_1,1,23,46,269,23,46,1.23410882691508,269.097378012205,270.33148683912
12_B006,BEL_2018_1,1,21,69,228,21,69,-11.6526747880091,240.050018757166,228.397343969157
12_B006,BEL_2018_1,1,26,53,248,26,53,8.90367243953472,240.050018757166,248.953691196701
12_B020,BEL_2018_1,1,25,114,255,25,114,-1.31975366965031,256.133434812225,254.813681142574
12_B020,BEL_2018_1,1,24,32,255,24,32,0.563554276445927,256.133434812225,256.696989088671
12_B023,BEL_2018_1,1,17,54,283,17,54,5.29201104995195,277.940009256713,283.232020306665
12_B023,BEL_2018_1,1,18,116,276,18,116,-3.34628407076485,277.940009256713,274.593725185948
12_B057,BEL_2018_1,1,21,66,269,21,66,-2.95368342424973,272.435591333278,269.481907909028
12_B057,BEL_2018_1,1,20,56,276,20,56,4.21738985088086,272.435591333278,276.652981184159
12_B061,BEL_2018_1,1,17,45,262,17,45,-3.54768154649776,265.119269524071,261.571587977573
12_B061,BEL_2018_1,1,21,79,269,21,79,3.90486490158776,265.119269524071,269.024134425659
12_B064,BEL_2018_1,1,24,33,255,24,33,-9.58894862730523,266.251529806798,256.662581179493
12_B064,BEL_2018_1,1,25,88,276,25,88,10.0864237978794,266.251529806798,276.337953604678
12_B074,BEL_2018_1,1,24,92,255,24,92,-0.83995426707159,255.457470096552,254.61751582948
12_B081,BEL_2018_1,1,22,34,283,22,34,2.46074774396533,282.096613508535,284.557361252501
12_B093,BEL_2018_1,1,23,11,262,23,11,4.25255854694109,259.186684400409,263.43924294735
12_B093,BEL_2018_1,1,20,93,255,20,93,-4.63044746296271,259.186684400409,254.556236937446
12_B095,BEL_2018_1,1,19,99,255,19,99,5.05503074509991,249.436025291326,254.491056036426
12_B095,BEL_2018_1,1,23,23,241,23,23,-6.64106737190002,249.436025291326,242.794957919426
12_E003,BEL_2018_1,1,21,63,248,21,63,2.6762013939578,245.897816373593,248.57401776755
12_E003,BEL_2018_1,1,19,19,241,19,19,-4.70063700039543,245.897816373593,241.197179373197
12_E014,BEL_2018_1,1,22,13,276,22,13,11.2944920402251,266.370552944457,277.665044984682
12_E014,BEL_2018_1,1,19,78,255,19,78,-10.7822694018452,266.370552944457,255.588283542612
12_E015,BEL_2018_1,1,22,36,283,22,36,5.16201595558266,279.336766273154,284.498782228737
12_E015,BEL_2018_1,1,17,96,276,17,96,-3.04322490215759,279.336766273154,276.293541370997
12_E017,BEL_2018_1,1,24,45,269,24,45,0.904240557773335,269.5344318829,270.438672440673
12_E024,BEL_2018_1,1,18,93,289,18,93,2.97207823784822,286.223434503559,289.195512741408
12_E025,BEL_2018_1,1,21,11,303,21,11,2.75008688669453,301.668607331758,304.418694218452
12_E025,BEL_2018_1,1,26,67,303,26,67,2.13571328381602,301.668607331758,303.804320615574
12_E034,BEL_2018_1,1,23,16,269,23,16,-2.17428261291684,272.834123695127,270.65984108221
12_E034,BEL_2018_1,1,25,84,276,25,84,3.487368876875,272.834123695127,276.321492572002
12_E035,BEL_2018_1,1,25,43,276,25,43,1.66812546028797,275.699556574643,277.367682034931
12_E039,BEL_2018_1,1,20,25,303,20,25,5.19528479385303,298.39674618861,303.592030982463
12_E039,BEL_2018_1,1,19,68,297,19,68,-0.714881992469771,298.39674618861,297.681864196141
12_E043,BEL_2018_1,1,21,48,241,21,48,-0.8079811023334,242.792938244915,241.984957142582
12_E043,BEL_2018_1,1,19,88,241,19,88,-1.60116197479371,242.792938244915,241.191776270121
12_F002,BEL_2018_1,1,24,109,269,24,109,2.2274016256282,265.534170873513,267.761572499141
12_F002,BEL_2018_1,1,22,6,262,22,6,-1.81881024674004,265.534170873513,263.715360626773
12_F007,BEL_2018_1,1,20,51,283,20,51,8.46408855183643,275.12645861384,283.590547165677
12_F007,BEL_2018_1,1,20,97,269,20,97,-6.86697234145169,275.12645861384,268.259486272388
12_F019,BEL_2018_1,1,19,4,276,19,4,4.05204571843734,272.901554579029,276.953600297466
12_F019,BEL_2018_1,1,26,90,269,26,90,-2.73060448410138,272.901554579029,270.170950094928
12_F023,BEL_2018_1,1,19,31,283,19,31,4.38477741929796,278.515190018282,282.89996743758
12_F023,BEL_2018_1,1,25,99,276,25,99,-2.36778312242518,278.515190018282,276.147406895857
12_F040,BEL_2018_1,1,18,109,255,18,109,-0.899007278086714,254.980867960375,254.081860682288
12_F045,BEL_2018_1,1,23,110,241,23,110,-2.57715712442072,241.436938737501,238.859781613081
12_F046,BEL_2018_1,1,24,6,262,24,6,3.16757018783375,259.272610019067,262.440180206901
12_F046,BEL_2018_1,1,17,88,255,17,88,-3.53481255798442,259.272610019067,255.737797461083
12_F052,BEL_2018_1,1,25,74,262,25,74,-3.07074244516139,265.542158745749,262.471416300588
12_F052,BEL_2018_1,1,18,12,269,18,12,3.48032355504597,265.542158745749,269.022482300795
12_F054,BEL_2018_1,1,18,96,276,18,96,0.412138171326717,275.597618720234,276.009756891561
12_F054,BEL_2018_1,1,22,58,276,22,58,1.24335675967404,275.597618720234,276.840975479908
12_I002,BEL_2018_1,1,25,53,262,25,53,-2.66135743253977,265.690247812583,263.028890380044
12_I002,BEL_2018_1,1,22,81,269,22,81,3.08928740121257,265.690247812583,268.779535213796
12_I003,BEL_2018_1,1,25,10,269,25,10,-2.76306091967024,271.39823244797,268.6351715283
12_I003,BEL_2018_1,1,17,111,276,17,111,3.89823421346125,271.39823244797,275.296466661432
