Genotype,Envir,Management,Row,Position,Powdery_mildew,R,P,Powdery_mildew_spats_residuals,Powdery_mildew_spats_geno_pred_values,Powdery_mildew_spats_adj_pheno
1,BEL_2021_2,2,14,17,4,14,17,-0.620998246888329,3.90468174347195,3.28368349658363
1,BEL_2021_2,2,14,60,5,14,60,0.284065269623404,3.90468174347195,4.18874701309536
1106.1,BEL_2021_2,2,13,27,3,13,27,-2.10808013837011,3.97669512495383,1.86861498658373
1106.1,BEL_2021_2,2,15,87,7,15,87,1.80441863193234,3.97669512495383,5.78111375688618
12_205,BEL_2021_2,2,14,78,9,14,78,0.711008706985549,7.39983630764662,8.11084501463217
12_205,BEL_2021_2,2,13,24,9,13,24,0.566882265483701,7.39983630764662,7.96671857313032
12_B023,BEL_2021_2,2,12,21,2,12,21,-1.04791309448824,2.92544757219949,1.87753447771125
12_B023,BEL_2021_2,2,15,96,4,15,96,0.258556408018268,2.92544757219949,3.18400398021776
12_B061,BEL_2021_2,2,15,94,4,15,94,0.163468729193877,2.86279715928153,3.02626588847541
12_B061,BEL_2021_2,2,13,42,3,13,42,-0.981771027476745,2.86279715928153,1.88102613180479
12_E003,BEL_2021_2,2,14,100,3,14,100,-1.61498741143384,4.87021638252484,3.255228971091
12_E003,BEL_2021_2,2,14,13,7,14,13,1.72414871435385,4.87021638252484,6.59436509687869
12_E025,BEL_2021_2,2,15,62,3,15,62,-0.152704135285479,2.50947035683845,2.35676622155297
12_E025,BEL_2021_2,2,14,35,3,14,35,-0.828841468033544,2.50947035683845,1.6806288888049
12_E035,BEL_2021_2,2,14,29,4,14,29,-0.58845339792571,3.21956094253033,2.63110754460462
12_E035,BEL_2021_2,2,12,66,3,12,66,-0.0650176486886096,3.21956094253033,3.15454329384172
12_E039,BEL_2021_2,2,13,82,8,13,82,1.12753442009072,6.03153221640178,7.1590666364925
12_E039,BEL_2021_2,2,13,6,5,13,6,-0.481824421736196,6.03153221640178,5.54970779466558
12_E043,BEL_2021_2,2,15,4,5,15,4,-0.0394376140804154,5.64143672021393,5.60199910613351
12_E043,BEL_2021_2,2,13,77,7,13,77,0.504916512962433,5.64143672021393,6.14635323317636
12_F040,BEL_2021_2,2,13,28,8,13,28,0.692190058063399,6.13213450983524,6.82432456789864
12_I002,BEL_2021_2,2,15,23,4,15,23,-0.21603971125792,3.1932562333536,2.97721652209568
12_I002,BEL_2021_2,2,12,82,3,12,82,-0.449584581683406,3.1932562333536,2.74367165167019
12_I037,BEL_2021_2,2,14,93,3,14,93,-0.952674553569959,3.64979020910046,2.6971156555305
12_I037,BEL_2021_2,2,14,9,4,14,9,0.497977126484551,3.64979020910046,4.14776733558501
12_I049,BEL_2021_2,2,15,11,7,15,11,0.666466396394167,6.07645774488183,6.742924141276
12_I056,BEL_2021_2,2,12,43,8,12,43,1.07895683455766,6.54451634421051,7.62347317876817
12_I056,BEL_2021_2,2,13,69,7,13,69,-0.196238989995125,6.54451634421051,6.34827735421539
