Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
1,BEL_2019_1,1,19,44,0.92,19,44,-0.752999640845821,1.57130510318948,0.818305462343658
101,BEL_2019_1,1,17,17,2.2,17,17,-0.206917582160915,2.49019045639235,2.28327287423144
101,BEL_2019_1,1,18,91,2.56,18,91,0.211582666708495,2.49019045639235,2.70177312310085
1015,BEL_2019_1,1,22,108,0.96,22,108,-0.683519499215292,1.65556966288586,0.972050163670567
1020,BEL_2019_1,1,26,35,3.38,26,35,0.148357756149865,3.04035985960508,3.18871761575494
1020,BEL_2019_1,1,25,77,3.58,25,77,0.309948197034997,3.04035985960508,3.35030805664007
1091,BEL_2019_1,1,24,15,0.42,24,15,-0.938564589312723,1.34625448713295,0.407689897820229
1106.1,BEL_2019_1,1,22,100,1.28,22,100,-0.553069272346926,1.81377790298717,1.26070863064024
1113,BEL_2019_1,1,22,96,3.52,22,96,-0.0325960596465396,3.4792400854283,3.44664402578177
1113,BEL_2019_1,1,21,50,4.52,21,50,0.852779655803838,3.4792400854283,4.33201974123214
112,BEL_2019_1,1,18,57,2.28,18,57,-0.332130094779847,2.54970938243531,2.21757928765546
112,BEL_2019_1,1,23,63,3.16,23,63,0.38587136777561,2.54970938243531,2.93558075021092
1123,BEL_2019_1,1,20,9,2.34,20,9,-0.304298455780339,2.70523340945864,2.4009349536783
1123,BEL_2019_1,1,17,67,3.16,17,67,0.486276694155918,2.70523340945864,3.19151010361456
1125,BEL_2019_1,1,24,44,3.32,24,44,-0.0561676239295643,3.15401709881286,3.09784947488329
1125,BEL_2019_1,1,20,66,3.88,20,66,0.608189382501001,3.15401709881286,3.76220648131386
114,BEL_2019_1,1,17,100,0.8,17,100,-0.829161701987708,1.91984231113665,1.09068060914894
114,BEL_2019_1,1,20,20,2.3,20,20,0.363547584295801,1.91984231113665,2.28338989543245
118,BEL_2019_1,1,18,42,2.16,18,42,-0.496205291892034,2.60559681677414,2.10939152488211
118,BEL_2019_1,1,20,73,3.28,20,73,0.596028415516577,2.60559681677414,3.20162523229072
12_196,BEL_2019_1,1,21,74,3.52,21,74,0.244445922218395,3.14231512024738,3.38676104246578
12_196,BEL_2019_1,1,17,47,3.46,17,47,0.29792699784945,3.14231512024738,3.44024211809683
12_197,BEL_2019_1,1,18,14,2.1,18,14,-0.241185579939506,2.41417943546266,2.17299385552315
12_197,BEL_2019_1,1,19,72,2.64,19,72,0.183175958552521,2.41417943546266,2.59735539401518
12_204,BEL_2019_1,1,26,42,2.94,26,42,-0.0489054750426567,2.78421568748782,2.73531021244516
12_204,BEL_2019_1,1,26,65,3.34,26,65,0.29600836230435,2.78421568748782,3.08022404979217
12_205,BEL_2019_1,1,21,84,3.32,21,84,0.151629503951926,3.10115633025779,3.25278583420971
12_205,BEL_2019_1,1,23,46,3.68,23,46,0.356806034040686,3.10115633025779,3.45796236429847
12_B006,BEL_2019_1,1,26,53,2.04,26,53,-0.210742470850768,1.98873918982707,1.7779967189763
12_B006,BEL_2019_1,1,21,69,1.94,21,69,-0.198062889914628,1.98873918982707,1.79067629991244
12_B020,BEL_2019_1,1,24,32,3.38,24,32,0.461090081787436,2.75981125695995,3.22090133874739
12_B020,BEL_2019_1,1,25,114,2.64,25,114,-0.234109809485089,2.75981125695995,2.52570144747486
12_B057,BEL_2019_1,1,20,56,2.2,20,56,-0.654841837767878,2.71394688482796,2.05910504706008
12_B057,BEL_2019_1,1,21,66,3.72,21,66,0.844004751467653,2.71394688482796,3.55795163629561
12_B061,BEL_2019_1,1,17,45,2.76,17,45,0.556098824595385,2.16645904116395,2.72255786575933
12_B061,BEL_2019_1,1,21,79,1.44,21,79,-0.818365706005577,2.16645904116395,1.34809333515837
12_B064,BEL_2019_1,1,24,33,3.64,24,33,1.41679630922498,2.03423905865484,3.45103536787983
12_B064,BEL_2019_1,1,25,88,0.44,25,88,-1.78808486171754,2.03423905865484,0.246154196937307
12_B074,BEL_2019_1,1,24,92,5.28,24,92,1.17516556656616,3.93085430776745,5.10601987433362
12_B074,BEL_2019_1,1,17,42,3.96,17,42,0.0173954590056629,3.93085430776745,3.94824976677312
12_B081,BEL_2019_1,1,22,34,5.36,22,34,0.686497403171306,4.51110491563664,5.19760231880795
12_B081,BEL_2019_1,1,18,68,5.52,18,68,0.984507876559299,4.51110491563664,5.49561279219594
12_B093,BEL_2019_1,1,20,93,3.28,20,93,1.17865235494398,2.13714675381283,3.31579910875681
12_B093,BEL_2019_1,1,23,11,0.64,23,11,-1.46508861294627,2.13714675381283,0.672058140866556
12_B095,BEL_2019_1,1,19,99,2.38,19,99,-0.0263085634490006,2.5295636938647,2.5032551304157
12_B095,BEL_2019_1,1,23,23,2.66,23,23,0.063438757004306,2.5295636938647,2.593002450869
12_E003,BEL_2019_1,1,21,63,3.36,21,63,-0.0972212539555568,3.29384092294616,3.19661966899061
12_E003,BEL_2019_1,1,19,19,4.04,19,19,0.764534413076745,3.29384092294616,4.05837533602291
12_E014,BEL_2019_1,1,19,78,2.4,19,78,-0.0399213652335746,2.43611662362424,2.39619525839067
12_E015,BEL_2019_1,1,17,96,3.6,17,96,0.64871945264693,3.1780755702499,3.82679502289683
12_E015,BEL_2019_1,1,22,36,3.26,22,36,-0.0768603388589866,3.1780755702499,3.10121523139091
12_E017,BEL_2019_1,1,22,101,2.3,22,101,-0.0381360308971259,2.33069348962838,2.29255745873125
12_E017,BEL_2019_1,1,24,45,2.48,24,45,-0.0887117279182754,2.33069348962838,2.2419817617101
12_E024,BEL_2019_1,1,18,93,1.6,18,93,-0.0408264997596417,1.79259572336318,1.75176922360354
12_E024,BEL_2019_1,1,23,27,1.38,23,27,-0.529708488252576,1.79259572336318,1.2628872351106
12_E025,BEL_2019_1,1,21,11,4.02,21,11,1.09560319139772,2.9664391868096,4.06204237820731
12_E025,BEL_2019_1,1,26,67,2.54,26,67,-0.69824835258122,2.9664391868096,2.26819083422838
12_E034,BEL_2019_1,1,23,16,4.18,23,16,0.679028970527964,3.46469014517376,4.14371911570172
12_E034,BEL_2019_1,1,25,84,3.8,25,84,0.12915750711067,3.46469014517376,3.59384765228443
12_E035,BEL_2019_1,1,25,43,4.34,25,43,0.730190314158684,3.37009747136211,4.10028778552079
12_E039,BEL_2019_1,1,20,25,0.9,20,25,-0.594249570615736,1.42572087751934,0.831471306903608
12_E039,BEL_2019_1,1,19,68,1.22,19,68,-0.278791196121897,1.42572087751934,1.14692968139745
12_E043,BEL_2019_1,1,19,88,2.78,19,88,0.750924311885553,2.08957935321289,2.84050366509844
12_E043,BEL_2019_1,1,21,48,1.18,21,48,-1.07658215655001,2.08957935321289,1.01299719666288
12_F002,BEL_2019_1,1,24,109,3.22,24,109,-0.213031543481395,3.36373612935108,3.15070458586969
12_F002,BEL_2019_1,1,22,6,4.26,22,6,0.937976628263943,3.36373612935108,4.30171275761502
12_F007,BEL_2019_1,1,20,97,1.9,20,97,-0.242644279223202,2.19025706308188,1.94761278385868
12_F014,BEL_2019_1,1,21,96,1.62,21,96,-0.261083542436439,1.86450988019632,1.60342633775988
12_F014,BEL_2019_1,1,21,6,1.56,21,6,-0.250154799156335,1.86450988019632,1.61435508103999
12_F019,BEL_2019_1,1,19,4,0.5,19,4,-1.36589441685771,2.02124261446393,0.655348197606215
12_F019,BEL_2019_1,1,26,90,3.24,26,90,0.983889677318892,2.02124261446393,3.00513229178282
12_F023,BEL_2019_1,1,19,31,2.72,19,31,0.0468482743883096,2.6154482626109,2.66229653699921
12_F023,BEL_2019_1,1,25,99,2.84,25,99,0.0610978353939826,2.6154482626109,2.67654609800488
12_F040,BEL_2019_1,1,18,109,0.58,18,109,-0.734450000534498,1.59380185170896,0.85935185117446
12_F045,BEL_2019_1,1,23,110,2.52,23,110,-0.00602021340019254,2.47723147407505,2.47121126067486
12_F046,BEL_2019_1,1,24,6,1.14,24,6,-0.711664822201519,1.90596335501041,1.19429853280889
12_F046,BEL_2019_1,1,17,88,1.96,17,88,0.234606844352871,1.90596335501041,2.14057019936328
12_F054,BEL_2019_1,1,18,96,1.62,18,96,-0.31779376482121,2.09911680103406,1.78132303621285
12_I002,BEL_2019_1,1,25,53,4.44,25,53,0.380286062584116,3.80224150380435,4.18252756638847
12_I002,BEL_2019_1,1,22,81,4.68,22,81,0.706227582368222,3.80224150380435,4.50846908617258
12_I003,BEL_2019_1,1,17,111,2.18,17,111,-0.602799725152259,3.14204771979347,2.53924799464121
12_I003,BEL_2019_1,1,25,10,4.26,25,10,1.14495216081389,3.14204771979347,4.28699988060735
12_I005,BEL_2019_1,1,19,111,3.46,19,111,0.26192685809359,3.41464760248701,3.6765744605806
12_I005,BEL_2019_1,1,25,50,4.18,25,50,0.504997160381236,3.41464760248701,3.91964476286825
12_I010,BEL_2019_1,1,22,35,5.32,22,35,1.20027831007722,3.94021372422283,5.14049203430004
12_I037,BEL_2019_1,1,21,7,4.92,21,7,0.47362748310835,4.50685808487678,4.98048556798513
12_I037,BEL_2019_1,1,24,104,5.82,24,104,1.19387608245274,4.50685808487678,5.70073416732951
12_I049,BEL_2019_1,1,20,29,3.98,20,29,0.0847781325759556,3.83186298863273,3.91664112120869
12_I049,BEL_2019_1,1,25,92,5.06,25,92,1.02615983701058,3.83186298863273,4.85802282564331
12_I056,BEL_2019_1,1,22,114,4.14,22,114,0.714713193445754,3.44313370212022,4.15784689556597
12_I056,BEL_2019_1,1,21,22,3.56,21,22,0.0756989705097833,3.44313370212022,3.51883267263
12_I059,BEL_2019_1,1,21,2,3.08,21,2,0.308818140225185,2.85906309705664,3.16788123728183
12_I062,BEL_2019_1,1,23,84,2.96,23,84,0.0218580892163773,2.78932031533003,2.81117840454641
12_I062,BEL_2019_1,1,24,13,3.02,24,13,0.229453806752248,2.78932031533003,3.01877412208228
12_I064,BEL_2019_1,1,18,73,0.24,18,73,-1.74806348540321,2.00599007048418,0.257926585080969
12_I064,BEL_2019_1,1,19,38,3.48,19,38,1.35348229712061,2.00599007048418,3.35947236760478
12_J001,BEL_2019_1,1,19,50,2.14,19,50,-0.208915757463524,2.23116255015475,2.02224679269123
12_J004,BEL_2019_1,1,26,85,4.76,26,85,1.2757115153724,3.22985299487688,4.50556451024928
12_J004,BEL_2019_1,1,23,32,2.72,23,32,-0.66115944965652,3.22985299487688,2.56869354522036
12_J013,BEL_2019_1,1,21,85,2.1,21,85,0.271551939992468,1.73510696099708,2.00665890098955
12_J013,BEL_2019_1,1,26,23,0.9,26,23,-0.889489149837359,1.73510696099708,0.84561781115972
12_J015,BEL_2019_1,1,19,82,0.76,19,82,-0.440394862442289,1.24790700782316,0.807512145380871
12_J015,BEL_2019_1,1,17,28,0.66,17,28,-0.579261906264376,1.24790700782316,0.668645101558784
12_J019,BEL_2019_1,1,20,108,1.76,20,108,-0.406457010275159,2.30604572696988,1.89958871669472
12_J019,BEL_2019_1,1,22,25,2.68,22,25,0.259285997572742,2.30604572696988,2.56533172454262
12_J028,BEL_2019_1,1,21,29,2.6,21,29,-0.0290577320663266,2.53958199175032,2.510524259684
12_J028,BEL_2019_1,1,26,77,2.86,26,77,0.0744484892381498,2.53958199175032,2.61403048098847
12_J029,BEL_2019_1,1,22,31,3.32,22,31,0.316898226622372,2.86886251465409,3.18576074127646
12_J031,BEL_2019_1,1,25,106,3.2,25,106,0.215167197302363,2.85334707481517,3.06851427211753
12_J031,BEL_2019_1,1,25,32,3.1,25,32,0.0889378104228635,2.85334707481517,2.94228488523803
12_K001,BEL_2019_1,1,19,18,1.02,19,18,-1.17366093194339,2.22926800400211,1.05560707205872
