Index	Genotype_code	data_origin	Bink_et_al_2014	Di_Pierro_et_al_2016_genotype_code	Di_Pierro_et_al_2016_Dataset
B3F-12-196	12_196	INRAE_GDivSelGen	-	-	-
B3F-12-197	12_197	INRAE_GDivSelGen	-	-	-
B3F-12-204	12_204	INRAE_GDivSelGen	-	-	-
B3F-12-205	12_205	INRAE_GDivSelGen	-	-	-
12_B006	12_B006	FruitBreedomics	-	-	-
12_B020	12_B020	FruitBreedomics	-	X12_B020	Dataset_S1
12_B023	12_B023	FruitBreedomics	-	X12_B023	Dataset_S1
12_B057	12_B057	FruitBreedomics	-	X12_B057	Dataset_S1
12_B061	12_B061	FruitBreedomics	-	X12_B061	Dataset_S1
12_B064	12_B064	FruitBreedomics	-	X12_B064	Dataset_S1
12_B074	12_B074	FruitBreedomics	-	X12_B074	Dataset_S1
12_B081	12_B081	FruitBreedomics	-	X12_B081	Dataset_S1
12_B093	12_B093	FruitBreedomics	-	X12_B093	Dataset_S1
12_B095	12_B095	FruitBreedomics	-	X12_B095	Dataset_S1
12_E003	12_E003	FruitBreedomics	-	X12_E03	Dataset_S2
12_E014	12_E014	FruitBreedomics	-	X12_E14	Dataset_S2
12_E015	12_E015	FruitBreedomics	-	X12_E15	Dataset_S2
12_E017	12_E017	FruitBreedomics	-	X12_E17	Dataset_S2
12_E024	12_E024	FruitBreedomics	-	X12_E24	Dataset_S2
12_E025	12_E025	FruitBreedomics	-	X12_E25	Dataset_S2
12_E034	12_E034	FruitBreedomics	-	X12_E34	Dataset_S2
12_E035	12_E035	FruitBreedomics	-	X12_E35	Dataset_S2
12_E039	12_E039	FruitBreedomics	-	X12_E39	Dataset_S2
12_E043	12_E043	FruitBreedomics	-	X12_E43	Dataset_S2
12_F02	12_F002	FruitBreedomics	12_F02	X12_F02	Dataset_S3
12_F07	12_F007	FruitBreedomics	12_F07	X12_F07	Dataset_S3
12_F14	12_F014	FruitBreedomics	12_F14	X12_F14	Dataset_S3
12_F19	12_F019	FruitBreedomics	12_F19	X12_F19	Dataset_S3
12_F23	12_F023	FruitBreedomics	12_F23	X12_F23	Dataset_S3
12_F40	12_F040	FruitBreedomics	12_F40	X12_F40	Dataset_S3
12_F45	12_F045	FruitBreedomics	12_F45	X12_F45	Dataset_S3
12_F46	12_F046	FruitBreedomics	12_F46	X12_F46	Dataset_S3
12_F52	12_F052	FruitBreedomics	12_F52	X12_F52	Dataset_S3
12_F54	12_F054	FruitBreedomics	12_F54	X12_F54	Dataset_S3
12_I02	12_I002	FruitBreedomics	12_I02	X12_I02	Dataset_S4
12_I03	12_I003	FruitBreedomics	12_I03	X12_I03	Dataset_S4
12_I05	12_I005	FruitBreedomics	12_I05	X12_I05	Dataset_S4
12_I10	12_I010	FruitBreedomics	12_I10	X12_I10	Dataset_S4
12_I37	12_I037	FruitBreedomics	12_I37	X12_I37	Dataset_S4
12_I49	12_I049	FruitBreedomics	12_I49	X12_I49	Dataset_S4
12_I56	12_I056	FruitBreedomics	12_I56	X12_I56	Dataset_S4
12_I59	12_I059	FruitBreedomics	12_I59	X12_I59	Dataset_S4
12_I62	12_I062	FruitBreedomics	12_I62	X12_I62	Dataset_S4
12_I64	12_I064	FruitBreedomics	12_I64	X12_I64	Dataset_S4
12_J01	12_J001	FruitBreedomics	12_J01	X12_J01	Dataset_S5
12_J04	12_J004	FruitBreedomics	12_J04	X12_J04	Dataset_S5
12_J11	12_J011	FruitBreedomics	12_J11	X12_J11	Dataset_S5
12_J13	12_J013	FruitBreedomics	12_J13	X12_J13	Dataset_S5
12_J15	12_J015	FruitBreedomics	12_J15	X12_J15	Dataset_S5
12_J19	12_J019	FruitBreedomics	12_J19	X12_J19	Dataset_S5
12_J27	12_J027	FruitBreedomics	12_J27	X12_J27	Dataset_S5
12_J28	12_J028	FruitBreedomics	12_J28	X12_J28	Dataset_S5
12_J29	12_J029	FruitBreedomics	12_J29	X12_J29	Dataset_S5
12_J31	12_J031	FruitBreedomics	12_J31	X12_J31	Dataset_S5
12_K01	12_K001	FruitBreedomics	12_K01	X12_K01	Dataset_S6
12_K10	12_K010	FruitBreedomics	12_K10	X12_K10	Dataset_S6
12_K16	12_K016	FruitBreedomics	12_K16	X12_K16	Dataset_S6
12_K18	12_K018	FruitBreedomics	12_K18	X12_K18	Dataset_S6
12_K23	12_K023	FruitBreedomics	12_K23	X12_K23	Dataset_S6
12_K24	12_K024	FruitBreedomics	12_K24	X12_K24	Dataset_S6
12_K44	12_K044	FruitBreedomics	12_K44	X12_K44	Dataset_S6
12_K45	12_K045	FruitBreedomics	12_K45	X12_K45	Dataset_S6
12_K49	12_K049	FruitBreedomics	12_K49	X12_K49	Dataset_S6
12_L01	12_L001	FruitBreedomics	12_L01	-	-
12_L05	12_L005	FruitBreedomics	12_L05	-	-
12_L12	12_L012	FruitBreedomics	12_L12	-	-
12_L13	12_L013	FruitBreedomics	12_L13	-	-
12_L18	12_L018	FruitBreedomics	12_L18	-	-
12_L21	12_L021	FruitBreedomics	12_L21	-	-
12_N21	12_N021	FruitBreedomics	12_N21	X12_N21	Dataset_S7
12_N34	12_N034	FruitBreedomics	12_N34	X12_N34	Dataset_S7
12_N39	12_N039	FruitBreedomics	12_N39	X12_N39	Dataset_S7
