Genotype;Fruit_number_blue_weighted_mean_management_1_2_3;Fruit_weight_blue_weighted_mean_management_1_2_3
12_F052;91.668;8.9036
12_J027;78.799;5.6924
I_W037;74.873;6.5128
I_BB031;68.034;6.8142
I_BB070;66.224;6.9852
FuPi_097;64.506;9.5263
I_BB049;56.998;7.3505
I_M014;56.268;6.263
GaCr_056;55.736;7.8354
12_K023;50.195;9.5626
I_W002;49.866;7.8841
NOVADI_0622;48.691;6.3698
12_O072;47.869;7.0848
NOVADI_0356;47.558;7.4701
133;47.437;8.1678
GaPi_017;46.941;7.9906
12_N034;46.073;8.9939
12_J029;46.025;5.8065
NOVADI_0114;45.91;5.7139
FuGa_015;43.981;5.7687
JoPr_1990_102_097;43.548;5.8318
12_O056;43.512;8.0143
NOVADI_0042;42.79;7.4292
410;41.749;6.231
FuPi_054;40.568;9.7676
I_CC048;39.639;7.2109
ACW_25622;39.555;5.7884
2410;39.519;6.916
12_L001;39.411;5.6451
65;38.661;7.1933
12_P034;38.49;5.9916
12_196;37.736;6.2852
GaPi_028;37.6;7.2222
