Genotype;blue_management_1;blue_management_2;blue_management_3;blue_weighted_mean_management_1_2_3
12_F052;62.052;117.73;90.987;91.668
12_J027;56.409;163.67;13.121;78.799
I_W037;57.114;134.67;30.299;74.873
I_BB031;48.563;22.457;130.3;68.034
I_BB070;44.394;129.34;21.822;66.224
FuPi_097;54.292;43.457;94.31;64.506
12_K044;44.765;119.17;26.283;64.338
55;46.662;118.67;23.363;63.71
DLO_12_162;24.91;126.67;26.466;61.07
I_BB049;55.207;61.399;54.133;56.998
I_CC075;40.394;108.22;18.959;56.629
I_M014;51.357;95.669;21.077;56.268
GaCr_056;64.111;70.218;34.077;55.736
12_J015;19.888;87.669;47.464;53.263
12_F054;54.217;30.124;71.327;51.773
12_N063;33.398;83.169;35.077;51.406
12_K023;45.379;58.13;46.387;50.195
I_W002;42.151;46.957;59.387;49.866
NOVADI_0622;35.968;42.006;66.283;48.691
I_J054;55.428;59.843;31.045;48.439
12_O072;41.971;62.718;38.077;47.869
NOVADI_0356;31.374;58.302;50.687;47.558
133;35.31;46.529;58.739;47.437
GaPi_017;50.364;39.462;51.487;46.941
1377;33.372;39.029;66.148;46.823
12_N034;38.297;68.124;30.687;46.073
12_J029;34.982;62.63;38.887;46.025
NOVADI_0114;41.125;38.186;57.737;45.91
12_F014;45.861;72.169;15.714;44.518
173;37.932;15.249;78.873;44.322
FuGa_015;26.641;57.006;45.82;43.981
I_CC044;49.728;56.237;26.292;43.804
JoPr_1990_102_097;34.657;57.63;37.087;43.548
12_O056;42.457;56.13;31.799;43.512
NOVADI_0042;38.776;34.235;54.787;42.79
I_BB015;44.494;45.482;38.589;42.773
12_N041;32.731;45.535;48.597;42.765
12_L013;45.032;46.79;35.487;42.307
GaPi_014;44.93;46.847;35.087;42.156
71;27.946;67.336;28.657;41.981
12_K018;38.197;46.13;40.584;41.809
410;30.054;31.385;62.138;41.749
I_J033;48.56;36.797;40.029;41.457
FuPi_054;46.08;47.336;29.077;40.568
12_197;30.873;74.79;13.82;40.276
12_K016;46.422;29.624;43.882;39.653
I_CC048;40.285;45.593;33.132;39.639
ACW_25622;54.967;42.379;23.521;39.555
2410;34.35;46.169;37.299;39.519
12_L001;49.852;34.336;35.536;39.411
12_B057;25.08;73.669;17.299;39.363
NOVADI_0347;49.547;29.128;39.537;38.897
2862;17.08;75.169;21.283;38.882
I_W045;39.489;50.124;26.526;38.674
65;37.32;44.705;33.768;38.661
12_P034;41.241;15.935;58.687;38.49
GaPi_051;40.223;27.006;47.989;38.315
12_196;41.038;41.421;31.22;37.736
GaPi_028;35.147;42.204;35.099;37.6
DLO_12_066;40.379;7.6447;64.719;37.441
