Genotype;blue_management_1;blue_management_2;blue_management_3;blue_weighted_mean_management_1_2_3
I_M007;6.8411;20.406;3.6354;10.467
FuPi_054;9.7842;14.639;4.8821;9.7676
NOVADI_0830;9.3411;12.751;6.788;9.6412
12_K023;9.0197;10.077;9.5132;9.5626
FuPi_097;9.2042;6.4966;12.832;9.5263
12_N034;9.0033;11.222;6.7572;8.9939
12_F052;6.0282;11.358;8.9135;8.9036
1962;9.6712;12.84;3.7498;8.7078
34;5.5139;10.827;8.0372;8.2565
ACW_25591;6.6779;10.449;7.3021;8.2162
FuPi_013;6.8828;9.9689;7.5282;8.1888
133;6.7982;8.2521;9.2575;8.1678
12_O056;8.486;10.079;5.545;8.0143
GaPi_017;8.8023;5.247;10.038;7.9906
I_W002;7.7933;8.5383;7.3078;7.8841
GaCr_056;9.98;8.9027;4.9299;7.8354
NOVADI_0356;4.5047;7.5586;9.9232;7.4701
NOVADI_0042;6.9314;6.5043;8.7808;7.4292
I_BB049;7.4818;7.8779;6.7106;7.3505
NOVADI_0371;9.0807;7.4219;5.6888;7.313
I_M024;6.8964;9.135;5.6576;7.2463
GaPi_028;7.1896;9.1425;5.3298;7.2222
I_CC048;7.8404;8.3317;5.5504;7.2109
65;7.45;7.9086;6.258;7.1933
17;4.3611;9.5376;7.2603;7.1876
12_O072;6.6471;9.3617;5.1832;7.0848
I_BB070;6.4321;11.134;3.3106;6.9852
2410;7.5005;8.8339;4.4971;6.916
I_M047;7.9242;5.2074;7.7521;6.9131
2762;6.5998;9.2845;4.7502;6.8921
3190;8.1707;4.3887;8.1895;6.8536
I_BB031;6.8364;1.547;12.063;6.8142
12_I003;6.7872;8.0484;5.4216;6.7507
12_B081;4.7672;9.4633;5.4672;6.6558
I_W037;5.438;10.918;3.0288;6.5128
334;8.6783;6.1219;4.9465;6.4774
FuPi_106;10.616;7.2487;2.0871;6.4524
NOVADI_0622;5.6134;5.3602;8.0279;6.3698
FuGa_352;4.7505;5.3628;8.6977;6.3463
I_M052;4.4584;11.793;2.5121;6.3443
12_196;8.3142;6.6487;4.1826;6.2852
I_M014;7.3731;8.4213;3.1532;6.263
410;4.4805;4.9652;8.9973;6.231
I_J046;5.677;7.9268;4.9606;6.2137
457;3.803;6.9324;7.5346;6.2044
12_P034;6.9502;1.3603;9.8012;5.9916
ACW_25580;6.4938;9.9965;1.3021;5.9026
JoPr_1990_102_097;4.8782;7.2849;5.1962;5.8318
12_I056;8.4889;5.84;3.5165;5.8214
12_J029;4.4921;7.4405;5.299;5.8065
ACW_25622;9.0669;5.6334;3.1332;5.7884
FuGa_015;3.5249;8.0437;5.4169;5.7687
I_W044;6.5561;6.5485;4.2476;5.7455
NOVADI_0114;6.5216;4.0833;6.6521;5.7139
12_J027;5.3055;10.435;1.2813;5.6924
ACW_25581;6.3206;6.5215;4.2499;5.6662
12_L001;7.629;4.972;4.6177;5.6451
ACW_25607;6.8168;7.868;2.1571;5.5538
I_BB012;4.7957;2.6825;8.8315;5.4686
I_BB028;4.776;4.9169;6.5288;5.4388
