trait,env_retained_based_on_inlier_h2
Color_over,"BEL_2018_1, BEL_2019_1, BEL_2020_1, CHE_2018_1, CHE_2018_BUFFER, CHE_2019_BUFFER, CHE_2020_1, CHE_2020_2, CHE_2021_1, CHE_2021_2, CHE_2021_BUFFER, CHE_2022_2, CHE_2022_BUFFER, CHE_2023_1, CHE_2023_2, CHE_2023_BUFFER, ESP_2018_1, ESP_2019_1, ESP_2020_1, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2021_1, FRA_2021_2, FRA_2022_1, FRA_2022_2, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_1, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2018_1, POL_2019_1, POL_2020_1, POL_2020_3, POL_2021_1, POL_2021_3, POL_2022_1, POL_2022_3, POL_2023_1, POL_2023_3"
Flowering_begin,"BEL_2018_1, BEL_2019_1, BEL_2020_1, BEL_2021_1, BEL_2022_1, CHE_2019_1, CHE_2019_BUFFER, CHE_2020_1, CHE_2020_2, CHE_2021_1, CHE_2021_2, CHE_2022_1, CHE_2022_2, CHE_2022_BUFFER, CHE_2023_1, CHE_2023_2, CHE_2023_BUFFER, ESP_2018_1, ESP_2019_1, ESP_2021_1, ESP_2021_2, ESP_2023_1, ESP_2023_2, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2020_2, FRA_2021_1, FRA_2021_2, FRA_2022_1, FRA_2022_2, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_1, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2022_1, POL_2022_3, POL_2023_1, POL_2023_3"
Flowering_end,"ESP_2019_1, ESP_2020_1, ESP_2021_2, ESP_2023_1, ESP_2023_2"
Flowering_full,"ESP_2019_1, ESP_2020_1, ESP_2021_1, ESP_2021_2"
Flowering_intensity,"BEL_2018_1, BEL_2019_1, BEL_2022_1, CHE_2018_1, CHE_2018_BUFFER, CHE_2019_1, CHE_2020_1, CHE_2020_2, CHE_2020_BUFFER, CHE_2021_1, CHE_2021_2, CHE_2021_BUFFER, CHE_2022_1, CHE_2022_2, CHE_2023_1, CHE_2023_2, ESP_2018_1, ESP_2019_1, ESP_2020_1, ESP_2021_1, ESP_2021_2, ESP_2023_1, ESP_2023_2, ESP_2023_BUFFER, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2020_2, FRA_2022_1, FRA_2022_2, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_1, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2018_1, POL_2019_1, POL_2019_3, POL_2021_1, POL_2021_3, POL_2022_1, POL_2022_3, POL_2023_1, POL_2023_3"
Fruit_number,"BEL_2018_1, BEL_2019_1, BEL_2020_1, BEL_2021_1, BEL_2021_2, BEL_2021_BUFFER, BEL_2022_1, BEL_2022_2, BEL_2023_1, BEL_2023_2, CHE_2018_1, CHE_2018_BUFFER, CHE_2019_1, CHE_2019_BUFFER, CHE_2020_1, CHE_2020_2, CHE_2021_1, CHE_2021_2, CHE_2021_BUFFER, CHE_2022_1, CHE_2022_2, CHE_2023_1, CHE_2023_2, ESP_2018_1, ESP_2019_1, ESP_2020_1, ESP_2021_1, ESP_2022_1, ESP_2022_2, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2021_1, FRA_2021_2, FRA_2022_1, FRA_2022_2, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_1, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2018_1, POL_2019_3, POL_2020_1, POL_2020_3, POL_2021_1, POL_2021_3, POL_2022_3, POL_2023_3"
Fruit_weight,"BEL_2018_1, BEL_2019_1, BEL_2020_1, BEL_2021_1, BEL_2021_2, BEL_2022_1, BEL_2022_2, BEL_2023_1, BEL_2023_2, CHE_2018_1, CHE_2018_BUFFER, CHE_2019_1, CHE_2019_BUFFER, CHE_2020_1, CHE_2020_2, CHE_2021_1, CHE_2021_2, CHE_2021_BUFFER, CHE_2022_1, CHE_2022_2, CHE_2023_1, CHE_2023_2, ESP_2018_1, ESP_2019_1, ESP_2020_1, ESP_2021_1, ESP_2022_1, ESP_2022_2, ESP_2023_1, ESP_2023_2, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2021_1, FRA_2021_2, FRA_2022_1, FRA_2022_2, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2018_1, POL_2020_1, POL_2020_3, POL_2021_3, POL_2022_3, POL_2023_3"
Fruit_weight_single,"BEL_2018_1, BEL_2019_1, BEL_2021_1, BEL_2021_2, BEL_2021_BUFFER, BEL_2022_1, BEL_2022_2, BEL_2023_1, BEL_2023_2, CHE_2018_1, CHE_2018_BUFFER, CHE_2019_1, CHE_2020_1, CHE_2020_2, CHE_2020_BUFFER, CHE_2021_1, CHE_2021_2, CHE_2021_BUFFER, CHE_2022_1, CHE_2022_2, CHE_2022_BUFFER, CHE_2023_1, CHE_2023_2, CHE_2023_BUFFER, ESP_2018_1, ESP_2020_1, ESP_2022_1, ESP_2022_2, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2021_1, FRA_2021_2, FRA_2022_1, FRA_2022_2, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2018_1, POL_2020_1, POL_2020_3, POL_2021_1, POL_2021_3, POL_2022_1, POL_2022_3, POL_2023_3"
Harvest_date,"BEL_2018_1, BEL_2019_1, BEL_2020_1, BEL_2021_1, BEL_2021_2, BEL_2022_1, BEL_2022_2, BEL_2023_1, BEL_2023_2, CHE_2018_1, CHE_2018_BUFFER, CHE_2020_1, CHE_2020_2, CHE_2021_1, CHE_2021_2, CHE_2023_1, CHE_2023_2, ESP_2018_1, ESP_2019_1, ESP_2020_1, ESP_2021_1, ESP_2022_1, ESP_2022_2, ESP_2023_1, ESP_2023_2, FRA_2018_1, FRA_2019_1, FRA_2020_1, FRA_2021_1, FRA_2021_2, FRA_2022_1, ITA_2018_1, ITA_2019_1, ITA_2019_3, ITA_2020_1, ITA_2020_3, ITA_2021_1, ITA_2021_3, ITA_2022_1, ITA_2022_3, ITA_2023_1, ITA_2023_3, POL_2018_1, POL_2020_1, POL_2020_3, POL_2021_1, POL_2021_3, POL_2022_1, POL_2022_3, POL_2023_1, POL_2023_3"
Powdery_mildew,"BEL_2021_2, BEL_2023_1, BEL_2023_2, CHE_2023_1, CHE_2023_2, ESP_2023_1, ESP_2023_2, FRA_2023_1, FRA_2023_2, POL_2021_3, POL_2022_1, POL_2023_1, POL_2023_3"
