Row,Position,Genotype,Management,Checks,Year,Country,Country_Year,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample,Country_Management,Envir
17,30,GaCr_043,1,"",2018,BEL,BEL_2018,262,11.64,96,121.25,4,0,23.48,8.07,90,110,,,,,,,,BEL_1,BEL_2018_1
17,82,GaCr_017,1,"",2018,BEL,BEL_2018,283,7.64,77,99.22,3,12.98701299,16.23,3.6,80,110,,,,,,,,BEL_1,BEL_2018_1
17,114,FuPi_013,1,"",2018,BEL,BEL_2018,289,13.66,102,133.92,2,49.01960784,23.72,6.2,90,109,,,,,,,,BEL_1,BEL_2018_1
19,107,12_O010,1,"",2018,BEL,BEL_2018,283,3.6,55,65.45,5,100,17.72,7.01,,,,,,,,,,BEL_1,BEL_2018_1
20,19,12_O010,1,"",2018,BEL,BEL_2018,283,3.62,53,68.3,5,100,20.33,6.59,70,110,,,,,,,,BEL_1,BEL_2018_1
21,6,12_F014,1,"",2018,BEL,BEL_2018,262,4.66,57,81.75,4,100,18.14,4.97,80,111,,,,,,,,BEL_1,BEL_2018_1
21,35,FuPi_005,1,"",2018,BEL,BEL_2018,276,8.44,79,106.84,1,2.53164557,19.15,5.85,80,110,,,,,,,,BEL_1,BEL_2018_1
21,65,1218,1,"",2018,BEL,BEL_2018,248,8.1,95,85.26,0,0,18.33,5.05,90,110,,,,,,,,BEL_1,BEL_2018_1
21,82,12_O017,1,"",2018,BEL,BEL_2018,289,6.12,75,81.6,3,100,20.02,4.91,80,111,,,,,,,,BEL_1,BEL_2018_1
21,96,12_F014,1,"",2018,BEL,BEL_2018,262,4.32,69,62.61,5,100,21.14,5.91,70,111,,,,,,,,BEL_1,BEL_2018_1
21,105,I_J069,1,"",2018,BEL,BEL_2018,255,4.62,72,64.17,4,100,11.23,3.2,80,110,,,,,,,,BEL_1,BEL_2018_1
23,42,12_O014,1,"",2018,BEL,BEL_2018,289,8.32,74,112.43,5,47.2972973,23.28,7.57,80,110,,,,,,,,BEL_1,BEL_2018_1
23,112,FuGa_015,1,"",2018,BEL,BEL_2018,283,7.5,69,108.7,5,100,20.78,6.72,90,110,,,,,,,,BEL_1,BEL_2018_1
24,101,GaCr_056,1,"",2018,BEL,BEL_2018,276,11.68,90,129.78,4,100,25.9,7.38,80,110,,,,,,,,BEL_1,BEL_2018_1
26,87,JoPr_1990_102_001,1,"",2018,BEL,BEL_2018,255,4.64,91,50.99,4,5.494505495,16.32,4.78,80,110,,,,,,,,BEL_1,BEL_2018_1
26,98,GaPi_033,1,"",2018,BEL,BEL_2018,220,4.4,76,57.89,2,3.947368421,17.03,3.55,80,109,,,,,,,,BEL_1,BEL_2018_1
