Row,Position,Genotype,Management,Checks,Year,Country,Country_Year,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample,Country_Management,Envir
23,28,2936,1,"",2022,CHE,CHE_2022,237,2.248,14,160.5714286,1,26.66666667,35.81,3.71,62.5,105,,,,,,15,,CHE_1,CHE_2022_1
23,33,51,1,"",2022,CHE,CHE_2022,230,2.621,6,436.8333333,2,100,25.96,2.16,25,108,,,,,,6,,CHE_1,CHE_2022_1
24,51,135,1,"",2022,CHE,CHE_2022,300,3.244,18,180.2222222,1,100,25.61,0.51,75,111,,,,,,19,,CHE_1,CHE_2022_1
25,22,82,1,"",2022,CHE,CHE_2022,307,0.13,4,32.5,4,100,42.17,2.07,12.5,104,,,,,,4,,CHE_1,CHE_2022_1
25,37,317,1,"",2022,CHE,CHE_2022,307,0.057,1,57,2,100,36.08,2.48,,,,,,,,1,,CHE_1,CHE_2022_1
25,45,2992,1,"",2022,CHE,CHE_2022,237,1.918,14,137,1,6.25,29.32,2.82,87.5,104,,,,,,16,,CHE_1,CHE_2022_1
26,24,I_CC075,1,"",2022,CHE,CHE_2022,279,2.404,14,171.7142857,1,73.33333333,26.55,3.45,12.5,109,,,,,,15,,CHE_1,CHE_2022_1
26,58,I_CC044,1,"",2022,CHE,CHE_2022,307,25.979,256,101.4804688,1,100,42.45,6.55,100,109,,,,,,20,,CHE_1,CHE_2022_1
27,83,653,1,"",2022,CHE,CHE_2022,251,3.062,7,437.4285714,1,100,23.93,8.93,50,105,,,,,,6,,CHE_1,CHE_2022_1
28,20,12_J004,1,"",2022,CHE,CHE_2022,272,2.953,19,155.4210526,3,100,53.79,12.69,25,122,,,,,,20,,CHE_1,CHE_2022_1
28,37,653,1,"",2022,CHE,CHE_2022,230,1.966,4,491.5,0,25,20.86,6.16,50,105,,,,,,4,,CHE_1,CHE_2022_1
28,69,1020,1,"",2022,CHE,CHE_2022,265,3.204,15,213.6,2,100,30.95,8.75,12.5,122,,,,,,16,,CHE_1,CHE_2022_1
29,66,748,1,"",2022,CHE,CHE_2022,293,3.624,15,241.6,0,100,39.57,3.17,12.5,112,,,,,,16,,CHE_1,CHE_2022_1
29,68,435,1,"",2022,CHE,CHE_2022,307,0.101,2,50.5,1,100,31.12,2.32,12.5,109,,,,,,1,,CHE_1,CHE_2022_1
31,47,2785,1,"",2022,CHE,CHE_2022,272,0.659,2,329.5,0,100,28.5,1.4,12.5,117,,,,,,2,,CHE_1,CHE_2022_1
31,61,DLO_12_221,1,"",2022,CHE,CHE_2022,293,4.703,14,335.9285714,4,100,40.2,,37.5,112,,,,,,20,,CHE_1,CHE_2022_1
32,55,592,1,"",2022,CHE,CHE_2022,251,1.118,3,372.6666667,5,100,36.54,1.44,12.5,117,,,,,,3,,CHE_1,CHE_2022_1
33,23,58,1,"",2022,CHE,CHE_2022,244,1.526,8,190.75,1,100,37.37,4.07,12.5,108,,,,,,9,,CHE_1,CHE_2022_1
33,64,FuPi_005,1,"",2022,CHE,CHE_2022,300,18.089,203,89.10837438,1,100,39.47,5.47,87.5,109,,,,,,20,,CHE_1,CHE_2022_1
34,67,676,1,"",2022,CHE,CHE_2022,216,3.334,16,208.375,1,60,29.26,4.66,87.5,104,,,,,,20,,CHE_1,CHE_2022_1
35,9,652,1,"",2022,CHE,CHE_2022,279,2.13,14,152.1428571,4,100,35.08,4.08,25,105,,,,,,15,,CHE_1,CHE_2022_1
35,16,NOVADI_0622,1,"",2022,CHE,CHE_2022,286,2.773,14,198.0714286,5,100,40.66,7.06,37.5,105,,,,,,20,,CHE_1,CHE_2022_1
36,12,NOVADI_0347,1,"",2022,CHE,CHE_2022,279,16.701,190,87.9,4,30,34.55,0,75,105,,,,,,20,,CHE_1,CHE_2022_1
36,18,I_J056,1,"",2022,CHE,CHE_2022,265,3.586,12,298.8333333,5,69.23076923,33.2,4.2,12.5,115,,,,,,13,,CHE_1,CHE_2022_1
36,58,584,1,"",2022,CHE,CHE_2022,265,0.94,4,235,4,100,39.14,4.44,75,112,,,,,,5,,CHE_1,CHE_2022_1
36,68,NOVADI_0042,1,"",2022,CHE,CHE_2022,279,8.021,65,123.4,4,100,,,12.5,109,,,,,,3,,CHE_1,CHE_2022_1
