Row,Position,Genotype,Management,Checks,Year,Country,Country_Year,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample,Country_Management,Envir
1,80,I_BB049,1,"",2020,ESP,ESP_2020,260,0.6,6,150,4,100,36.60563691,1.273239545,37.5,83,127,100,,,,6,0.9,ESP_1,ESP_2020_1
2,82,653,1,"",2020,ESP,ESP_2020,225,5.94,14,424.2857143,0,100,33.42253805,2.864788976,37.5,83,93,100,,,,14,5.94,ESP_1,ESP_2020_1
3,90,29,1,"",2020,ESP,ESP_2020,177,1.705263158,19,94.73684211,3,0,27.05634033,0.318309886,62.5,80,127,100,,,,19,1.8,ESP_1,ESP_2020_1
5,46,653,1,"",2020,ESP,ESP_2020,218,2.24,5,448,0,100,36.60563691,1.591549431,12.5,90,100,106,,,,5,2.24,ESP_1,ESP_2020_1
5,89,12_O010,1,"",2020,ESP,ESP_2020,225,0.4,8,50,2,62.5,33.42253805,4.774648293,0,,,,,,,8,0.4,ESP_1,ESP_2020_1
5,121,12_J027,1,"",2020,ESP,ESP_2020,274,20.13,330,61,4,100,44.56338407,4.456338407,75,90,104,118,,,,20,1.22,ESP_1,ESP_2020_1
5,128,12_B064,1,"",2020,ESP,ESP_2020,260,9.928,68,146,2,100,57.29577951,7.957747155,50,90,94,136,,,,20,2.92,ESP_1,ESP_2020_1
6,111,66,1,"",2020,ESP,ESP_2020,,,,,,,73.21127382,44.56338407,,,,,,,,,,ESP_1,ESP_2020_1
7,27,51,1,"",2020,ESP,ESP_2020,197,1.46,5,292,0,100,39.78873577,1.909859317,12.5,118,94,100,,,,5,1.46,ESP_1,ESP_2020_1
7,32,740,1,"",2020,ESP,ESP_2020,225,0.765,4,255,3,100,33.42253805,0,50,92,99,106,,,,4,1.02,ESP_1,ESP_2020_1
8,118,1910,1,"",2020,ESP,ESP_2020,274,,3,73.33333333,0,100,35.01408748,2.864788976,50,83,91,100,,,,3,0.22,ESP_1,ESP_2020_1
9,109,12_F046,1,"",2020,ESP,ESP_2020,253,18.522,312,63,5,100,60.47887837,11.14084602,100,90,97,100,,,,20,1.26,ESP_1,ESP_2020_1
