Row,Position,Genotype,Management,Checks,Year,Country,Country_Year,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample,Country_Management,Envir
1,26,74,1,"",2019,FRA,FRA_2019,281,6.78,19,376.6666667,2,38.88888889,21.1,5.91,37.5,115,,,,,,18,6.78,FRA_1,FRA_2019_1
2,10,2856,1,"",2019,FRA,FRA_2019,295,0.75,6,125,4,0,28.2,6.9,87.5,105,,,,,,6,0.75,FRA_1,FRA_2019_1
2,13,3148,1,"",2019,FRA,FRA_2019,247,3.1,7,442.8571429,4,57.14285714,27.8,6.79,37.5,107,,,,,,7,3.1,FRA_1,FRA_2019_1
2,21,587,1,"",2019,FRA,FRA_2019,261,3.6,8,450,3,100,35.3,10.64,87.5,108,,,,,,8,3.6,FRA_1,FRA_2019_1
2,65,77,1,"",2019,FRA,FRA_2019,287,1.82,5,364,1,100,38.2,17.09,100,107,,,,,,5,1.82,FRA_1,FRA_2019_1
3,15,301,1,"",2019,FRA,FRA_2019,,,,,,,19.6,2.85,87.5,139,,,,,,,,FRA_1,FRA_2019_1
3,46,2980,1,"",2019,FRA,FRA_2019,253,1.08,4,270,3,50,27.3,4.41,87.5,115,,,,,,4,1.08,FRA_1,FRA_2019_1
5,8,2055,1,"",2019,FRA,FRA_2019,211,0.58,6,96.66666667,4,100,24.3,4.02,75,100,,,,,,6,0.58,FRA_1,FRA_2019_1
5,48,447,1,"",2019,FRA,FRA_2019,277,4.7,8,587.5,4,100,32.4,9.25,87.5,111,,,,,,8,4.7,FRA_1,FRA_2019_1
8,13,445,1,"",2019,FRA,FRA_2019,295,1.8,6,300,4,100,29.1,4.93,12.5,111,,,,,,6,1.8,FRA_1,FRA_2019_1
9,66,548,1,"",2019,FRA,FRA_2019,302,2.38,7,340,1,28.57142857,34.7,7.1,100,108,,,,,,7,2.38,FRA_1,FRA_2019_1
10,23,12_E014,1,"",2019,FRA,FRA_2019,287,,,,0,,30,6.8,87.5,107,,,,,,-2,,FRA_1,FRA_2019_1
12,6,67,1,"",2019,FRA,FRA_2019,287,10.608,82,136,4,100,28,7.38,87.5,137,,,,,,20,2.72,FRA_1,FRA_2019_1
12,50,67,1,"",2019,FRA,FRA_2019,282,5.148,39,132,5,100,23,6.64,100,137,,,,,,20,2.64,FRA_1,FRA_2019_1
12,83,DLO_12_221,1,"",2019,FRA,FRA_2019,287,2.02,6,336.6666667,5,100,33,9.27,25,109,,,,,,6,2.02,FRA_1,FRA_2019_1
14,50,13_38,1,"",2019,FRA,FRA_2019,,,2,,,,32,10.63,87.5,102,,,,,,,,FRA_1,FRA_2019_1
17,72,12_N054,1,"",2019,FRA,FRA_2019,,,,,,,22.4,2.4,12.5,107,,,,,,,,FRA_1,FRA_2019_1
