Row,Position,Genotype,Management,Checks,Year,Country,Country_Year,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample,Country_Management,Envir
2,73,301,1,"",2019,ITA,ITA_2019,231,1.224,16,81.6,1,66.66666667,18.8,0.656336488,62.5,135,,,,,,15,1.224,ITA_1,ITA_2019_1
2,76,2670,1,"",2019,ITA,ITA_2019,217,0.335,1,335,,,18.35,0,12.5,92,,,,,,1,0.335,ITA_1,ITA_2019_1
3,56,12_F046,1,"",2019,ITA,ITA_2019,259,12.5178,187,67.3,3,70,36.48,12.92506842,87.5,99,,,,,,20,1.346,ITA_1,ITA_2019_1
4,107,67,1,"",2019,ITA,ITA_2019,266,4.0635,35,116.1,3,100,22.1,5.547885918,50,120,,,,,,20,2.322,ITA_1,ITA_2019_1
5,88,67,1,"",2019,ITA,ITA_2019,277,5.1507,59,87.3,3,100,22.61,5.739576032,100,121,,,,,,20,1.746,ITA_1,ITA_2019_1
6,53,12_J027,1,"",2019,ITA,ITA_2019,287,0.268,6,89.33333333,,,28.3,5.699998081,12.5,105,,,,,,3,0.268,ITA_1,ITA_2019_1
7,61,ACW_25622,1,"",2019,ITA,ITA_2019,259,22.386,148,159.9,2,65,42.96,6.990982861,62.5,95,,,,,,20,3.198,ITA_1,ITA_2019_1
8,69,12_J011,1,"",2019,ITA,ITA_2019,262,11.1251,171,69.1,3,70,30.44,9.431547512,87.5,96,,,,,,20,1.382,ITA_1,ITA_2019_1
9,4,DLO_12_221,1,"",2019,ITA,ITA_2019,,,,,,,36.21,9.471969561,50,68,,,,,,,,ITA_1,ITA_2019_1
9,18,334,1,"",2019,ITA,ITA_2019,294,7.408,20,370.4,2,10,27,4.081688195,25,101,,,,,,20,7.408,ITA_1,ITA_2019_1
9,45,653,1,"",2019,ITA,ITA_2019,259,7.588,20,379.4,0,60,17.55,2.271125463,87.5,93,,,,,,20,7.588,ITA_1,ITA_2019_1
9,96,51,1,"",2019,ITA,ITA_2019,231,0.994,2,497,,,19.6,1.138026601,12.5,107,,,,,,2,0.994,ITA_1,ITA_2019_1
