Row,Position,Genotype,Management,Checks,Year,Country,Country_Year,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample,Country_Management,Envir
1,18,TeBr_043,1,"",2023,POL,POL_2023,240,5.98,28,213.5714286,2,,,,75,117,,,7,6,,,,POL_1,POL_2023_1
1,53,2830,1,"",2023,POL,POL_2023,261,2.33,17,137.0588235,1,,49.4,5.15,50,119,,,2,9,,,,POL_1,POL_2023_1
2,8,12_K016,1,"",2023,POL,POL_2023,275,8.83,38,232.3684211,0,,68.25,7.06,75,119,,,1,8,,,,POL_1,POL_2023_1
2,112,2823,1,"",2023,POL,POL_2023,,,,,,,62.41,3.17,0,119,,,1,9,,,,POL_1,POL_2023_1
3,18,NOVADI_0268,1,"",2023,POL,POL_2023,270,8.2,34,241.1764706,4,,,,25,118,,,1,8,,,,POL_1,POL_2023_1
3,67,2061,1,"",2023,POL,POL_2023,,,,,,,,,75,125,,,6,3,,,,POL_1,POL_2023_1
3,70,333,1,"",2023,POL,POL_2023,,,,,,,58.8,11.8,37.5,119,,,1,9,,,,POL_1,POL_2023_1
4,118,3172,1,"",2023,POL,POL_2023,214,5.61,33,170,1,,60.68,8.12,25,118,,,8,2,,,,POL_1,POL_2023_1
5,55,GaCr_052,1,"",2023,POL,POL_2023,261,4.4,24,183.3333333,0,,59.83,13.04,37.5,116,,,9,3,,,,POL_1,POL_2023_1
8,32,216,1,"",2023,POL,POL_2023,271,3.55,25,142,2,,,,25,116,,,1,9,,,,POL_1,POL_2023_1
8,72,366,1,"",2023,POL,POL_2023,,,,,,,78.39,19.88,75,124,,,3,2,,,,POL_1,POL_2023_1
9,39,953,1,"",2023,POL,POL_2023,271,2.56,11,232.7272727,0,,38.05,,25,117,,,1,9,,,,POL_1,POL_2023_1
10,49,12_L001,1,"",2023,POL,POL_2023,271,4.49,33,136.0606061,0,,56.2,7.78,12.5,119,,,1,9,,,,POL_1,POL_2023_1
