Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
12,44,2865,2,"",2022,BEL,BEL_2022,243,1.64,4,410,,,,,,,,,,,,,
12,74,1893,2,"",2022,BEL,BEL_2022,236,1.6,4,400,,,,,,,,,,,,,
12,100,GaPi_023,2,"",2022,BEL,BEL_2022,271,0.57,8,71.25,,,,,,,,,,,,,
13,1,12_P029,2,"",2022,BEL,BEL_2022,285,0.37,4,92.5,,,,,,,,,,,,,
13,19,2046,2,"",2022,BEL,BEL_2022,277,2.23,6,371.6666667,,,,,,,,,,,,,
13,71,435,2,"",2022,BEL,BEL_2022,264,0.47,6,78.33333333,,,,,,,,,,,,,
14,63,2026,2,"",2022,BEL,BEL_2022,229,0.578,7,82.57142857,,,,,,,,,,,,,
15,13,653,2,"",2022,BEL,BEL_2022,257,4.61,11,419.0909091,,,,,,,,,,,,,
15,46,NOVADI_0268,2,"",2022,BEL,BEL_2022,285,2.811,77,36.50649351,,,,,,,,,,,,,
17,75,3173,1,"",2022,BEL,BEL_2022,236,1.66,4,415,,,28.56,3.79,50,,,,,,,,
17,97,3026,1,"",2022,BEL,BEL_2022,236,0.54,6,90,,,26.85,1.58,0,112,,,,,,,
19,37,NOVADI_0268,1,"",2022,BEL,BEL_2022,285,3.504,77,45.50649351,,,26.4,4.51,100,112,,,,,,,
21,96,12_F014,1,"",2022,BEL,BEL_2022,277,8.632,166,52,,,41.65,9.42,75,109,,,,,,,
21,114,197,1,"",2022,BEL,BEL_2022,277,0.34,3,113.3333333,,,30.97,2.4,0,103,,,,,,,
23,91,NOVADI_0023,1,"",2022,BEL,BEL_2022,271,1.72,5,344,,,28.77,4.3,0,103,,,,,,,
26,6,2046,1,"",2022,BEL,BEL_2022,292,2.58,6,430,,,33.75,0,25,103,,,,,,,
26,81,149,1,"",2022,BEL,BEL_2022,277,0.38,10,38,,,18.48,0,75,106,,,,,,,
26,103,13_10,1,"",2022,BEL,BEL_2022,236,0.26,3,86.66666667,,,16.53,2.01,25,103,,,,,,,
