Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
1,12,2720,1,"",2020,ESP,ESP_2020,225,2.4,15,240,4,100,30.23943919,0,37.5,83,127,100,,,,15,3.6
1,80,I_BB049,1,"",2020,ESP,ESP_2020,260,0.6,6,150,4,100,36.60563691,1.273239545,37.5,83,127,100,,,,6,0.9
1,102,JoPr_1990_102_232,1,"",2020,ESP,ESP_2020,197,5.124,42,122,3,95,33.42253805,2.546479089,75,80,127,100,,,,20,2.44
2,5,NOVADI_0830,1,"",2020,ESP,ESP_2020,253,19.402,89,218,4,100,46.1549335,3.501408748,75,80,127,100,,,,20,4.36
2,45,NOVADI_0731,1,"",2020,ESP,ESP_2020,260,9.196,76,121,5,100,42.97183463,5.411268065,50,80,127,100,,,,20,2.42
2,66,2847,1,"",2020,ESP,ESP_2020,232,3.168,25,132,0,100,42.97183463,6.68450761,37.5,80,127,100,,,,20,2.64
2,82,653,1,"",2020,ESP,ESP_2020,225,5.94,14,424.2857143,0,100,33.42253805,2.864788976,37.5,83,93,100,,,,14,5.94
3,5,330,1,"",2020,ESP,ESP_2020,246,9.59,75,137,0,20,44.56338407,4.456338407,75,80,127,100,,,,20,2.74
3,79,Modi,1,Modi,2020,ESP,ESP_2020,225,7.395,51,145,4,100,38.19718634,0.954929659,37.5,80,127,100,,,,20,2.9
3,90,29,1,"",2020,ESP,ESP_2020,177,1.705263158,19,94.73684211,3,0,27.05634033,0.318309886,62.5,80,127,100,,,,19,1.8
3,95,33,1,"",2020,ESP,ESP_2020,274,1.568,34,56,3,100,35.01408748,2.864788976,75,80,127,100,,,,20,1.12
5,46,653,1,"",2020,ESP,ESP_2020,218,2.24,5,448,0,100,36.60563691,1.591549431,12.5,90,100,106,,,,5,2.24
5,121,12_J027,1,"",2020,ESP,ESP_2020,274,20.13,330,61,4,100,44.56338407,4.456338407,75,90,104,118,,,,20,1.22
5,128,12_B064,1,"",2020,ESP,ESP_2020,260,9.928,68,146,2,100,57.29577951,7.957747155,50,90,94,136,,,,20,2.92
6,111,66,1,"",2020,ESP,ESP_2020,,,,,,,73.21127382,44.56338407,,,,,,,,,
7,27,51,1,"",2020,ESP,ESP_2020,197,1.46,5,292,0,100,39.78873577,1.909859317,12.5,118,94,100,,,,5,1.46
9,109,12_F046,1,"",2020,ESP,ESP_2020,253,18.522,312,63,5,100,60.47887837,11.14084602,100,90,97,100,,,,20,1.26
