Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
1,9,25,1,"",2023,FRA,FRA_2023,,,,,,,34.3,1.3,,,,,,,,,
1,49,112,1,"",2023,FRA,FRA_2023,,,,,,,35.13,1.13,,,,,,,,,
3,24,25,1,"",2023,FRA,FRA_2023,,,,,,,,,,108,,,,,,,
3,51,739,1,Gala,2023,FRA,FRA_2023,269,3.348,18,186,2,,33.56,2.56,,122,,,,,,20,3.72
3,64,12_J011,1,"",2023,FRA,FRA_2023,214,20.475,315,65,1,,80.71,18.71,,118,,,,,,20,1.3
3,82,216,1,"",2023,FRA,FRA_2023,284,3.3,22,150,1,,30.95,4.95,,108,,,,,,20,3
4,32,12_F052,1,"",2023,FRA,FRA_2023,214,20.475,315,65,1,,75.62,4.62,,118,,,1,2,1,20,1.3
5,1,GaPi_028,1,"",2023,FRA,FRA_2023,277,,,562.5,1,,50.12,5.12,,122,,,1,3,1,8,4.5
5,85,25,1,"",2023,FRA,FRA_2023,,,,,,,31.69,0.69,,108,,,,,,,
8,65,489,1,"",2023,FRA,FRA_2023,,,,,,,62.87,8.87,,,,,,,,,
9,47,143,1,"",2023,FRA,FRA_2023,215,2.53,23,110,4,,88,48,,131,,,,,,20,2.2
10,16,1893,1,"",2023,FRA,FRA_2023,285,26,32,812.5,5,,38.34,2.34,,,,,,,,4,3.25
10,23,12_E014,1,"",2023,FRA,FRA_2023,285,117.6,112,,4,,48.43,2.43,,122,,,1,3,0,3,3.15
11,10,118,1,"",2023,FRA,FRA_2023,278,24.38,106,230,1,,43,33,,118,,,,,,20,4.6
13,20,603,1,"",2023,FRA,FRA_2023,278,0.7875,18,43.75,5,,38,7,,122,,,,,,8,0.35
17,51,12_O010,2,"",2023,FRA,FRA_2023,229,16.575,255,65,1,,77,19,,122,,,1,6,1,20,1.3
18,32,65,2,Golden_Delicious,2023,FRA,FRA_2023,278,3.15,18,175,0,,40,1,,110,,,2,2,1,20,3.5
19,4,GaPi_051,2,"",2023,FRA,FRA_2023,263,2.25,15,150,3,,41,0,,118,,,1,2,1,20,3
19,21,65,2,Golden_Delicious,2023,FRA,FRA_2023,278,4.23,18,235,0,,40,6,,110,,,3,2,2,20,4.7
19,31,262,2,"",2023,FRA,FRA_2023,222,1.890909091,16,118.1818182,4,,43,5,,110,,,1,2,3,11,1.3
19,40,465,2,"",2023,FRA,FRA_2023,289,47.25,350,135,0,,47,4,,118,,,2,2,1,20,2.7
19,42,FuGa_352,2,"",2023,FRA,FRA_2023,278,4.465,19,235,0,,48,8,,110,,,1,2,1,20,4.7
