Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
2,90,740,1,"",2020,ITA,ITA_2020,252,1.916,6,319.3333333,4,0,18.9,5.9,75,102,,,,,,6,1.916
2,92,1113,1,"",2020,ITA,ITA_2020,230,3.438,5,171.9,3,100,24.91,3.88,12.5,103,,,,,,20,3.438
3,65,12_O010,1,"",2020,ITA,ITA_2020,295,0.718,9,79.77777778,5,88.88888889,21.69,4.1,50,106,,,,,,9,0.718
4,110,12_L001,1,"",2020,ITA,ITA_2020,,,,,,,18.01,3.54,0,,,,,,,,
5,18,366,1,"",2020,ITA,ITA_2020,,,1,,,,36.86,8.38,50,96,,,,,,,
6,53,12_J027,1,"",2020,ITA,ITA_2020,283,18.0504,218,82.8,4,100,35.83,7.53,87.5,100,,,,,,20,1.656
6,103,I_CC070,1,"",2020,ITA,ITA_2020,268,12.3522,173,71.4,0,65,26.19,3.89,100,99,,,,,,20,1.428
7,62,592,1,"",2020,ITA,ITA_2020,217,2.718,11,339.75,4,75,35.21,6.54,37.5,100,,,,,,8,2.718
9,4,DLO_12_221,1,"",2020,ITA,ITA_2020,289,2.208,7,315.4285714,4,100,43.29,7.08,50,100,,,,,,7,2.208
9,40,2974,1,"",2020,ITA,ITA_2020,227,3.504,12,350.4,0,80,28.21,5.93,50,100,,,,,,10,3.504
9,56,1218,1,"",2020,ITA,ITA_2020,230,16.64,190,87.57894737,0,21.05263158,30.59,6.69,100,98,,,,,,19,1.664
9,127,61,1,"",2020,ITA,ITA_2020,224,1.318,16,65.9,0,100,32.5,6.38,37.5,100,,,,,,20,1.318
10,4,286,2,"",2020,ITA,ITA_2020,202,1.944,19,102.3157895,3,10.52631579,24.19,1.51,100,96,,,,,,19,1.944
11,25,12_B023,2,"",2020,ITA,ITA_2020,,,,,,,31.94,7.04,0,,,,,,,,
14,6,301,2,"",2020,ITA,ITA_2020,227,1.506,20,94.125,0,100,23.04,2.39,12.5,125,,,,,,16,1.506
15,36,12_F054,2,"",2020,ITA,ITA_2020,253,14.6772,151,97.2,2,65,47.32,19.46,37.5,99,,,,,,20,1.944
15,44,82,2,"",2020,ITA,ITA_2020,,,4,,,,28.49,6.85,75,98,,,,,,,
17,3,676,2,"",2020,ITA,ITA_2020,198,1.7766,21,84.6,2,50,23.89,4.46,87.5,95,,,,,,10,0.846
18,7,301,2,"",2020,ITA,ITA_2020,217,1.478,15,98.53333333,0,93.33333333,24.91,2.39,12.5,123,,,,,,15,1.478
