Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
2,100,603,1,"",2019,POL,POL_2019,,,,,,,27.23,15.6,0,,,,,,,,
3,57,1997,1,"",2019,POL,POL_2019,,,,,,,30.24,5.29,0,,,,,,,,
3,112,786,1,"",2019,POL,POL_2019,,,,,,,20.91,0.85,0,,,,,,,,
4,2,I_CC055,1,"",2019,POL,POL_2019,,,,,,,25.98,12.6,0,,,,,,,,
6,54,GaCr_057,1,"",2019,POL,POL_2019,,,,,,,20.18,2.33,0,,,,,,,,
7,12,592,1,"",2019,POL,POL_2019,242,2.32,8,,4,,29.75,8.56,25,115,,,,,,,
8,5,1218,1,"",2019,POL,POL_2019,,,,,,,22.35,4.42,0,,,,,,,,
8,29,I_M056,1,"",2019,POL,POL_2019,,,,256.6666667,,,14.88,2.73,25,119,,,,,,,
8,54,424,1,"",2019,POL,POL_2019,,,,,,,22.21,3.66,0,,,,,,,,
8,59,72,1,"",2019,POL,POL_2019,,,,,,,19.17,1.31,0,,,,,,,,
8,92,135,1,"",2019,POL,POL_2019,,,,,,,18.87,4.81,0,,,,,,,,
9,18,330,1,"",2019,POL,POL_2019,,,,,,,21.14,9.69,0,,,,,,,,
9,69,I_BB031,1,"",2019,POL,POL_2019,,,,,,,23.45,8.89,0,,,,,,,,
9,112,FuPi_114,1,"",2019,POL,POL_2019,,,,,,,23.45,10.28,0,,,,,,,,
10,51,12_J004,1,"",2019,POL,POL_2019,,,,,,,25.31,3.55,0,,,,,,,,
11,29,40,2,"",2019,POL,POL_2019,,,,,,,26.26,4.63,0,,,,,,,,
14,41,40,2,"",2019,POL,POL_2019,228,2.31,9,,4,,23.31,0,25,122,,,,,,,
15,66,I_CC075,2,"",2019,POL,POL_2019,,,,,,,25.1,3.27,0,,,,,,,,
