Row,Position,Genotype,Management,Checks,Year,Country,Envir,Harvest_date,Fruit_weight,Fruit_number,Fruit_weight_single,Color_over,Russet_freq_all,Trunk_diameter,Trunk_increment,Flowering_intensity,Flowering_begin,Flowering_full,Flowering_end,Scab,Powdery_mildew,Scab_fruits,Sample_size,Weight_sample
17,30,GaCr_043,1,"",2018,BEL,BEL_2018,262,11.64,96,121.25,4,0,23.48,8.07,90,110,,,,,,,
17,82,GaCr_017,1,"",2018,BEL,BEL_2018,283,7.64,77,99.22,3,12.98701299,16.23,3.6,80,110,,,,,,,
17,114,FuPi_013,1,"",2018,BEL,BEL_2018,289,13.66,102,133.92,2,49.01960784,23.72,6.2,90,109,,,,,,,
19,107,12_O010,1,"",2018,BEL,BEL_2018,283,3.6,55,65.45,5,100,17.72,7.01,,,,,,,,,
19,118,GaCr_056,BUFFER,"",2018,BEL,BEL_2018,262,13.2,90,146.67,5,88.88888889,22.36,7.6,,,,,,,,,
21,30,FuPi_107,1,"",2018,BEL,BEL_2018,276,13.5,82,164.63,0,50,22.25,5.18,80,110,,,,,,,
21,35,FuPi_005,1,"",2018,BEL,BEL_2018,276,8.44,79,106.84,1,2.53164557,19.15,5.85,80,110,,,,,,,
21,65,1218,1,"",2018,BEL,BEL_2018,248,8.1,95,85.26,0,0,18.33,5.05,90,110,,,,,,,
21,82,12_O017,1,"",2018,BEL,BEL_2018,289,6.12,75,81.6,3,100,20.02,4.91,80,111,,,,,,,
21,96,12_F014,1,"",2018,BEL,BEL_2018,262,4.32,69,62.61,5,100,21.14,5.91,70,111,,,,,,,
21,105,I_J069,1,"",2018,BEL,BEL_2018,255,4.62,72,64.17,4,100,11.23,3.2,80,110,,,,,,,
22,12,FuPi_106,1,"",2018,BEL,BEL_2018,276,13.34,58,230,0,50,28.27,6.94,70,110,,,,,,,
23,42,12_O014,1,"",2018,BEL,BEL_2018,289,8.32,74,112.43,5,47.2972973,23.28,7.57,80,110,,,,,,,
23,112,FuGa_015,1,"",2018,BEL,BEL_2018,283,7.5,69,108.7,5,100,20.78,6.72,90,110,,,,,,,
24,101,GaCr_056,1,"",2018,BEL,BEL_2018,276,11.68,90,129.78,4,100,25.9,7.38,80,110,,,,,,,
26,87,JoPr_1990_102_001,1,"",2018,BEL,BEL_2018,255,4.64,91,50.99,4,5.494505495,16.32,4.78,80,110,,,,,,,
26,98,GaPi_033,1,"",2018,BEL,BEL_2018,220,4.4,76,57.89,2,3.947368421,17.03,3.55,80,109,,,,,,,
26,117,65,1,Golden_Delicious,2018,BEL,BEL_2018,234,6.78,63,107.62,3,100,19.03,1.27,80,110,,,,,,,
17,5,I_BB031,1,"",2019,BEL,BEL_2019,267,7.488,96,78,4,35,25.05,9.26,100,107,,,,,,20,1.56
18,12,12_F052,1,"",2019,BEL,BEL_2019,267,9.153,113,81,4,70,27.41,7.28,100,109,,,,,,20,1.62
18,13,1236,1,"",2019,BEL,BEL_2019,260,9.828,117,84,3,25,21.43,6.11,50,98,,,,,,20,1.68
18,39,ACW_25628,1,"",2019,BEL,BEL_2019,275,8.064,112,72,4,50,30.56,10.43,75,105,,,,,,20,1.44
18,87,12_J027,1,"",2019,BEL,BEL_2019,295,7.979,101,79,5,100,24.98,8.07,75,102,,,,,,20,1.58
20,51,12_F007,1,"",2019,BEL,BEL_2019,288,17.604,163,108,3,100,30.66,8.85,100,109,,,,,,20,2.16
22,5,12_J027,1,"",2019,BEL,BEL_2019,295,7.828,103,76,5,35,27.04,11.53,100,107,,,,,,20,1.52
22,48,GaPi_051,1,"",2019,BEL,BEL_2019,267,13.912,148,94,4,0,21.61,5.4,100,102,,,,,,20,1.88
22,58,12_F054,1,"",2019,BEL,BEL_2019,275,8.829,109,81,4,0,22.72,4.01,50,105,,,,,,20,1.62
22,71,327,1,"",2019,BEL,BEL_2019,295,12.075,161,75,4,0,22.69,2.13,100,107,,,,,,20,1.5
22,99,NOVADI_0329,1,"",2019,BEL,BEL_2019,260,15.87,138,115,4,100,30.91,7.44,100,107,,,,,,20,2.3
22,105,12_J011,1,"",2019,BEL,BEL_2019,280,9.656,136,71,4,100,23.06,7.95,100,109,,,,,,20,1.42
22,111,GaPi_035,1,"",2019,BEL,BEL_2019,224,8.614,118,73,2,0,22.11,3.09,50,105,,,,,,20,1.46
25,8,I_CC070,1,"",2019,BEL,BEL_2019,288,10.396,113,92,1,50,22.33,10.37,100,107,,,,,,20,1.84
25,9,12_J011,1,"",2019,BEL,BEL_2019,280,11.625,155,75,5,100,26.75,10.09,75,109,,,,,,20,1.5
25,74,12_F052,1,"",2019,BEL,BEL_2019,267,13.11,138,95,5,0,26.89,4.19,100,109,,,,,,20,1.9
26,41,FuGa_243,1,"",2019,BEL,BEL_2019,288,12.768,152,84,4,100,27.61,4.58,75,107,,,,,,20,1.68
26,80,12_L012,1,"",2019,BEL,BEL_2019,267,15.096,136,111,0,35,26.73,10.1,100,105,,,,,,20,2.22
17,31,12_L012,1,"",2020,BEL,BEL_2020,280,9.408,168,56,1,100,38.46,1.24,100,105,,,,,,20,1.12
17,82,GaCr_017,1,"",2020,BEL,BEL_2020,293,1.74,20,19.77272727,3,0,21.8,4.59,100,100,,,,,,88,1.74
17,86,192,1,"",2020,BEL,BEL_2020,293,1.88,20,31.86440678,2,33.89830508,21.14,5.04,100,112,,,,,,59,1.88
17,89,I_CC055,1,"",2020,BEL,BEL_2020,293,1.46,20,29.2,1,0,21.26,3.58,100,100,,,,,,50,1.46
17,114,FuPi_013,1,"",2020,BEL,BEL_2020,301,1.62,20,9.938650307,3,6.134969325,35.7,8.96,100,100,,,,,,163,1.62
18,6,1962,1,"",2020,BEL,BEL_2020,293,4.22,20,98.13953488,3,13.95348837,25.4,2.38,75,105,,,,,,43,4.22
18,106,786,1,"",2020,BEL,BEL_2020,293,1.56,20,17.14285714,0,0,27.09,6.61,100,105,,,,,,91,1.56
19,21,757,1,"",2020,BEL,BEL_2020,293,3.06,20,95.625,3,31.25,19.77,4.02,100,114,,,,,,32,3.06
19,41,323,1,"",2020,BEL,BEL_2020,293,1.98,20,23.57142857,4,19.04761905,24.92,6.06,100,107,,,,,,84,1.98
19,82,12_J015,1,"",2020,BEL,BEL_2020,293,0.98,20,20.41666667,5,0,19.61,1.06,100,112,,,,,,48,0.98
19,107,12_O010,1,"",2020,BEL,BEL_2020,293,1.12,20,8.421052632,5,0,24.55,4.78,100,107,,,,,,133,1.12
20,19,12_O010,1,"",2020,BEL,BEL_2020,293,0.96,20,9.056603774,5,0,29.3,3.41,100,112,,,,,,106,0.96
20,24,750,1,"",2020,BEL,BEL_2020,293,1.88,20,26.85714286,3,0,29.62,6.26,100,100,,,,,,70,1.88
20,25,12_E039,1,"",2020,BEL,BEL_2020,293,2.82,20,28.7755102,1,20.40816327,30.1,3.35,75,105,,,,,,98,2.82
20,26,12_K045,1,"",2020,BEL,BEL_2020,293,1.58,20,26.33333333,1,25,22.38,2.04,100,105,,,,,,60,1.58
20,30,135,1,"",2020,BEL,BEL_2020,293,2.62,20,56.95652174,0,43.47826087,25.5,5.1,100,102,,,,,,46,2.62
20,111,2802,1,"",2020,BEL,BEL_2020,293,2.52,20,68.10810811,4,27.02702703,20.51,4.47,100,107,,,,,,37,2.52
21,27,697,1,"",2020,BEL,BEL_2020,293,2.22,20,22.65306122,4,0,31,5.05,100,102,,,,,,98,2.22
21,64,334,1,"",2020,BEL,BEL_2020,293,2.56,20,32.82051282,5,6.41025641,25.89,8.94,75,112,,,,,,78,2.56
